station_id,station_name,english_name,crs,operator,route,region,latitude,longitude,is_interchange,route_count,is_coastal,distance_to_coast_km,welsh_name,terminus_weekday,terminus_sat,terminus_sun,terminus_max,canonical_hub,canonical_time_to_hub,canonical_time_n,canonical_time_status,hub_reassigned_from,interchange_via,interchange_via_london,quiz_id,direction_count
SC_0003,Achanalt,,AAT,Scotrail,['Far North Line'],Highland,57.609921,-4.914243,FALSE,1,FALSE,25.2,,0,0,0,0,Inverness,74,9,direct_match,,,,highlands_ne_scotrail,2
TW_0003,Aberdare,,ABA,TfW,"['Aberdare Line', 'Merthyr Line']",Rhondda Cynon Taf,51.71505747,-3.443099147,TRUE,2,FALSE,27.52,Aberdâr,187,259,100,259,Cardiff Central,62,105,direct_match,,,,gwr_wales_corridor,1
SC_0013,Altnabreac,,ABC,Scotrail,Far North Line,Highland,58.388439,-3.705279,FALSE,1,FALSE,20.05,,0,0,0,0,Inverness,204,14,direct_match,,,,highlands_ne_scotrail,2
SC_0001,Aberdeen,,ABD,Scotrail,Aberdeen Line,Aberdeen City,57.143127,-2.097464,FALSE,1,TRUE,1.19,,194,207,124,207,Aberdeen,9,23,direct_match,,,,highlands_ne_scotrail,2
TW_0001,Aber,,ABE,TfW,"['Coryton Line', 'Vale of Glamorgan Line']",Caerphilly,51.57496069,-3.229838935,TRUE,2,FALSE,9.62,Aber,0,0,0,0,Cardiff Central,22,179,direct_match,,,,gwr_wales_corridor,2
TW_0005,Abererch,,ABH,TfW,['Cambrian Coast Line'],Gwynedd,52.89860046,-4.374195955,FALSE,1,TRUE,0.39,Aber-erch,0,0,0,0,Shrewsbury,220,18,interchange_match_reassigned,Wrexham/Chester,MCHYNLT,,shrewsbury_wrexham_chester,2
NR_0019,Ashburys,,ABY,Northern,"['Glossop Line', 'Hope Valley Line']",Manchester,53.47139715,-2.194298663,TRUE,2,FALSE,54.79,,0,0,0,0,Manchester (Picc/Vic),5,282,direct_match,,,,manchester_northern,3
SC_0005,Achnashellach,,ACH,Scotrail,Kyle Line,Highland,57.482697,-5.333001,FALSE,1,FALSE,9.63,,0,0,0,0,Inverness,104,9,direct_match,,,,highlands_ne_scotrail,2
NR_0002,Acklington,,ACK,Northern,['East Coast Main Line'],Northumberland,55.3071,-1.65184,FALSE,1,FALSE,4.65,,0,0,0,0,Newcastle,40,4,direct_match,,,,newcastle_northern,2
SC_0004,Achnasheen,,ACN,Scotrail,Kyle Line,Highland,57.579205,-5.072421,FALSE,1,FALSE,26.75,,0,0,0,0,Inverness,86,10,direct_match,,,,highlands_ne_scotrail,2
NR_0001,Accrington,,ACR,Northern,['East Lancashire Line'],Hyndburn,53.7532,-2.37001,FALSE,1,FALSE,37.05,,0,0,0,0,Manchester (Picc/Vic),57,36,direct_match,,,,manchester_northern,2
SW_0005,Ascot (Berks),,ACT,South Western,['Waterloo to Reading Line'],Windsor and Maidenhead,51.40624634,-0.675830536,TRUE,1,FALSE,63.77,,145,107,85,145,London,89,89,direct_match,,,,south_western,3
TW_0002,Abercynon,,ACY,TfW,"['Aberdare Line', 'Merthyr Line', 'Treherbert Line']",Rhondda Cynon Taf,51.644706,-3.327000754,TRUE,3,FALSE,19.89,Abercynon,0,0,0,0,Cardiff Central,42,206,direct_match,,,,gwr_wales_corridor,2
NR_0003,Adlington (Cheshire),,ADC,Northern,['Stafford to Manchester Line'],Cheshire East,53.31957,-2.13356,FALSE,1,FALSE,60.68,,0,0,0,0,Manchester (Picc/Vic),26,38,direct_match,,,,manchester_northern,2
CM_0074,Adderley Park,,ADD,West Midlands Railway,['Chase Line'],Birmingham,52.483505,-1.854184,FALSE,1,FALSE,86.59,,0,0,0,0,Birmingham New Street,4,40,direct_match,,,,chiltern_wmr,2
NR_0015,Ardwick,,ADK,Northern,['Glossop Line'],Manchester,53.4713637,-2.21388356,FALSE,1,FALSE,53.49,,0,0,0,0,Manchester (Picc/Vic),4,4,direct_match,,,,manchester_northern,2
NR_0004,Adlington (Lancashire),,ADL,Northern,['Furness Line'],Chorley,53.6129455,-2.603061143,FALSE,1,FALSE,24.12,,0,0,0,0,Manchester (Picc/Vic),36,48,direct_match,,,,manchester_northern,2
SC_0022,Ardrossan Town,,ADN,Scotrail,Ardrossan Branch,North Ayrshire,55.639313,-4.812212,FALSE,1,TRUE,0.1,,2,0,0,2,Glasgow (Central/Queen St),50,36,direct_match,,,,glasgow_scotrail,2
SC_0008,Airdrie,,ADR,Scotrail,"['Argyle Line', 'North Clyde Electrics']",North Lanarkshire,55.864029,-3.982952,TRUE,2,FALSE,24.51,,70,93,16,93,Glasgow (Central/Queen St),26,181,direct_match,,,,glasgow_scotrail,2
SC_0020,Ardrossan Harbour,,ADS,Scotrail,Ardrossan Branch,North Ayrshire,55.640854,-4.823461,FALSE,1,TRUE,0.05,,36,49,14,49,Glasgow (Central/Queen St),53,36,direct_match,,,,glasgow_scotrail,1
SW_0004,Andover,,ADV,South Western,['South West Main Line'],Test Valley,51.21154584,-1.49223998,FALSE,1,FALSE,31.69,,3,22,37,37,London,81,81,direct_match,,,,south_western,2
SC_0006,Addiewell,,ADW,Scotrail,['Shotts Line'],West Lothian,55.843449,-3.60655,FALSE,1,FALSE,18.29,,0,0,0,0,Edinburgh Waverley,38,43,direct_match,,,,edinburgh_scotrail,2
SW_0008,Ashford (Surrey),,AFS,South Western,"['Hounslow Loop', 'Windsor Line']",Spelthorne,51.43651024,-0.468062256,TRUE,2,FALSE,59.96,,0,0,0,0,London,203,203,direct_match,,,,south_western,2
NR_0011,Ansdell & Fairhaven,,AFV,Northern,"['Fylde Line', 'South Fylde Line']",Fylde,53.74157235,-2.993056487,FALSE,1,TRUE,0.47,,0,0,0,0,Liverpool (Lime St/Central),98,34,interchange_match_bugfixed,,KIRKHAM,,liverpool_merseyside,2
TW_0007,Abergele & Pensarn,,AGL,TfW,['North Wales Coast Line'],Conwy,53.2935,-3.58261,FALSE,1,TRUE,0.42,Abergele a Phensarn,0,0,0,0,Wrexham/Chester,40,174,direct_match,,,,shrewsbury_wrexham_chester,2
SC_0023,Argyle Street,,AGS,Scotrail,Argyle Line,Glasgow City,55.855938,-4.244574,FALSE,1,FALSE,18.65,,0,0,0,0,Glasgow (Central/Queen St),1,228,direct_match,,,,glasgow_scotrail,1
SO_0001,Aldrington,,AGT,Southern,['Coastway West'],Brighton and Hove,50.83636472,-0.181209698,FALSE,1,TRUE,1.34,,0,0,0,0,London,86,86,interchange_match,,,PSLDAWH,thameslink_southern,2
TW_0006,Abergavenny,,AGV,TfW,"['Central Wales Line', 'Heart of Wales Line', 'Marches Line', 'North & West Line', 'North Wales Coast Line']",Monmouthshire,51.81669124,-3.009664242,TRUE,4,FALSE,29.83,Y Fenni,15,0,0,15,Cardiff Central,42,102,direct_match,,,,gwr_wales_corridor,2
SO_0006,Ashtead,,AHD,Southern,['Mole Valley Line'],Mole Valley,51.31788158,-0.308147338,FALSE,1,FALSE,50.42,,0,0,0,0,London,70,70,direct_match,,,,thameslink_southern,2
NR_0022,Ashton-under-Lyne,,AHN,Northern,not assigned,Tameside,53.49128474,-2.093404009,FALSE,1,FALSE,60.47,,0,0,0,0,Manchester (Picc/Vic),10,38,direct_match,,,,manchester_northern,0
SO_0007,Ashurst (Kent),,AHS,Southern,not assigned,Tunbridge Wells,51.12865582,0.152661963,FALSE,1,FALSE,37.73,,0,0,0,0,London,38,38,direct_match,,,,thameslink_southern,2
SW_0002,Aldershot,,AHT,South Western,['Alton Line'],Rushmoor,51.24641674,-0.759860484,TRUE,1,FALSE,45.72,,143,141,99,143,London,95,95,direct_match,,,,south_western,3
SW_0007,Ash Vale,,AHV,South Western,['Alton Line'],Guildford,51.27224595,-0.72164797,TRUE,1,FALSE,49.04,,0,0,0,0,London,95,95,direct_match,,,,south_western,3
ME_0001,Aigburth,,AIG,Merseyrail,['Northern Line'],Liverpool,53.3645833,-2.927160737,FALSE,1,FALSE,11.19,,0,0,0,0,Liverpool (Lime St/Central),8,134,direct_match_bugfixed,,,,liverpool_merseyside,2
ME_0003,Aintree,,AIN,Merseyrail,['Northern Line'],Sefton,53.47400907,-2.956664741,FALSE,1,FALSE,4.82,,0,0,32,32,Liverpool (Lime St/Central),18,114,direct_match_bugfixed,,,,liverpool_merseyside,2
SC_0007,Airbles,,AIR,Scotrail,Lanark Line,North Lanarkshire,55.782504,-3.994447,FALSE,1,FALSE,31.8,,0,0,0,0,Glasgow (Central/Queen St),34,73,direct_match,,,,glasgow_scotrail,2
CM_0103,Albrighton,,ALB,West Midlands Railway,['Shrewsbury to Wolverhampton Line'],Shropshire,52.637917,-2.268913,FALSE,1,FALSE,87,,0,0,0,0,Birmingham New Street,46,36,direct_match,,,,chiltern_wmr,2
NR_0006,Alderley Edge,,ALD,Northern,['Manchester to Crewe Line'],Cheshire East,53.30379521,-2.236800428,FALSE,1,FALSE,54.55,,39,33,0,39,Manchester (Picc/Vic),26,214,direct_match,,,,manchester_northern,2
EM_0001,Alfreton,,ALF,East_Midlands,['Erewash Valley'],Amber Valley,53.10045706,-1.369688632,FALSE,1,FALSE,80.88,,0,0,0,0,Derby,27,27,darwin_interchange,not assigned,,,east_midlands_emr,2
EM_0005,Aslockton,,ALK,East_Midlands,['Poacher Line'],Rushcliffe,52.95139426,-0.898543361,FALSE,1,FALSE,62.32,,0,0,0,0,Nottingham,19,19,darwin_interchange,not assigned,,,east_midlands_emr,2
NR_0008,Alnmouth,,ALM,Northern,['East Coast Main Line'],Northumberland,55.39241161,-1.636879701,FALSE,1,TRUE,0.91,,0,0,0,0,Newcastle,26,139,direct_match,,,,newcastle_northern,2
SC_0011,Alloa,,ALO,Scotrail,Stirling to Alloa Line,Clackmannanshire,56.1179,-3.7872,FALSE,1,FALSE,6.66,,78,70,27,78,Glasgow (Central/Queen St),46,71,direct_match,,,,glasgow_scotrail,1
NR_0009,Althorpe,,ALP,Northern,not assigned,North Lincolnshire,53.58528974,-0.732586396,FALSE,1,FALSE,13.16,,0,0,0,0,Sheffield,68,5,direct_match,,,,leeds_sheffield_northern,2
NR_0010,Altrincham,,ALT,Northern,['Mid-Cheshire Line'],Trafford,53.3874545,-2.347281454,FALSE,1,FALSE,45.19,,0,0,0,0,Manchester (Picc/Vic),28,36,direct_match,,,,manchester_northern,2
CM_0054,Alvechurch,,ALV,West Midlands Railway,Cross-City,Bromsgrove,52.346607,-1.967854,FALSE,1,FALSE,69.52,,0,0,0,0,Birmingham New Street,36,78,direct_match,,,,chiltern_wmr,2
NR_0007,Allens West,,ALW,Northern,"[""Hadrian's Wall Country Line"", 'Tees Valley Line', 'Tyne Valley Line']",Stockton-on-Tees,54.52411689,-1.36342611,TRUE,2,FALSE,18,,0,0,0,0,Newcastle,56,5,direct_match,,,,newcastle_northern,2
SC_0010,Alexandria,,ALX,Scotrail,['North Clyde Electrics'],West Dunbartonshire,55.98513,-4.577534,FALSE,1,TRUE,1.94,,0,0,0,0,Glasgow (Central/Queen St),45,62,direct_match,,,,glasgow_scotrail,2
EM_0003,Ambergate,,AMB,East_Midlands,"['Castle Line', 'Derwent Valley Line']",Amber Valley,53.06054078,-1.48069344,TRUE,2,FALSE,88.81,,0,0,6,6,Derby,12,12,darwin_interchange,not assigned,,,east_midlands_emr,2
TW_0009,Ammanford,,AMF,TfW,"['Central Wales Line', 'Heart of Wales Line']",Carmarthenshire,51.79597767,-3.996765792,FALSE,1,FALSE,10.07,Rhydaman,0,0,0,0,Swansea,53,18,direct_match,,,,gwr_wales_corridor,2
CM_0029,Amersham,,AMR,Chiltern Railways,Amersham Line,Buckinghamshire,51.67439,-0.60613,FALSE,1,FALSE,73.58,,0,2,3,3,London,122,122,direct_match,,,,chiltern_wmr,2
SO_0002,Amberley,,AMY,Southern,"['Arun Valley Line', 'Coastway', 'Coastway West']",Horsham,50.896668,-0.541989047,TRUE,2,FALSE,6.81,,0,0,0,0,London,67,67,direct_match,,,,thameslink_southern,2
EM_0004,Ancaster,,ANC,East_Midlands,['Poacher Line'],South Kesteven,52.98793249,-0.535615122,FALSE,1,FALSE,38.82,,0,0,0,0,Lincoln,37,37,darwin_interchange,not assigned,,,east_midlands_emr,2
SC_0014,Anderston,,AND,Scotrail,Argyle Line,Glasgow City,55.859924,-4.271969,FALSE,1,FALSE,16.91,,0,0,0,0,Glasgow (Central/Queen St),1,210,direct_match,,,,glasgow_scotrail,1
SW_0009,Ashurst New Forest,,ANF,South Western,['South West Main Line'],New Forest,50.88984033,-1.526640531,FALSE,1,FALSE,3.75,,0,0,0,0,London,18,18,direct_match,,,,south_western,2
SO_0003,Angmering,,ANG,Southern,['West Coastway'],Arun,50.8165699,-0.4893894,FALSE,1,TRUE,1.55,,0,58,77,77,London,70,70,direct_match,,,,thameslink_southern,2
SC_0016,Anniesland,,ANL,Scotrail,Argyle Line,Glasgow City,55.889553,-4.321684,TRUE,1,FALSE,12.77,,50,56,23,56,Glasgow (Central/Queen St),12,234,direct_match,,,,glasgow_scotrail,3
SC_0015,Annan,,ANN,Scotrail,['Glasgow South Western Line'],Dumfries and Galloway,54.98386,-3.262603,FALSE,1,TRUE,0.38,,0,0,0,0,Glasgow (Central/Queen St),129,14,direct_match_reassigned,Edinburgh Waverley,,,glasgow_scotrail,2
ME_0002,Ainsdale,,ANS,Merseyrail,['Northern Line'],Sefton,53.60183287,-3.042669326,FALSE,1,TRUE,1.59,,0,0,0,0,Liverpool (Lime St/Central),36,143,direct_match_bugfixed,,,,liverpool_merseyside,2
SW_0003,Alton,,AON,South Western,['Alton Line'],East Hampshire,51.15196497,-0.966920228,FALSE,1,FALSE,33.9,,117,321,148,321,London,95,95,direct_match,,,,south_western,1
NR_0014,Appley Bridge,,APB,Northern,"['Atherton Line', 'West Lancashire Line']",West Lancashire,53.578696,-2.719239,TRUE,2,FALSE,19.6,,0,0,0,0,Manchester (Picc/Vic),56,30,direct_match_reassigned,Liverpool (Lime St/Central),,,manchester_northern,2
SO_0004,Appledore (Kent),,APD,Southern,['Marshlink Line'],Ashford,51.0332352,0.816355536,FALSE,1,FALSE,8.45,,0,0,0,0,London,70,70,interchange_match,,,ASHFKY,thameslink_southern,2
NR_0013,Appleby,,APP,Northern,['Settle Carlisle Line'],Westmorland and Furness,54.58035366,-2.486692409,FALSE,1,FALSE,41.56,,0,3,0,3,Leeds,120,18,direct_match_reassigned,Newcastle,,,leeds_sheffield_northern,2
NR_0012,Apperley Bridge,,APY,Northern,['Airedale Line'],Leeds,53.84138,-1.703065,FALSE,1,FALSE,68.48,,0,0,0,0,Leeds,12,68,direct_match,,,,leeds_sheffield_northern,2
SC_0017,Arbroath,,ARB,Scotrail,Aberdeen Line,Angus,56.559628,-2.588928,FALSE,1,TRUE,0.48,,15,13,0,15,Dundee,22,111,direct_match,,,,highlands_ne_scotrail,2
SC_0018,Ardgay,,ARD,Scotrail,Far North Line,Highland,57.881119,-4.362604,FALSE,1,TRUE,0.11,,2,2,0,2,Inverness,92,20,direct_match,,,,highlands_ne_scotrail,2
SC_0024,Arisaig,,ARG,Scotrail,West Highland Line,Highland,56.912617,-5.839141,FALSE,1,TRUE,0.55,,0,0,0,0,Glasgow (Central/Queen St),306,7,direct_match_reassigned,Inverness,,,glasgow_scotrail,2
SC_0025,Armadale,,ARM,Scotrail,"['Argyle Line', 'North Clyde Electrics']",West Lothian,55.88639,-3.68504,TRUE,2,FALSE,13.34,,0,0,0,0,Edinburgh Waverley,34,70,direct_match,,,,edinburgh_scotrail,2
NR_0017,Arnside,,ARN,Northern,"['Cumbrian Coast Line', 'Furness Line']",Westmorland and Furness,54.20210888,-2.827766101,TRUE,2,TRUE,0.09,,0,0,0,0,Manchester (Picc/Vic),88,22,direct_match,,,,manchester_northern,2
NR_0018,Arram,,ARR,Northern,"['Hull and Doncaster Branch', 'Yorkshire Coast Line']",East Riding of Yorkshire,53.88458217,-0.42685721,TRUE,2,FALSE,16.2,,0,0,0,0,Leeds,94,10,interchange_match,,HULL,,leeds_sheffield_northern,2
SC_0026,Arrochar & Tarbet,,ART,Scotrail,West Highland Line,Argyll and Bute,56.204021,-4.722822,FALSE,1,TRUE,1.34,,0,0,0,0,Glasgow (Central/Queen St),76,19,direct_match,,,,glasgow_scotrail,2
SO_0005,Arundel,,ARU,Southern,"['Arun Valley Line', 'Coastway', 'Coastway West']",Arun,50.84820145,-0.546171346,TRUE,2,TRUE,1.78,,0,35,34,35,London,68,68,direct_match,,,,thameslink_southern,3
SC_0021,Ardrossan South Beach,,ASB,Scotrail,Largs Branch,North Ayrshire,55.640495,-4.799593,TRUE,1,TRUE,0.19,,6,5,0,6,Glasgow (Central/Queen St),48,81,direct_match,,,,glasgow_scotrail,3
GR_0004,Ashchurch for Tewkesbury,,ASC,Great_Western,['Golden Valley Line'],Tewkesbury,51.99916912,-2.109057444,FALSE,1,FALSE,31.22,,0,0,0,0,London,2,2,direct_match,,,,gwr_london,2
GR_0005,Ashley Down,,ASD,Great_Western,not assigned,"Bristol, City of",51.4786762,-2.5771154,FALSE,1,FALSE,9.49,,0,0,0,0,London,31,31,interchange_match,,,BRSTLEJ,gwr_london,2
