station_id,station_name,english_name,crs,operator,route,region,latitude,longitude,is_interchange,route_count,is_coastal,distance_to_coast_km,welsh_name,terminus_weekday,terminus_sat,terminus_sun,terminus_max,canonical_hub,canonical_time_to_hub,canonical_time_n,canonical_time_status,hub_reassigned_from,interchange_via,interchange_via_london,quiz_id,direction_count,time_to_glasgow_central,time_to_victoria,time_to_charing_cross,time_to_euston,time_to_liverpool_street,time_to_stratford
SC_0003,Achanalt,,AAT,Scotrail,['Far North Line'],Highland,57.609921,-4.914243,False,1,False,25.2,,0,0,0,0,Inverness,74.0,9.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
TW_0003,Aberdare,,ABA,TfW,"['Aberdare Line', 'Merthyr Line']",Rhondda Cynon Taf,51.71505747,-3.443099147,True,2,False,27.52,Aberdâr,187,259,100,259,Cardiff Central,62.0,105.0,direct_match,,,,gwr_wales_corridor,1,,,,,,
SC_0013,Altnabreac,,ABC,Scotrail,['Far North Line'],Highland,58.388439,-3.705279,False,1,False,20.05,,0,0,0,0,Inverness,204.0,14.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
SC_0001,Aberdeen,,ABD,Scotrail,['Aberdeen Line'],Aberdeen City,57.143127,-2.097464,False,1,True,1.19,,194,207,124,207,Aberdeen,9.0,23.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
TW_0001,Aber,,ABE,TfW,"['Coryton Line', 'Vale of Glamorgan Line']",Caerphilly,51.57496069,-3.229838935,True,2,False,9.62,Aber,0,0,0,0,Cardiff Central,22.0,179.0,direct_match,,,,gwr_wales_corridor,2,,,,,,
TW_0005,Abererch,,ABH,TfW,['Cambrian Coast Line'],Gwynedd,52.89860046,-4.374195955,False,1,True,0.39,Aber-erch,0,0,0,0,Shrewsbury,220.0,18.0,interchange_match_reassigned,Wrexham/Chester,MCHYNLT,,shrewsbury_wrexham_chester,2,,,,,,
NR_0019,Ashburys,,ABY,Northern,"['Glossop Line', 'Hope Valley Line']",Manchester,53.47139715,-2.194298663,True,2,False,54.79,,0,0,0,0,Manchester (Picc/Vic),5.0,282.0,direct_match,,,,manchester_northern,3,,,,,,
SC_0005,Achnashellach,,ACH,Scotrail,['Kyle Line'],Highland,57.482697,-5.333001,False,1,False,9.63,,0,0,0,0,Inverness,104.0,9.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
NR_0002,Acklington,,ACK,Northern,['East Coast Main Line'],Northumberland,55.3071,-1.65184,False,1,False,4.65,,0,0,0,0,Newcastle,40.0,4.0,direct_match,,,,newcastle_northern,2,,,,,,
SC_0004,Achnasheen,,ACN,Scotrail,['Kyle Line'],Highland,57.579205,-5.072421,False,1,False,26.75,,0,0,0,0,Inverness,86.0,10.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
