theme,word,count
direction,West,39
direction,South,28
direction,North,28
direction,East,26
direction,Upper,5
direction,Lower,2
nature,Hill,33
nature,Green,28
nature,Wood,13
nature,Heath,13
nature,Vale,6
nature,Bank,4
nature,Moor,3
nature,Marsh,2
nature,Field,1
number,Seven,2
number,Three,2
number,Five,1
number,Four,1
transport,Road,50
transport,Bridge,32
transport,Central,32
transport,Street,31
transport,Parkway,23
transport,Junction,18
transport,Lane,12
transport,Cross,12
transport,Airport,10
transport,International,7
transport,Harbour,4
water,Bay,9
water,Dock,2
water,Quay,2
water,Sea,1
