station,prefix,suffix
Aberdovey,Aber,Dovey
Ashfield,Ash,Field
Barrhead,Barr,Head
Barrhill,Barr,Hill
Bathgate,Bath,Gate
Bayford,Bay,Ford
Benfleet,Ben,Fleet
Bexleyheath,Bexley,Heath
Blairhill,Blair,Hill
Blakedown,Blake,Down
Brentford,Brent,Ford
Brentwood,Brent,Wood
Cambridge,Cam,Bridge
Castleford,Castle,Ford
Chapeltown,Chapel,Town
Chesterfield,Chester,Field
Chorleywood,Chorley,Wood
Commondale,Common,Dale
Crayford,Cray,Ford
Crosshill,Cross,Hill
Dockyard,Dock,Yard
Dovercourt,Dover,Court
Eastbourne,East,Bourne
Eastleigh,East,Leigh
Edenbridge,Eden,Bridge
Ferryside,Ferry,Side
Grangetown,Grange,Town
Greenbank,Green,Bank
Greenfield,Green,Field
Greenford,Green,Ford
Halewood,Hale,Wood
Hammerton,Ham,Merton
Hartford,Hart,Ford
Hartwood,Hart,Wood
Havenhouse,Haven,House
Hightown,High,Town
Hillside,Hill,Side
Howwood,How,Wood
Kingswood,Kings,Wood
Kirkconnel,Kirk,Connel
Kirkdale,Kirk,Dale
Kirkhill,Kirk,Hill
Kirknewton,Kirk,Newton
Kirkwood,Kirk,Wood
Limehouse,Lime,House
Littleborough,Little,Borough
Littlehampton,Little,Hampton
Littlehaven,Little,Haven
Littleport,Little,Port
Lockwood,Lock,Wood
Longbridge,Long,Bridge
Longcross,Long,Cross
Longfield,Long,Field
Longport,Long,Port
Maidenhead,Maiden,Head
Maryhill,Mary,Hill
Maryport,Mary,Port
Moorfields,Moor,Fields
Moorgate,Moor,Gate
Moorside,Moor,Side
Moorthorpe,Moor,Thorpe
Mosspark,Moss,Park
Newbridge,New,Bridge
Newbury,New,Bury
Newcastle,New,Castle
Newcourt,New,Court
Newmarket,New,Market
Newquay,New,Quay
Newtongrange,Newton,Grange
Northallerton,North,Allerton
Northfield,North,Field
Pensarn,Pen,Sarn
Petersfield,Peters,Field
Portchester,Port,Chester
Portslade,Port,Slade
Queenborough,Queen,Borough
Seaford,Sea,Ford
Sevenoaks,Seven,Oaks
Silverdale,Silver,Dale
Snowdown,Snow,Down
Southbourne,South,Bourne
Southbury,South,Bury
Southminster,South,Minster
Southport,South,Port
Southwick,South,Wick
Springfield,Spring,Field
Stonegate,Stone,Gate
Stonehaven,Stone,Haven
Stonehouse,Stone,House
Stoneleigh,Stone,Leigh
Stowmarket,Stow,Market
Streethouse,Street,House
Templecombe,Temple,Combe
Thorntonhall,Thornton,Hall
Tilehurst,Tile,Hurst
Tonbridge,Ton,Bridge
Waterbeach,Water,Beach
Wellingborough,Welling,Borough
Westbury,West,Bury
Westerfield,Wester,Field
Whitechapel,White,Chapel
Whitehaven,White,Haven
Wickford,Wick,Ford
Williamwood,William,Wood
Woodbridge,Wood,Bridge
Woodhall,Wood,Hall
Woodhouse,Wood,House
Woodsmoor,Woods,Moor
