station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Barking,BKG,C2C_GA,,,51.5400412345,0.0807933827,,,,,,,,,,,,,,,,C2_000001,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000001,,,,,False,
Basildon,BSO,C2C_GA,,,51.5681114558,0.4567956956,,,,,,,,,,,,,,,,C2_000002,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000002,,,,,False,
Benfleet,BEF,C2C_GA,,,51.5439490855,0.561723002,,,,,,,,,,,,,,,,C2_000003,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000003,,,,,False,
Chafford Hundred Lakeside,CFH,C2C_GA,,,51.485645362,0.2872366517,,,,,,,,,,,,,,,,C2_000004,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000004,,,,,False,
Chalkwell,CHW,C2C_GA,,,51.538722717,0.6706052576,,,,,,,,,,,,,,,,C2_000005,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000005,,,,,False,
Dagenham Dock,DDK,C2C_GA,,,51.5262934247,0.1450431938,,,,,,,,,,,,,,,,C2_000006,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000006,,,,,False,
East Tilbury,ETL,C2C_GA,,,51.4848340787,0.4129328582,,,,,,,,,,,,,,,,C2_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000007,,,,,False,
Grays,GRY,C2C_GA,,,51.4762505757,0.3218346029,,,,,,,,,,,,,,,,C2_000008,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000008,,,,,False,
Laindon,LAI,C2C_GA,,,51.5677669135,0.4236436899,,,,,,,,,,,,,,,,C2_000009,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000009,,,,,False,
Leigh-on-Sea,LES,C2C_GA,,,51.5413668098,0.6404283175,,,,,,,,,,,,,,,,C2_000010,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000010,,,,,False,
Limehouse,LHS,C2C_GA,,,51.512794432,-0.0393527349,,,,,,,,,,,,,,,,C2_000011,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000011,,,,,False,
London Fenchurch Street,FST,C2C_GA,,,51.51157341,-0.078591579,,,,,,,,,,,,,,,,C2_000012,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000012,,,,,False,
Ockendon,OCK,C2C_GA,,,51.5219961849,0.2904709275,,,,,,,,,,,,,,,,C2_000013,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000013,,,,,False,
Pitsea,PSE,C2C_GA,,,51.5603638481,0.5063012148,,,,,,,,,,,,,,,,C2_000014,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000014,,,,,False,
Purfleet,PFL,C2C_GA,,,51.4810161506,0.2367813953,,,,,,,,,,,,,,,,C2_000015,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000015,,,,,False,
Rainham (Essex),RNM,C2C_GA,,,51.5173546284,0.1907490215,,,,,,,,,,,,,,,,C2_000016,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000016,,,,,False,
Shoeburyness,SRY,C2C_GA,,,51.5309758701,0.7953607931,,,,,,,,,,,,,,,,C2_000017,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000017,,,,,False,
Southend Central,SOC,C2C_GA,,,51.5370680411,0.7117404187,,,,,,,,,,,,,,,,C2_000018,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000018,,,,,False,
Southend East,SOE,C2C_GA,,,51.5389761049,0.7318291094,,,,,,,,,,,,,,,,C2_000019,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000019,,,,,False,
Stanford-le-Hope,SFO,C2C_GA,,,51.5143671372,0.4230412837,,,,,,,,,,,,,,,,C2_000020,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000020,,,,,False,
Thorpe Bay,TPB,C2C_GA,,,51.5375737603,0.7617431863,,,,,,,,,,,,,,,,C2_000021,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000021,,,,,False,
Tilbury Town,TIL,C2C_GA,,,51.4623607916,0.3540417321,,,,,,,,,,,,,,,,C2_000022,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000022,,,,,False,
Upminster,UPM,C2C_GA,,,51.5593632504,0.2519216008,,,,,,,,,,,,,,,,C2_000023,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000023,,,,,False,
West Horndon,WHR,C2C_GA,,,51.567950568,0.3406471967,,,,,,,,,,,,,,,,C2_000024,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000024,,,,,False,
Westcliff,WCF,C2C_GA,,,51.5373370324,0.691479135,,,,,,,,,,,,,,,,C2_000025,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000025,,,,,False,
