station_id,network,route_station_id,route_group,crs,station_name
C2_000001,C2C_GA,C20001,,BKG,Barking
C2_000002,C2C_GA,C20002,,BSO,Basildon
C2_000003,C2C_GA,C20003,,BEF,Benfleet
C2_000004,C2C_GA,C20004,,CFH,Chafford Hundred Lakeside
C2_000005,C2C_GA,C20005,,CHW,Chalkwell
C2_000006,C2C_GA,C20006,,DDK,Dagenham Dock
C2_000007,C2C_GA,C20007,,ETL,East Tilbury
C2_000008,C2C_GA,C20008,,GRY,Grays
C2_000009,C2C_GA,C20009,,LAI,Laindon
C2_000010,C2C_GA,C20010,,LES,Leigh-on-Sea
C2_000011,C2C_GA,C20011,,LHS,Limehouse
C2_000012,C2C_GA,C20012,,FST,London Fenchurch Street
C2_000013,C2C_GA,C20013,,OCK,Ockendon
C2_000014,C2C_GA,C20014,,PSE,Pitsea
C2_000015,C2C_GA,C20015,,PFL,Purfleet
C2_000016,C2C_GA,C20016,,RNM,Rainham (Essex)
C2_000017,C2C_GA,C20017,,SRY,Shoeburyness
C2_000018,C2C_GA,C20018,,SOC,Southend Central
C2_000019,C2C_GA,C20019,,SOE,Southend East
C2_000020,C2C_GA,C20020,,SFO,Stanford-le-Hope
C2_000021,C2C_GA,C20021,,TPB,Thorpe Bay
C2_000022,C2C_GA,C20022,,TIL,Tilbury Town
C2_000023,C2C_GA,C20023,,UPM,Upminster
C2_000024,C2C_GA,C20024,,WHR,West Horndon
C2_000025,C2C_GA,C20025,,WCF,Westcliff
