station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Barking,BKG,c2c,,,51.5400412345,0.0807933827,,,,,,,,,,,,,,,,C2_000001
Basildon,BSO,c2c,,,51.5681114558,0.4567956956,,,,,,,,,,,,,,,,C2_000002
Benfleet,BEF,c2c,,,51.5439490855,0.561723002,,,,,,,,,,,,,,,,C2_000003
Chafford Hundred Lakeside,CFH,c2c,,,51.485645362,0.2872366517,,,,,,,,,,,,,,,,C2_000004
Chalkwell,CHW,c2c,,,51.538722717,0.6706052576,,,,,,,,,,,,,,,,C2_000005
Dagenham Dock,DDK,c2c,,,51.5262934247,0.1450431938,,,,,,,,,,,,,,,,C2_000006
East Tilbury,ETL,c2c,,,51.4848340787,0.4129328582,,,,,,,,,,,,,,,,C2_000007
Grays,GRY,c2c,,,51.4762505757,0.3218346029,,,,,,,,,,,,,,,,C2_000008
Laindon,LAI,c2c,,,51.5677669135,0.4236436899,,,,,,,,,,,,,,,,C2_000009
Leigh-on-Sea,LES,c2c,,,51.5413668098,0.6404283175,,,,,,,,,,,,,,,,C2_000010
Limehouse,LHS,c2c,,,51.512794432,-0.0393527349,,,,,,,,,,,,,,,,C2_000011
London Fenchurch Street,FST,c2c,,,51.51157341,-0.078591579,,,,,,,,,,,,,,,,C2_000012
Ockendon,OCK,c2c,,,51.5219961849,0.2904709275,,,,,,,,,,,,,,,,C2_000013
Pitsea,PSE,c2c,,,51.5603638481,0.5063012148,,,,,,,,,,,,,,,,C2_000014
Purfleet,PFL,c2c,,,51.4810161506,0.2367813953,,,,,,,,,,,,,,,,C2_000015
Rainham (Essex),RNM,c2c,,,51.5173546284,0.1907490215,,,,,,,,,,,,,,,,C2_000016
Shoeburyness,SRY,c2c,,,51.5309758701,0.7953607931,,,,,,,,,,,,,,,,C2_000017
Southend Central,SOC,c2c,,,51.5370680411,0.7117404187,,,,,,,,,,,,,,,,C2_000018
Southend East,SOE,c2c,,,51.5389761049,0.7318291094,,,,,,,,,,,,,,,,C2_000019
Stanford-le-Hope,SFO,c2c,,,51.5143671372,0.4230412837,,,,,,,,,,,,,,,,C2_000020
Thorpe Bay,TPB,c2c,,,51.5375737603,0.7617431863,,,,,,,,,,,,,,,,C2_000021
Tilbury Town,TIL,c2c,,,51.4623607916,0.3540417321,,,,,,,,,,,,,,,,C2_000022
Upminster,UPM,c2c,,,51.5593632504,0.2519216008,,,,,,,,,,,,,,,,C2_000023
West Horndon,WHR,c2c,,,51.567950568,0.3406471967,,,,,,,,,,,,,,,,C2_000024
Westcliff,WCF,c2c,,,51.5373370324,0.691479135,,,,,,,,,,,,,,,,C2_000025
