station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Aylesbury,AYS,Chiltern,,,51.8136436,-0.8175109,,,,,,,,,,,,,,,,CH_000001,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000001,,,,,False,
Aylesbury Vale Parkway,AVP,Chiltern,,,51.83124585608368,-0.8598321335907055,,,,,,,,,,,,,,,,CH_000002,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000002,,,,,False,
Banbury,BAN,Chiltern,,,52.06031282,-1.328130455,,,,,,,,,,,,,,,,CH_000003,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000003,,,,,False,
Beaconsfield,BCF,Chiltern,,,51.61129066,-0.643817675,,,,,,,,,,,,,,,,CH_000004,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000004,,,,,False,
Bicester North,BCS,Chiltern,,,51.90349153,-1.150376878,,,,,,,,,,,,,,,,CH_000005,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000005,,,,,False,
Bicester Village,BIT,Chiltern,,,51.89263668409826,-1.1494282023043747,,,,,,,,,,,,,,,,CH_000006,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000006,,,,,False,
Birmingham Moor Street,BMO,Chiltern,,,52.479088,-1.89246908,,,,,,,,,,,,,,,,CH_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000007,,,,,False,
Denham,DNM,Chiltern,,,51.5788354,-0.497428347,,,,,,,,,,,,,,,,CH_000008,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000008,,,,,False,
Denham Golf Club,DGC,Chiltern,,,51.58059592,-0.517778734,,,,,,,,,,,,,,,,CH_000009,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000009,,,,,False,
Dorridge,DDG,Chiltern,,,52.37208286,-1.752908156,,,,,,,,,,,,,,,,CH_000010,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000010,,,,,False,
Gerrards Cross,GER,Chiltern,,,51.58902157,-0.555268471,,,,,,,,,,,,,,,,CH_000011,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000011,,,,,False,
Great Missenden,GMN,Chiltern,,,51.70352072,-0.709137756,,,,,,,,,,,,,,,,CH_000012,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000012,,,,,False,
Haddenham & Thame Parkway,HDM,Chiltern,,,51.77085986,-0.942139967,,,,,,,,,,,,,,,,CH_000013,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000013,,,,,False,
Hatton,HTN,Chiltern,,,52.29528991,-1.672981218,,,,,,,,,,,,,,,,CH_000014,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000014,,,,,False,
High Wycombe,HWY,Chiltern,,,51.62958615,-0.74540803,,,,,,,,,,,,,,,,CH_000015,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000015,,,,,False,
Islip,ISP,Chiltern,,,51.82576003,-1.238178071,,,,,,,,,,,,,,,,CH_000016,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000016,,,,,False,
Kings Sutton,KGS,Chiltern,,,52.02135474,-1.280927148,,,,,,,,,,,,,,,,CH_000017,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000017,,,,,False,
Lapworth,LPW,Chiltern,,,52.34127509,-1.725484472,,,,,,,,,,,,,,,,CH_000018,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000018,,,,,False,
Leamington Spa,LMS,Chiltern,,,52.28450186,-1.536212243,,,,,,,,,,,,,,,,CH_000019,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000019,,,,,False,
Little Kimble,LTK,Chiltern,,,51.752274,-0.808458,,,,,,,,,,,,,,,,CH_000020,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000020,,,,,False,
London Marylebone,MYB,Chiltern,,,51.5225334244457,-0.1626514249185695,,,,,,,,,,,,,,,,CH_000021,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000021,,,,,False,
Monks Risborough,MRS,Chiltern,,,51.73576572,-0.829333579,,,,,,,,,,,,,,,,CH_000022,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000022,,,,,False,
Northolt Park,NLT,Chiltern,,,51.55763535,-0.359421311,,,,,,,,,,,,,,,,CH_000023,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000023,,,,,False,
Oxford Parkway,OXP,Chiltern,,,51.80355006506105,-1.274979798469263,,,,,,,,,,,,,,,,CH_000024,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000024,,,,,False,
Princes Risborough,PRR,Chiltern,,,51.71786322,-0.843881476,,,,,,,,,,,,,,,,CH_000025,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000025,,,,,False,
Saunderton,SDR,Chiltern,,,51.67590446,-0.825468633,,,,,,,,,,,,,,,,CH_000026,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000026,,,,,False,
Seer Green & Jordans,SRG,Chiltern,,,51.60966864,-0.607428365,,,,,,,,,,,,,,,,CH_000027,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000027,,,,,False,
Solihull,SOL,Chiltern,,,52.414621,-1.7893935,,,,,,,,,,,,,,,,CH_000028,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000028,,,,,False,
Stoke Mandeville,SKM,Chiltern,,,51.78780029,-0.784084548,,,,,,,,,,,,,,,,CH_000029,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000029,,,,,False,
Sudbury & Harrow Road,SUD,Chiltern,,,51.5545018,-0.315970143,,,,,,,,,,,,,,,,CH_000030,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000030,,,,,False,
Sudbury Hill Harrow,SDH,Chiltern,,,51.55838698,-0.336167829,,,,,,,,,,,,,,,,CH_000031,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000031,,,,,False,
Warwick,WRW,Chiltern,,,52.28655133,-1.581858014,,,,,,,,,,,,,,,,CH_000032,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000032,,,,,False,
Warwick Parkway,WRP,Chiltern,,,52.28611497,-1.612062229,,,,,,,,,,,,,,,,CH_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000033,,,,,False,
Wembley Stadium,WCX,Chiltern,,,51.55469663,-0.285958395,,,,,,,,,,,,,,,,CH_000034,[nan],1,1,low,single,,False,False,multiple,False,True,False,CH_000034,,,,,False,
Wendover,WND,Chiltern,,,51.76176123,-0.747369763,,,,,,,,,,,,,,,,CH_000035,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000035,,,,,False,
Winslow,WNO,Chiltern,,,51.948515,-0.88707,,,,,,,,,,,,,,,,CH_000036,[nan],1,1,low,single,,False,False,single,False,True,False,CH_000036,,,,,False,
