station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Acle,ACL,Greater Anglia,,,52.63470623,1.543930278,,,,,,,,,,,,,,,,GR_000001
Alresford (Essex),ALR,Greater Anglia,,,51.85400474,0.996704746,,,,,,,,,,,,,,,,GR_000002
Althorne (Essex),ALN,Greater Anglia,,,51.64787695,0.752499154,,,,,,,,,,,,,,,,GR_000003
Attleborough,ATL,Greater Anglia,,,52.51426479,1.022679778,,,,,,,,,,,,,,,,GR_000004
Audley End,AUD,Greater Anglia,,,52.00445153,0.2071621,,,,,,,,,,,,,,,,GR_000005
Barking,BKG,c2c,,,51.5400412345,0.0807933827,,,,,,,,,,,,,,,,C2_000001
Basildon,BSO,c2c,,,51.5681114558,0.4567956956,,,,,,,,,,,,,,,,C2_000002
Battlesbridge,BLB,Greater Anglia,,,51.62486557,0.56580343,,,,,,,,,,,,,,,,GR_000006
Beaulieu Park,BPA,Greater Anglia,,,51.7626912,0.5153919,,,,,,,,,,,,,,,,GR_000007
Beccles,BCC,Greater Anglia,,,52.45854162,1.569508099,,,,,,,,,,,,,,,,GR_000008
Benfleet,BEF,c2c,,,51.5439490855,0.561723002,,,,,,,,,,,,,,,,C2_000003
Berney Arms,BYA,Greater Anglia,,,52.58980986,1.630392836,,,,,,,,,,,,,,,,GR_000009
Billericay,BIC,Greater Anglia,,,51.62889045,0.418635763,,,,,,,,,,,,,,,,GR_000010
Bishops Stortford,BIS,Greater Anglia,,,51.86669627,0.164908628,,,,,,,,,,,,,,,,GR_000011
Braintree,BTR,Greater Anglia,,,51.87540511,0.556698654,,,,,,,,,,,,,,,,GR_000012
Braintree Freeport,BTP,Greater Anglia,,,51.86901047,0.567449428,,,,,,,,,,,,,,,,GR_000013
Brampton (Suffolk),BRP,Greater Anglia,,,52.39545244,1.543824133,,,,,,,,,,,,,,,,GR_000014
Brandon,BND,Greater Anglia,,,52.45402845,0.62473398,,,,,,,,,,,,,,,,GR_000015
Brimsdown,BMD,Greater Anglia,,,51.65528087,-0.03103974,,,,,,,,,,,,,,,,GR_000016
Broxbourne,BXB,Greater Anglia,,,51.74691233,-0.011077941,,,,,,,,,,,,,,,,GR_000017
Brundall,BDA,Greater Anglia,,,52.61980542,1.439275107,,,,,,,,,,,,,,,,GR_000018
Brundall Gardens,BGA,Greater Anglia,,,52.62309579,1.418842092,,,,,,,,,,,,,,,,GR_000019
Buckenham,BUC,Greater Anglia,,,52.59776177,1.47033814,,,,,,,,,,,,,,,,GR_000020
Bures,BUE,Greater Anglia,,,51.97099242,0.769005125,,,,,,,,,,,,,,,,GR_000021
Burnham-on-Crouch,BUU,Greater Anglia,,,51.83777485955504,2.3081857979999976,,,,,,,,,,,,,,,,GR_000022
Bury St Edmunds,BSE,Greater Anglia,,,52.25377846,0.713310161,,,,,,,,,,,,,,,,GR_000023
