station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Alfreton,ALF,East_Midlands,,,53.10045706,-1.369688632,,,,,,,,,,,,,,,,EA_000001,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000001,,,,,False,
Alsager,ASG,East_Midlands,,,53.09275298,-2.298612158,,,,,,,,,,,,,,,,EA_000002,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000002,,,,,False,
Ambergate,AMB,East_Midlands,,,53.06054078,-1.48069344,,,,,,,,,,,,,,,,EA_000003,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000003,,,,,False,
Ancaster,ANC,East_Midlands,,,52.98793249,-0.535615122,,,,,,,,,,,,,,,,EA_000004,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000004,,,,,False,
Aslockton,ALK,East_Midlands,,,52.95139426,-0.898543361,,,,,,,,,,,,,,,,EA_000005,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000005,,,,,False,
Attenborough,ATB,East_Midlands,,,52.9063664,-1.231269105,,,,,,,,,,,,,,,,EA_000006,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000006,,,,,False,
Barrow Haven,BAV,East_Midlands,,,53.6971445,-0.391442806,,,,,,,,,,,,,,,,EA_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000007,,,,,False,
Barrow-upon-Soar,BWS,East_Midlands,,,52.75028353,-1.149568919,,,,,,,,,,,,,,,,EA_000008,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000008,,,,,False,
Barton-on-Humber,BAU,East_Midlands,,,53.68883974,-0.443251195,,,,,,,,,,,,,,,,EA_000009,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000009,,,,,False,
Beeston,BEE,East_Midlands,,,52.92077475,-1.207661803,,,,,,,,,,,,,,,,EA_000010,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000010,,,,,False,
Belper,BLP,East_Midlands,,,53.02459133,-1.482616227,,,,,,,,,,,,,,,,EA_000011,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000011,,,,,False,
Bingham,BIN,East_Midlands,,,52.95457509,-0.952051798,,,,,,,,,,,,,,,,EA_000012,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000012,,,,,False,
Bleasby,BSB,East_Midlands,,,53.04169182,-0.942482306,,,,,,,,,,,,,,,,EA_000013,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000013,,,,,False,
Blythe Bridge,BYB,East_Midlands,,,52.96816538,-2.066959695,,,,,,,,,,,,,,,,EA_000014,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000014,,,,,False,
Boston,BSN,East_Midlands,,,52.97811818,-0.031002264,,,,,,,,,,,,,,,,EA_000015,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000015,,,,,False,
Bottesford,BTF,East_Midlands,,,52.94500577,-0.796014823,,,,,,,,,,,,,,,,EA_000016,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000016,,,,,False,
Bulwell,BLW,East_Midlands,,,52.99971765,-1.196233543,,,,,,,,,,,,,,,,EA_000017,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000017,,,,,False,
Burton Joyce,BUJ,East_Midlands,,,52.98409116,-1.040713371,,,,,,,,,,,,,,,,EA_000018,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000018,,,,,False,
Burton-on-Trent,BUT,East_Midlands,,,52.80583306,-1.642462026,,,,,,,,,,,,,,,,EA_000019,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000019,,,,,False,
Carlton,CTO,East_Midlands,,,52.96497797,-1.079253189,,,,,,,,,,,,,,,,EA_000020,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000020,,,,,False,
Chesterfield,CHD,East_Midlands,,,53.23824054,-1.420109085,,,,,,,,,,,,,,,,EA_000021,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000021,,,,,False,
Collingham,CLM,East_Midlands,,,53.14411144,-0.750383181,,,,,,,,,,,,,,,,EA_000022,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000022,,,,,False,
Corby,COR,East_Midlands,,,52.488051,-0.689243,,,,,,,,,,,,,,,,EA_000023,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000023,,,,,False,
Creswell,CWD,East_Midlands,,,53.26403988,-1.215873919,,,,,,,,,,,,,,,,EA_000024,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000024,,,,,False,
Cromford,CMF,East_Midlands,,,53.11294781,-1.548786122,,,,,,,,,,,,,,,,EA_000025,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000025,,,,,False,
Derby,DBY,East_Midlands,,,52.91618036,-1.463073262,,,,,,,,,,,,,,,,EA_000026,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000026,,,,,False,
Duffield,DFI,East_Midlands,,,52.98774917,-1.486035917,,,,,,,,,,,,,,,,EA_000027,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000027,,,,,False,
East Midlands Parkway,EMD,East_Midlands,,,52.864306,-1.264687,,,,,,,,,,,,,,,,EA_000028,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000028,,,,,False,
Elton & Orston,ELO,East_Midlands,,,52.95188523,-0.855364249,,,,,,,,,,,,,,,,EA_000029,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000029,,,,,False,
Fiskerton,FSK,East_Midlands,,,53.06029715,-0.912182054,,,,,,,,,,,,,,,,EA_000030,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000030,,,,,False,
Gainsborough Lea Road,GBL,East_Midlands,,,53.38611247,-0.768583076,,,,,,,,,,,,,,,,EA_000031,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000031,,,,,False,
Goxhill,GOX,East_Midlands,,,53.67671563,-0.337125453,,,,,,,,,,,,,,,,EA_000032,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000032,,,,,False,
Great Coates,GCT,East_Midlands,,,53.57577255,-0.130229747,,,,,,,,,,,,,,,,EA_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000033,,,,,False,
Grimsby Docks,GMD,East_Midlands,,,53.57433986,-0.075615006,,,,,,,,,,,,,,,,EA_000034,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000034,,,,,False,
Habrough,HAB,East_Midlands,,,53.60553503,-0.267975846,,,,,,,,,,,,,,,,EA_000035,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000035,,,,,False,
Havenhouse,HVN,East_Midlands,,,53.11449084,0.273177619,,,,,,,,,,,,,,,,EA_000036,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000036,,,,,False,
Healing,HLI,East_Midlands,,,53.5818177,-0.160630049,,,,,,,,,,,,,,,,EA_000037,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000037,,,,,False,
Heckington,HEC,East_Midlands,,,52.97733733,-0.293936548,,,,,,,,,,,,,,,,EA_000038,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000038,,,,,False,
Hinckley (Leics),HNK,East_Midlands,,,52.53501671,-1.371919253,,,,,,,,,,,,,,,,EA_000039,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000039,,,,,False,
Hubberts Bridge,HBB,East_Midlands,,,52.97564369,-0.110071823,,,,,,,,,,,,,,,,EA_000040,[nan],1,1,low,single,,False,False,multiple,False,True,False,EA_000040,,,,,False,
Hucknall,HKN,East_Midlands,,,53.03830732,-1.195814321,,,,,,,,,,,,,,,,EA_000041,[nan],1,1,low,single,,False,False,single,False,True,False,EA_000041,,,,,False,
