station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Alfreton,ALF,East Midlands Railway,,,53.10045706,-1.369688632,,,,,,,,,,,,,,,,EA_000001
Alsager,ASG,East Midlands Railway,,,53.09275298,-2.298612158,,,,,,,,,,,,,,,,EA_000002
Ambergate,AMB,East Midlands Railway,,,53.06054078,-1.48069344,,,,,,,,,,,,,,,,EA_000003
Ancaster,ANC,East Midlands Railway,,,52.98793249,-0.535615122,,,,,,,,,,,,,,,,EA_000004
Aslockton,ALK,East Midlands Railway,,,52.95139426,-0.898543361,,,,,,,,,,,,,,,,EA_000005
Attenborough,ATB,East Midlands Railway,,,52.9063664,-1.231269105,,,,,,,,,,,,,,,,EA_000006
Barrow Haven,BAV,East Midlands Railway,,,53.6971445,-0.391442806,,,,,,,,,,,,,,,,EA_000007
Barrow-upon-Soar,BWS,East Midlands Railway,,,52.75028353,-1.149568919,,,,,,,,,,,,,,,,EA_000008
Barton-on-Humber,BAU,East Midlands Railway,,,53.68883974,-0.443251195,,,,,,,,,,,,,,,,EA_000009
Beeston,BEE,East Midlands Railway,,,52.92077475,-1.207661803,,,,,,,,,,,,,,,,EA_000010
Belper,BLP,East Midlands Railway,,,53.02459133,-1.482616227,,,,,,,,,,,,,,,,EA_000011
Bingham,BIN,East Midlands Railway,,,52.95457509,-0.952051798,,,,,,,,,,,,,,,,EA_000012
Bleasby,BSB,East Midlands Railway,,,53.04169182,-0.942482306,,,,,,,,,,,,,,,,EA_000013
Blythe Bridge,BYB,East Midlands Railway,,,52.96816538,-2.066959695,,,,,,,,,,,,,,,,EA_000014
Boston,BSN,East Midlands Railway,,,52.97811818,-0.031002264,,,,,,,,,,,,,,,,EA_000015
Bottesford,BTF,East Midlands Railway,,,52.94500577,-0.796014823,,,,,,,,,,,,,,,,EA_000016
Bulwell,BLW,East Midlands Railway,,,52.99971765,-1.196233543,,,,,,,,,,,,,,,,EA_000017
Burton Joyce,BUJ,East Midlands Railway,,,52.98409116,-1.040713371,,,,,,,,,,,,,,,,EA_000018
Burton-on-Trent,BUT,East Midlands Railway,,,52.80583306,-1.642462026,,,,,,,,,,,,,,,,EA_000019
Carlton,CTO,East Midlands Railway,,,52.96497797,-1.079253189,,,,,,,,,,,,,,,,EA_000020
Chesterfield,CHD,East Midlands Railway,,,53.23824054,-1.420109085,,,,,,,,,,,,,,,,EA_000021
Collingham,CLM,East Midlands Railway,,,53.14411144,-0.750383181,,,,,,,,,,,,,,,,EA_000022
Corby,COR,East Midlands Railway,,,52.488051,-0.689243,,,,,,,,,,,,,,,,EA_000023
Creswell,CWD,East Midlands Railway,,,53.26403988,-1.215873919,,,,,,,,,,,,,,,,EA_000024
Cromford,CMF,East Midlands Railway,,,53.11294781,-1.548786122,,,,,,,,,,,,,,,,EA_000025
Derby,DBY,East Midlands Railway,,,52.91618036,-1.463073262,,,,,,,,,,,,,,,,EA_000026
Duffield,DFI,East Midlands Railway,,,52.98774917,-1.486035917,,,,,,,,,,,,,,,,EA_000027
East Midlands Parkway,EMD,East Midlands Railway,,,52.864306,-1.264687,,,,,,,,,,,,,,,,EA_000028
Elton & Orston,ELO,East Midlands Railway,,,52.95188523,-0.855364249,,,,,,,,,,,,,,,,EA_000029
Fiskerton,FSK,East Midlands Railway,,,53.06029715,-0.912182054,,,,,,,,,,,,,,,,EA_000030
Gainsborough Lea Road,GBL,East Midlands Railway,,,53.38611247,-0.768583076,,,,,,,,,,,,,,,,EA_000031
