station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_Paddington,time_band,distance_from_paddington_km,distance_band,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,,route_groups,route_count,service_count,service_density,route_diversity_band,region,word_count_band,is_branch_line,is_mainline,is_coastal,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
GR_0001,GR_R0001,Aldermaston,AMT,Great_Western,Berks & Hants Line,Berkshire,Thames Valley,51.40201112,-1.138770296,FALSE,,FALSE,,,40,,,local,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0002,GR_R0002,Appleford,APF,Great_Western,Oxford & Hereford Line,Oxfordshire,Cotswolds,51.63964272,-1.242139074,FALSE,,FALSE,,,45,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0003,GR_R0003,Ascott-under-Wychwood,AUW,Great_Western,Oxford & Hereford Line,Oxfordshire,Cotswolds,51.86734048,-1.564058135,FALSE,,FALSE,,,80,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0004,GR_R0004,Ashchurch for Tewkesbury,ASC,Great_Western,0,0,0,51.99916912,-2.109057444,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0005,GR_R0005,Ashley Down,ASD,Great_Western,0,0,0,51.4786762,-2.5771154,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0006,GR_R0006,Avoncliff,AVF,Great_Western,Avon Valley Line,Wiltshire,West Country,51.33964614,-2.281339394,FALSE,,FALSE,,,112,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0007,GR_R0007,Avonmouth,AVN,Great_Western,Severn Beach Line,Bristol,Bristol,51.50012646,-2.698421372,FALSE,,FALSE,,,106,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0008,GR_R0008,Barnstaple,BNP,Great_Western,Tarka Line,Devon,Devon,51.07396111,-4.063153416,FALSE,,TRUE,,,185,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0009,GR_R0009,Bath Spa,BTH,Great_Western,Great Western Main Line,Somerset,Thames Valley,51.37768276,-2.357034178,FALSE,,FALSE,,,75,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0010,GR_R0010,Bedminster,BMT,Great_Western,0,0,0,51.44008674,-2.594156901,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0011,GR_R0011,Bedwyn,BDW,Great_Western,Berks & Hants Line,Wiltshire,Thames Valley,51.37963498,-1.598795279,FALSE,,TRUE,,,75,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0012,GR_R0012,Bere Alston,BAS,Great_Western,Tamar Valley Line,Cornwall,Cornwall,50.4855868,-4.200398271,FALSE,,FALSE,,,220,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0013,GR_R0013,Bere Ferrers,BFE,Great_Western,Tamar Valley Line,Cornwall,Cornwall,50.45085678,-4.181881299,FALSE,,FALSE,,,215,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0014,GR_R0014,Betchworth,BTO,Great_Western,0,0,0,51.24818664,-0.266974147,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0015,GR_R0015,Blackwater,BAW,Great_Western,0,0,0,51.33181014,-0.777022615,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0016,GR_R0016,Bodmin Parkway,BOD,Great_Western,Great Western Main Line,Cornwall,Thames Valley,50.44585588,-4.662971107,FALSE,,FALSE,,,225,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0017,GR_R0017,Bourne End,BNE,Great_Western,Marlow Branch,Buckinghamshire,Thames Valley,51.57711651,-0.710471017,FALSE,,FALSE,,,45,,,local,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0018,GR_R0018,Bradford-on-Avon,BOA,Great_Western,Avon Valley Line,Wiltshire,West Country,51.34490956,-2.252339918,FALSE,,FALSE,,,110,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0019,GR_R0019,Bramley (Hampshire),BMY,Great_Western,Reading-Basingstoke Line,Hampshire,Thames Valley,51.33007866,-1.060987012,FALSE,,FALSE,,,50,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0020,GR_R0020,Bridgwater,BWT,Great_Western,Great Western Main Line,Somerset,Thames Valley,51.12807318,-2.99028809,FALSE,,FALSE,,,120,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0021,GR_R0021,Bristol Parkway,BPW,Great_Western,South Wales Main Line,Bristol,South Wales,51.51383574,-2.542659527,FALSE,,FALSE,,,80,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0022,GR_R0022,Bruton,BRU,Great_Western,Heart of Wessex Line,Somerset,West Country,51.11162818,-2.447079134,FALSE,,FALSE,,,125,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0023,GR_R0023,Bugle,BGL,Great_Western,Atlantic Coast Line,Cornwall,Cornwall,50.39994328,-4.791841896,FALSE,,FALSE,,,250,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0024,GR_R0024,Calstock,CSK,Great_Western,Tamar Valley Line,Cornwall,Cornwall,50.49757193,-4.208711079,FALSE,,FALSE,,,223,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0025,GR_R0025,Cam & Dursley,CDU,Great_Western,0,0,0,51.71761608,-2.359096838,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0026,GR_R0026,Camborne,CBN,Great_Western,Great Western Main Line,Cornwall,Thames Valley,50.21042369,-5.297472083,FALSE,,FALSE,,,275,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0027,GR_R0027,Carbis Bay,CBB,Great_Western,St Ives Bay Line,Cornwall,0,50.19715063,-5.464037988,FALSE,,FALSE,,,305,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0028,GR_R0028,Castle Bar Park,CBP,Great_Western,Greenford Branch,Greater London,London,51.52297874,-0.331404502,FALSE,,FALSE,,,14,,,local,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0029,GR_R0029,Castle Cary,CLC,Great_Western,Heart of Wessex Line,Somerset,West Country,51.09980387,-2.522802166,FALSE,,FALSE,,,130,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0030,GR_R0030,Causeland,CAU,Great_Western,Looe Valley Line,Cornwall,0,50.40568197,-4.466485305,FALSE,,FALSE,,,228,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0031,GR_R0031,Chapelton (Devon),CPN,Great_Western,Tarka Line,Devon,Devon,51.01582131,-4.02437053,FALSE,,FALSE,,,183,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0032,GR_R0032,Charlbury,CBY,Great_Western,Oxford & Hereford Line,Oxfordshire,Cotswolds,51.8724362,-1.489697044,FALSE,,FALSE,,,75,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0033,GR_R0033,Cheltenham Spa,CNM,Great_Western,0,0,0,51.897399,-2.099625825,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0034,GR_R0034,Chetnole,CNO,Great_Western,Heart of Wessex Line,Dorset,West Country,50.86648406,-2.574046181,FALSE,,FALSE,,,160,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0035,GR_R0035,Chilworth,CHL,Great_Western,0,0,0,51.21521009,-0.524818359,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0036,GR_R0036,Chippenham,CPM,Great_Western,Great Western Main Line,Wiltshire,Thames Valley,51.46248638,-2.115402682,FALSE,,FALSE,,,65,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0037,GR_R0037,Cholsey,CHO,Great_Western,Great Western Main Line,Oxfordshire,Thames Valley,51.57020166,-1.158018612,FALSE,,FALSE,,,45,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0038,GR_R0038,Clifton Down,CFN,Great_Western,Severn Beach Line,Bristol,Bristol,51.46454417,-2.611749153,FALSE,,FALSE,,,100,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0039,GR_R0039,Combe (Oxon),CME,Great_Western,Oxford & Hereford Line,Oxfordshire,Cotswolds,51.83234296,-1.392901935,FALSE,,FALSE,,,60,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0040,GR_R0040,Cookham,COO,Great_Western,Marlow Branch,Buckinghamshire,Thames Valley,51.5574608,-0.722076986,FALSE,,FALSE,,,40,,,local,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0041,GR_R0041,Coombe Junction Halt,COE,Great_Western,Looe Valley Line,Cornwall,0,50.44547073,-4.48193626,FALSE,,FALSE,,,220,,,remote,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0042,GR_R0042,Copplestone,COP,Great_Western,Tarka Line,Devon,Devon,50.81445919,-3.751601158,FALSE,,FALSE,,,160,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0043,GR_R0043,Crediton,CDI,Great_Western,Tarka Line,Devon,Devon,50.78342809,-3.646879885,FALSE,,FALSE,,,150,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0044,GR_R0044,Crowthorne,CRN,Great_Western,0,0,0,51.36672944,-0.819274953,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0045,GR_R0045,Culham,CUM,Great_Western,Oxford & Hereford Line,Oxfordshire,Cotswolds,51.65379512,-1.236511134,FALSE,,FALSE,,,50,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0046,GR_R0046,Dawlish,DWL,Great_Western,Great Western Main Line,Devon,Thames Valley,50.58080594,-3.464647817,FALSE,,FALSE,,,150,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0047,GR_R0047,Dawlish Warren,DWW,Great_Western,Great Western Main Line,Devon,Thames Valley,50.59905091,-3.444018179,FALSE,,FALSE,,,148,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0048,GR_R0048,Devonport,DPT,Great_Western,0,0,0,50.3781945,-4.171511893,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0049,GR_R0049,Didcot Parkway,DID,Great_Western,Great Western Main Line,Oxfordshire,Thames Valley,51.61095504,-1.242891296,FALSE,,FALSE,,,40,,,regional,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0050,GR_R0050,Digby & Sowton,DIG,Great_Western,Exmouth Branch,Devon,Devon,50.71370499,-3.473885692,FALSE,,FALSE,,,148,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0051,GR_R0051,Dilton Marsh,DMH,Great_Western,Westbury Branch,Wiltshire,West Country,51.24799152,-2.207421924,FALSE,,FALSE,,,105,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0052,GR_R0052,Dockyard (Devonport),DOC,Great_Western,0,0,0,50.38224968,-4.175917265,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0053,GR_R0053,Dorchester West,DCW,Great_Western,Heart of Wessex Line,Dorset,West Country,50.71094047,-2.442548773,FALSE,,FALSE,,,170,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0054,GR_R0054,Dorking (Deepdene),DPD,Great_Western,0,0,0,51.23880129,-0.324631668,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0055,GR_R0055,Dorking West,DKT,Great_Western,0,0,0,51.23622304,-0.339967488,0,,0,,,0,,,0,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0056,GR_R0056,Drayton Green,DRG,Great_Western,Greenford Branch,Greater London,London,51.51602938,-0.329640681,FALSE,,FALSE,,,13,,,local,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0057,GR_R0057,Eggesford,EGG,Great_Western,Tarka Line,Devon,Devon,50.88773166,-3.874777657,FALSE,,FALSE,,,175,,,long,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
