station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Aldermaston,AMT,Great_Western,,,51.40201112,-1.138770296,,,,,,,,,,,,,,,,GR_000001,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000001,,,,,False,
Appleford,APF,Great_Western,,,51.63964272,-1.242139074,,,,,,,,,,,,,,,,GR_000002,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000002,,,,,False,
Ascott-under-Wychwood,AUW,Great_Western,,,51.86734048,-1.564058135,,,,,,,,,,,,,,,,GR_000003,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000003,,,,,False,
Ashchurch for Tewkesbury,ASC,Great_Western,,,51.99916912,-2.109057444,,,,,,,,,,,,,,,,GR_000004,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000004,,,,,False,
Ashley Down,ASD,Great_Western,,,51.4786762,-2.5771154,,,,,,,,,,,,,,,,GR_000005,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000005,,,,,False,
Avoncliff,AVF,Great_Western,,,51.33964614,-2.281339394,,,,,,,,,,,,,,,,GR_000006,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000006,,,,,False,
Avonmouth,AVN,Great_Western,,,51.50012646,-2.698421372,,,,,,,,,,,,,,,,GR_000007,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000007,,,,,False,
Barnstaple,BNP,Great_Western,,,51.07396111,-4.063153416,,,,,,,,,,,,,,,,GR_000008,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000008,,,,,False,
Bath Spa,BTH,Great_Western,,,51.37768276,-2.357034178,,,,,,,,,,,,,,,,GR_000009,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000009,,,,,False,
Bedminster,BMT,Great_Western,,,51.44008674,-2.594156901,,,,,,,,,,,,,,,,GR_000010,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000010,,,,,False,
Bedwyn,BDW,Great_Western,,,51.37963498,-1.598795279,,,,,,,,,,,,,,,,GR_000011,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000011,,,,,False,
Bere Alston,BAS,Great_Western,,,50.4855868,-4.200398271,,,,,,,,,,,,,,,,GR_000012,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000012,,,,,False,
Bere Ferrers,BFE,Great_Western,,,50.45085678,-4.181881299,,,,,,,,,,,,,,,,GR_000013,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000013,,,,,False,
Betchworth,BTO,Great_Western,,,51.24818664,-0.266974147,,,,,,,,,,,,,,,,GR_000014,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000014,,,,,False,
Blackwater,BAW,Great_Western,,,51.33181014,-0.777022615,,,,,,,,,,,,,,,,GR_000015,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000015,,,,,False,
Bodmin Parkway,BOD,Great_Western,,,50.44585588,-4.662971107,,,,,,,,,,,,,,,,GR_000016,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000016,,,,,False,
Bourne End,BNE,Great_Western,,,51.57711651,-0.710471017,,,,,,,,,,,,,,,,GR_000017,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000017,,,,,False,
Bradford-on-Avon,BOA,Great_Western,,,51.34490956,-2.252339918,,,,,,,,,,,,,,,,GR_000018,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000018,,,,,False,
Bramley (Hampshire),BMY,Great_Western,,,51.33007866,-1.060987012,,,,,,,,,,,,,,,,GR_000019,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000019,,,,,False,
Bridgwater,BWT,Great_Western,,,51.12807318,-2.99028809,,,,,,,,,,,,,,,,GR_000020,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000020,,,,,False,
Bristol Parkway,BPW,Great_Western,,,51.51383574,-2.542659527,,,,,,,,,,,,,,,,GR_000021,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000021,,,,,False,
Bruton,BRU,Great_Western,,,51.11162818,-2.447079134,,,,,,,,,,,,,,,,GR_000022,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000022,,,,,False,
Bugle,BGL,Great_Western,,,50.39994328,-4.791841896,,,,,,,,,,,,,,,,GR_000023,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000023,,,,,False,
Calstock,CSK,Great_Western,,,50.49757193,-4.208711079,,,,,,,,,,,,,,,,GR_000024,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000024,,,,,False,
Cam & Dursley,CDU,Great_Western,,,51.71761608,-2.359096838,,,,,,,,,,,,,,,,GR_000025,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000025,,,,,False,
Camborne,CBN,Great_Western,,,50.21042369,-5.297472083,,,,,,,,,,,,,,,,GR_000026,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000026,,,,,False,
Carbis Bay,CBB,Great_Western,,,50.19715063,-5.464037988,,,,,,,,,,,,,,,,GR_000027,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000027,,,,,False,
Castle Bar Park,CBP,Great_Western,,,51.52297874,-0.331404502,,,,,,,,,,,,,,,,GR_000028,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000028,,,,,False,
Castle Cary,CLC,Great_Western,,,51.09980387,-2.522802166,,,,,,,,,,,,,,,,GR_000029,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000029,,,,,False,
Causeland,CAU,Great_Western,,,50.40568197,-4.466485305,,,,,,,,,,,,,,,,GR_000030,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000030,,,,,False,
Chapelton (Devon),CPN,Great_Western,,,51.01582131,-4.02437053,,,,,,,,,,,,,,,,GR_000031,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000031,,,,,False,
Charlbury,CBY,Great_Western,,,51.8724362,-1.489697044,,,,,,,,,,,,,,,,GR_000032,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000032,,,,,False,
Cheltenham Spa,CNM,Great_Western,,,51.897399,-2.099625825,,,,,,,,,,,,,,,,GR_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000033,,,,,False,
Chetnole,CNO,Great_Western,,,50.86648406,-2.574046181,,,,,,,,,,,,,,,,GR_000034,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000034,,,,,False,
Chilworth,CHL,Great_Western,,,51.21521009,-0.524818359,,,,,,,,,,,,,,,,GR_000035,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000035,,,,,False,
Chippenham,CPM,Great_Western,,,51.46248638,-2.115402682,,,,,,,,,,,,,,,,GR_000036,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000036,,,,,False,
Cholsey,CHO,Great_Western,,,51.57020166,-1.158018612,,,,,,,,,,,,,,,,GR_000037,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000037,,,,,False,
Clifton Down,CFN,Great_Western,,,51.46454417,-2.611749153,,,,,,,,,,,,,,,,GR_000038,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000038,,,,,False,
Combe (Oxon),CME,Great_Western,,,51.83234296,-1.392901935,,,,,,,,,,,,,,,,GR_000039,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000039,,,,,False,
Cookham,COO,Great_Western,,,51.5574608,-0.722076986,,,,,,,,,,,,,,,,GR_000040,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000040,,,,,False,
Coombe Junction Halt,COE,Great_Western,,,50.44547073,-4.48193626,,,,,,,,,,,,,,,,GR_000041,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000041,,,,,False,
Copplestone,COP,Great_Western,,,50.81445919,-3.751601158,,,,,,,,,,,,,,,,GR_000042,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000042,,,,,False,
Crediton,CDI,Great_Western,,,50.78342809,-3.646879885,,,,,,,,,,,,,,,,GR_000043,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000043,,,,,False,
Crowthorne,CRN,Great_Western,,,51.36672944,-0.819274953,,,,,,,,,,,,,,,,GR_000044,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000044,,,,,False,
Culham,CUM,Great_Western,,,51.65379512,-1.236511134,,,,,,,,,,,,,,,,GR_000045,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000045,,,,,False,
Dawlish,DWL,Great_Western,,,50.58080594,-3.464647817,,,,,,,,,,,,,,,,GR_000046,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000046,,,,,False,
Dawlish Warren,DWW,Great_Western,,,50.59905091,-3.444018179,,,,,,,,,,,,,,,,GR_000047,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000047,,,,,False,
Devonport,DPT,Great_Western,,,50.3781945,-4.171511893,,,,,,,,,,,,,,,,GR_000048,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000048,,,,,False,
Didcot Parkway,DID,Great_Western,,,51.61095504,-1.242891296,,,,,,,,,,,,,,,,GR_000049,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000049,,,,,False,
Digby & Sowton,DIG,Great_Western,,,50.71370499,-3.473885692,,,,,,,,,,,,,,,,GR_000050,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000050,,,,,False,
Dilton Marsh,DMH,Great_Western,,,51.24799152,-2.207421924,,,,,,,,,,,,,,,,GR_000051,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000051,,,,,False,
Dockyard (Devonport),DOC,Great_Western,,,50.38224968,-4.175917265,,,,,,,,,,,,,,,,GR_000052,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000052,,,,,False,
Dorchester West,DCW,Great_Western,,,50.71094047,-2.442548773,,,,,,,,,,,,,,,,GR_000053,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000053,,,,,False,
Dorking (Deepdene),DPD,Great_Western,,,51.23880129,-0.324631668,,,,,,,,,,,,,,,,GR_000054,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000054,,,,,False,
Dorking West,DKT,Great_Western,,,51.23622304,-0.339967488,,,,,,,,,,,,,,,,GR_000055,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000055,,,,,False,
Drayton Green,DRG,Great_Western,,,51.51602938,-0.329640681,,,,,,,,,,,,,,,,GR_000056,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000056,,,,,False,
Eggesford,EGG,Great_Western,,,50.88773166,-3.874777657,,,,,,,,,,,,,,,,GR_000057,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000057,,,,,False,
Evesham,EVE,Great_Western,,,52.09840414,-1.947313868,,,,,,,,,,,,,,,,GR_000058,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000058,,,,,False,
Exeter Central,EXC,Great_Western,,,50.72652351,-3.532947602,,,,,,,,,,,,,,,,GR_000059,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000059,,,,,False,
Exeter St Davids,EXD,Great_Western,,,50.72915216,-3.543660789,,,,,,,,,,,,,,,,GR_000060,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000060,,,,,False,
Exeter St Thomas,EXT,Great_Western,,,50.71655803,-3.539818783,,,,,,,,,,,,,,,,GR_000061,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000061,,,,,False,
