station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Aldermaston,AMT,Great Western Railway,,,51.40201112,-1.138770296,,,,,,,,,,,,,,,,GR_000001
Appleford,APF,Great Western Railway,,,51.63964272,-1.242139074,,,,,,,,,,,,,,,,GR_000002
Ascott-under-Wychwood,AUW,Great Western Railway,,,51.86734048,-1.564058135,,,,,,,,,,,,,,,,GR_000003
Ashchurch for Tewkesbury,ASC,Great Western Railway,,,51.99916912,-2.109057444,,,,,,,,,,,,,,,,GR_000004
Ashley Down,ASD,Great Western Railway,,,51.4786762,-2.5771154,,,,,,,,,,,,,,,,GR_000005
Avoncliff,AVF,Great Western Railway,,,51.33964614,-2.281339394,,,,,,,,,,,,,,,,GR_000006
Avonmouth,AVN,Great Western Railway,,,51.50012646,-2.698421372,,,,,,,,,,,,,,,,GR_000007
Barnstaple,BNP,Great Western Railway,,,51.07396111,-4.063153416,,,,,,,,,,,,,,,,GR_000008
Bath Spa,BTH,Great Western Railway,,,51.37768276,-2.357034178,,,,,,,,,,,,,,,,GR_000009
Bedminster,BMT,Great Western Railway,,,51.44008674,-2.594156901,,,,,,,,,,,,,,,,GR_000010
Bedwyn,BDW,Great Western Railway,,,51.37963498,-1.598795279,,,,,,,,,,,,,,,,GR_000011
Bere Alston,BAS,Great Western Railway,,,50.4855868,-4.200398271,,,,,,,,,,,,,,,,GR_000012
Bere Ferrers,BFE,Great Western Railway,,,50.45085678,-4.181881299,,,,,,,,,,,,,,,,GR_000013
Betchworth,BTO,Great Western Railway,,,51.24818664,-0.266974147,,,,,,,,,,,,,,,,GR_000014
Blackwater,BAW,Great Western Railway,,,51.33181014,-0.777022615,,,,,,,,,,,,,,,,GR_000015
Bodmin Parkway,BOD,Great Western Railway,,,50.44585588,-4.662971107,,,,,,,,,,,,,,,,GR_000016
Bourne End,BNE,Great Western Railway,,,51.57711651,-0.710471017,,,,,,,,,,,,,,,,GR_000017
Bradford-on-Avon,BOA,Great Western Railway,,,51.34490956,-2.252339918,,,,,,,,,,,,,,,,GR_000018
Bramley (Hampshire),BMY,Great Western Railway,,,51.33007866,-1.060987012,,,,,,,,,,,,,,,,GR_000019
Bridgwater,BWT,Great Western Railway,,,51.12807318,-2.99028809,,,,,,,,,,,,,,,,GR_000020
Bristol Parkway,BPW,Great Western Railway,,,51.51383574,-2.542659527,,,,,,,,,,,,,,,,GR_000021
Bruton,BRU,Great Western Railway,,,51.11162818,-2.447079134,,,,,,,,,,,,,,,,GR_000022
Bugle,BGL,Great Western Railway,,,50.39994328,-4.791841896,,,,,,,,,,,,,,,,GR_000023
Calstock,CSK,Great Western Railway,,,50.49757193,-4.208711079,,,,,,,,,,,,,,,,GR_000024
Cam & Dursley,CDU,Great Western Railway,,,51.71761608,-2.359096838,,,,,,,,,,,,,,,,GR_000025
Camborne,CBN,Great Western Railway,,,50.21042369,-5.297472083,,,,,,,,,,,,,,,,GR_000026
Carbis Bay,CBB,Great Western Railway,,,50.19715063,-5.464037988,,,,,,,,,,,,,,,,GR_000027
Castle Bar Park,CBP,Great Western Railway,,,51.52297874,-0.331404502,,,,,,,,,,,,,,,,GR_000028
Castle Cary,CLC,Great Western Railway,,,51.09980387,-2.522802166,,,,,,,,,,,,,,,,GR_000029
Causeland,CAU,Great Western Railway,,,50.40568197,-4.466485305,,,,,,,,,,,,,,,,GR_000030
Chapelton (Devon),CPN,Great Western Railway,,,51.01582131,-4.02437053,,,,,,,,,,,,,,,,GR_000031
Charlbury,CBY,Great Western Railway,,,51.8724362,-1.489697044,,,,,,,,,,,,,,,,GR_000032
Cheltenham Spa,CNM,Great Western Railway,,,51.897399,-2.099625825,,,,,,,,,,,,,,,,GR_000033
Chetnole,CNO,Great Western Railway,,,50.86648406,-2.574046181,,,,,,,,,,,,,,,,GR_000034
Chilworth,CHL,Great Western Railway,,,51.21521009,-0.524818359,,,,,,,,,,,,,,,,GR_000035
Chippenham,CPM,Great Western Railway,,,51.46248638,-2.115402682,,,,,,,,,,,,,,,,GR_000036
Cholsey,CHO,Great Western Railway,,,51.57020166,-1.158018612,,,,,,,,,,,,,,,,GR_000037
Clifton Down,CFN,Great Western Railway,,,51.46454417,-2.611749153,,,,,,,,,,,,,,,,GR_000038
Combe (Oxon),CME,Great Western Railway,,,51.83234296,-1.392901935,,,,,,,,,,,,,,,,GR_000039
