station_id,network,route_station_id,route_group,crs,station_name
GR_000001,Great_Western,GR0001,,AMT,Aldermaston
GR_000002,Great_Western,GR0002,,APF,Appleford
GR_000003,Great_Western,GR0003,,AUW,Ascott-under-Wychwood
GR_000004,Great_Western,GR0004,,ASC,Ashchurch for Tewkesbury
GR_000005,Great_Western,GR0005,,ASD,Ashley Down
GR_000006,Great_Western,GR0006,,AVF,Avoncliff
GR_000007,Great_Western,GR0007,,AVN,Avonmouth
GR_000008,Great_Western,GR0008,,BNP,Barnstaple
GR_000009,Great_Western,GR0009,,BTH,Bath Spa
GR_000010,Great_Western,GR0010,,BMT,Bedminster
GR_000011,Great_Western,GR0011,,BDW,Bedwyn
GR_000012,Great_Western,GR0012,,BAS,Bere Alston
GR_000013,Great_Western,GR0013,,BFE,Bere Ferrers
GR_000014,Great_Western,GR0014,,BTO,Betchworth
GR_000015,Great_Western,GR0015,,BAW,Blackwater
GR_000016,Great_Western,GR0016,,BOD,Bodmin Parkway
GR_000017,Great_Western,GR0017,,BNE,Bourne End
GR_000018,Great_Western,GR0018,,BOA,Bradford-on-Avon
GR_000019,Great_Western,GR0019,,BMY,Bramley (Hampshire)
GR_000020,Great_Western,GR0020,,BWT,Bridgwater
GR_000021,Great_Western,GR0021,,BPW,Bristol Parkway
GR_000022,Great_Western,GR0022,,BRU,Bruton
GR_000023,Great_Western,GR0023,,BGL,Bugle
GR_000024,Great_Western,GR0024,,CSK,Calstock
GR_000025,Great_Western,GR0025,,CDU,Cam & Dursley
GR_000026,Great_Western,GR0026,,CBN,Camborne
GR_000027,Great_Western,GR0027,,CBB,Carbis Bay
GR_000028,Great_Western,GR0028,,CBP,Castle Bar Park
GR_000029,Great_Western,GR0029,,CLC,Castle Cary
GR_000030,Great_Western,GR0030,,CAU,Causeland
GR_000031,Great_Western,GR0031,,CPN,Chapelton (Devon)
GR_000032,Great_Western,GR0032,,CBY,Charlbury
GR_000033,Great_Western,GR0033,,CNM,Cheltenham Spa
GR_000034,Great_Western,GR0034,,CNO,Chetnole
GR_000035,Great_Western,GR0035,,CHL,Chilworth
GR_000036,Great_Western,GR0036,,CPM,Chippenham
