station_id,network,route_station_id,route_group,crs,station_name
ME_000001,Merseyrail,ME0001,,AIG,Aigburth
ME_000002,Merseyrail,ME0002,,ANS,Ainsdale
ME_000003,Merseyrail,ME0003,,AIN,Aintree
ME_000004,Merseyrail,ME0004,,AUG,Aughton Park
ME_000005,Merseyrail,ME0005,,BAC,Bache
ME_000006,Merseyrail,ME0006,,BAH,Bank Hall
ME_000007,Merseyrail,ME0007,,BEB,Bebington
ME_000008,Merseyrail,ME0008,,BID,Bidston
ME_000009,Merseyrail,ME0009,,BDL,Birkdale
ME_000010,Merseyrail,ME0010,,BKC,Birkenhead Central
ME_000011,Merseyrail,ME0011,,BKQ,Birkenhead Hamilton Square
ME_000012,Merseyrail,ME0012,,BKN,Birkenhead North
ME_000013,Merseyrail,ME0013,,BKP,Birkenhead Park
ME_000014,Merseyrail,ME0014,,BLN,Blundellsands & Crosby
ME_000015,Merseyrail,ME0015,,BNW,Bootle New Strand
ME_000016,Merseyrail,ME0016,,BOT,Bootle Oriel Road
ME_000017,Merseyrail,ME0017,,BOM,Bromborough
ME_000018,Merseyrail,ME0018,,BMR,Bromborough Rake
ME_000019,Merseyrail,ME0019,,BRW,Brunswick
ME_000020,Merseyrail,ME0020,,CPU,Capenhurst
ME_000021,Merseyrail,ME0021,,CNP,Conway Park
ME_000022,Merseyrail,ME0022,,CSG,Cressington
ME_000023,Merseyrail,ME0023,,ERA,Eastham Rake
ME_000024,Merseyrail,ME0024,,ELP,Ellesmere Port
ME_000025,Merseyrail,ME0025,,FAZ,Fazakerley
ME_000026,Merseyrail,ME0026,,FBY,Formby
ME_000027,Merseyrail,ME0027,,FRE,Freshfield
ME_000028,Merseyrail,ME0028,,GNL,Green Lane
ME_000029,Merseyrail,ME0029,,HLR,Hall Road
ME_000030,Merseyrail,ME0030,,HBL,Headbolt Lane
ME_000031,Merseyrail,ME0031,,HTO,Hightown
ME_000032,Merseyrail,ME0032,,HIL,Hillside
ME_000033,Merseyrail,ME0033,,HOO,Hooton
ME_000034,Merseyrail,ME0034,,HYK,Hoylake
ME_000035,Merseyrail,ME0035,,HNX,Hunts Cross
ME_000036,Merseyrail,ME0036,,KIR,Kirkby (Merseyside)
ME_000037,Merseyrail,ME0037,,KKD,Kirkdale
ME_000038,Merseyrail,ME0038,,LSW,Leasowe
ME_000039,Merseyrail,ME0039,,LTT,Little Sutton
ME_000040,Merseyrail,ME0040,,LVC,Liverpool Central
ME_000041,Merseyrail,ME0041,,LVJ,Liverpool James Street
ME_000042,Merseyrail,ME0042,,LPY,Liverpool South Parkway
ME_000043,Merseyrail,ME0043,,MAG,Maghull
ME_000044,Merseyrail,ME0044,,MNS,Maghull North
ME_000045,Merseyrail,ME0045,,MNR,Manor Road
ME_000046,Merseyrail,ME0046,,MEO,Meols
ME_000047,Merseyrail,ME0047,,MRF,Moorfields
ME_000048,Merseyrail,ME0048,,MRT,Moreton (Merseyside)
ME_000049,Merseyrail,ME0049,,NBN,New Brighton
ME_000050,Merseyrail,ME0050,,ORN,Old Roan
ME_000051,Merseyrail,ME0051,,OMS,Ormskirk
ME_000052,Merseyrail,ME0052,,OPK,Orrell Park
ME_000053,Merseyrail,ME0053,,OVE,Overpool
ME_000054,Merseyrail,ME0054,,PSL,Port Sunlight
ME_000055,Merseyrail,ME0055,,RIL,Rice Lane
ME_000056,Merseyrail,ME0056,,RFY,Rock Ferry
ME_000057,Merseyrail,ME0057,,SDL,Sandhills
ME_000058,Merseyrail,ME0058,,SFL,Seaforth & Litherland
ME_000059,Merseyrail,ME0059,,SOP,Southport
ME_000060,Merseyrail,ME0060,,SPI,Spital
ME_000061,Merseyrail,ME0061,,STM,St Michaels
ME_000062,Merseyrail,ME0062,,TWN,Town Green
ME_000063,Merseyrail,ME0063,,WLG,Wallasey Grove Road
ME_000064,Merseyrail,ME0064,,WLV,Wallasey Village
ME_000065,Merseyrail,ME0065,,WAO,Walton (Merseyside)
ME_000066,Merseyrail,ME0066,,WLO,Waterloo (Merseyside)
ME_000067,Merseyrail,ME0067,,WKI,West Kirby
