station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Accrington,ACR,Northern,,,53.7532,-2.37001,,,,,,,,,,,,,,,,NO_000001
Acklington,ACK,Northern,,,55.3071,-1.65184,,,,,,,,,,,,,,,,NO_000002
Adlington (Cheshire),ADC,Northern,,,53.31957,-2.13356,,,,,,,,,,,,,,,,NO_000003
Adlington (Lancashire),ADL,Northern,,,53.6129455,-2.603061143,,,,,,,,,,,,,,,,NO_000004
Adwick,AWK,Northern,,,53.57302304,-1.181475098,,,,,,,,,,,,,,,,NO_000005
Alderley Edge,ALD,Northern,,,53.30379521,-2.236800428,,,,,,,,,,,,,,,,NO_000006
Allens West,ALW,Northern,,,54.52411689,-1.36342611,,,,,,,,,,,,,,,,NO_000007
Alnmouth,ALM,Northern,,,55.39241161,-1.636879701,,,,,,,,,,,,,,,,NO_000008
Althorpe,ALP,Northern,,,53.58528974,-0.732586396,,,,,,,,,,,,,,,,NO_000009
Altrincham,ALT,Northern,,,53.3874545,-2.347281454,,,,,,,,,,,,,,,,NO_000010
Ansdell & Fairhaven,AFV,Northern,,,53.74157235,-2.993056487,,,,,,,,,,,,,,,,NO_000011
Apperley Bridge,APY,Northern,,,53.84138,-1.703065,,,,,,,,,,,,,,,,NO_000012
Appleby,APP,Northern,,,54.58035366,-2.486692409,,,,,,,,,,,,,,,,NO_000013
Appley Bridge,APB,Northern,,,53.578696,-2.719239,,,,,,,,,,,,,,,,NO_000014
Ardwick,ADK,Northern,,,53.4713637,-2.21388356,,,,,,,,,,,,,,,,NO_000015
Armathwaite,AWT,Northern,,,54.8091136,-2.771682007,,,,,,,,,,,,,,,,NO_000016
Arnside,ARN,Northern,,,54.20210888,-2.827766101,,,,,,,,,,,,,,,,NO_000017
Arram,ARR,Northern,,,53.88458217,-0.42685721,,,,,,,,,,,,,,,,NO_000018
Ashburys,ABY,Northern,,,53.47139715,-2.194298663,,,,,,,,,,,,,,,,NO_000019
Ashington,ASL,Northern,,,55.183089371550416,-1.5730779946899398,,,,,,,,,,,,,,,,NO_000020
Ashley,ASY,Northern,,,53.35601141,-2.341015897,,,,,,,,,,,,,,,,NO_000021
Ashton-under-Lyne,AHN,Northern,,,53.49128474,-2.093404009,,,,,,,,,,,,,,,,NO_000022
Askam,ASK,Northern,,,54.18904409,-3.204522253,,,,,,,,,,,,,,,,NO_000023
Aspatria,ASP,Northern,,,54.75932254,-3.331737575,,,,,,,,,,,,,,,,NO_000024
Atherton,ATN,Northern,,,53.52901633,-2.478177715,,,,,,,,,,,,,,,,NO_000025
Baildon,BLD,Northern,,,53.84969683,-1.753714588,,,,,,,,,,,,,,,,NO_000026
Bamber Bridge,BMB,Northern,,,53.72678683,-2.660769189,,,,,,,,,,,,,,,,NO_000027
Bamford,BAM,Northern,,,53.33901464,-1.689082177,,,,,,,,,,,,,,,,NO_000028
Bardon Mill,BLL,Northern,,,54.97449387,-2.346497864,,,,,,,,,,,,,,,,NO_000029
Bare Lane,BAR,Northern,,,54.07533066,-2.835940378,,,,,,,,,,,,,,,,NO_000030
Barnsley,BNY,Northern,,,53.55462662,-1.477078446,,,,,,,,,,,,,,,,NO_000031
Barrow-in-Furness,BIF,Northern,,,54.1190048,-3.226129301,,,,,,,,,,,,,,,,NO_000032
Batley,BTL,Northern,,,53.70914805,-1.622728738,,,,,,,,,,,,,,,,NO_000033
Battersby,BTT,Northern,,,54.45768979,-1.092979104,,,,,,,,,,,,,,,,NO_000034
Bedlington,BEJ,Northern,,,55.14062956262779,-1.569243825378415,,,,,,,,,,,,,,,,NO_000035
Belle Vue,BLV,Northern,,,53.46216055,-2.180399301,,,,,,,,,,,,,,,,NO_000036
Bempton,BEM,Northern,,,54.12829569,-0.180427625,,,,,,,,,,,,,,,,NO_000037
Ben Rhydding,BEY,Northern,,,53.92617737,-1.79742789,,,,,,,,,,,,,,,,NO_000038
Bentham,BEN,Northern,,,54.11579786,-2.510912928,,,,,,,,,,,,,,,,NO_000039
Bentley (South Yorkshire),BYK,Northern,,,53.54369067,-1.15155621,,,,,,,,,,,,,,,,NO_000040
Berry Brow,BBW,Northern,,,53.62105489,-1.79343383,,,,,,,,,,,,,,,,NO_000041
