station_id,network,route_station_id,route_group,crs,station_name
SW_000001,SWR,SW0001,,ASN,Addlestone
SW_000002,SWR,SW0002,,AHT,Aldershot
SW_000003,SWR,SW0003,,AON,Alton
SW_000004,SWR,SW0004,,ADV,Andover
SW_000005,SWR,SW0005,,ACT,Ascot (Berks)
SW_000006,SWR,SW0006,,ASH,Ash
SW_000007,SWR,SW0007,,AHV,Ash Vale
SW_000008,SWR,SW0008,,AFS,Ashford (Surrey)
SW_000009,SWR,SW0009,,ANF,Ashurst New Forest
SW_000010,SWR,SW0010,,AXM,Axminster
SW_000011,SWR,SW0011,,BAG,Bagshot
SW_000012,SWR,SW0012,,BNS,Barnes
SW_000013,SWR,SW0013,,BNI,Barnes Bridge
SW_000014,SWR,SW0014,,BSK,Basingstoke
SW_000015,SWR,SW0015,,BEU,Beaulieu Road
SW_000016,SWR,SW0016,,BDH,Bedhampton
SW_000017,SWR,SW0017,,BTY,Bentley (Hampshire)
SW_000018,SWR,SW0018,,BRS,Berrylands
SW_000019,SWR,SW0019,,BTE,Bitterne
SW_000020,SWR,SW0020,,BKA,Bookham
SW_000021,SWR,SW0021,,BOE,Botley
SW_000022,SWR,SW0022,,BMH,Bournemouth
SW_000023,SWR,SW0023,,BCE,Bracknell
SW_000024,SWR,SW0024,,BSM,Branksome
SW_000025,SWR,SW0025,,BFD,Brentford
SW_000026,SWR,SW0026,,BCU,Brockenhurst
SW_000027,SWR,SW0027,,BKO,Brookwood
SW_000028,SWR,SW0028,,BUO,Bursledon
SW_000029,SWR,SW0029,,BFN,Byfleet & New Haw
SW_000030,SWR,SW0030,,CAM,Camberley
SW_000031,SWR,SW0031,,CFR,Chandlers Ford
SW_000032,SWR,SW0032,,CHY,Chertsey
SW_000033,SWR,SW0033,,CSN,Chessington North
SW_000034,SWR,SW0034,,CSS,Chessington South
SW_000035,SWR,SW0035,,CHK,Chiswick
SW_000036,SWR,SW0036,,CHR,Christchurch
SW_000037,SWR,SW0037,,CLA,Clandon
SW_000038,SWR,SW0038,,CLG,Claygate
SW_000039,SWR,SW0039,,CSD,Cobham & Stoke d'Abernon
SW_000040,SWR,SW0040,,CSA,Cosham
SW_000041,SWR,SW0041,,CBK,Cranbrook (Devon)
SW_000042,SWR,SW0042,,CKN,Crewkerne
SW_000043,SWR,SW0043,,DAT,Datchet
SW_000044,SWR,SW0044,,DEN,Dean (Wilts)
SW_000045,SWR,SW0045,,DCH,Dorchester South
SW_000046,SWR,SW0046,,EAR,Earley
SW_000047,SWR,SW0047,,EAD,Earlsfield
SW_000048,SWR,SW0048,,ESL,Eastleigh
SW_000049,SWR,SW0049,,EFF,Effingham Junction
SW_000050,SWR,SW0050,,EGH,Egham
SW_000051,SWR,SW0051,,ESH,Esher
SW_000052,SWR,SW0052,,EWW,Ewell West
SW_000053,SWR,SW0053,,FRM,Fareham
SW_000054,SWR,SW0054,,FNB,Farnborough (Main)
SW_000055,SWR,SW0055,,FNC,Farncombe
SW_000056,SWR,SW0056,,FNH,Farnham
SW_000057,SWR,SW0057,,FEL,Feltham
SW_000058,SWR,SW0058,,FNT,Feniton
SW_000059,SWR,SW0059,,FLE,Fleet
SW_000060,SWR,SW0060,,FTN,Fratton
SW_000061,SWR,SW0061,,FML,Frimley
SW_000062,SWR,SW0062,,FLW,Fulwell
SW_000063,SWR,SW0063,,GIL,Gillingham Dorset
SW_000064,SWR,SW0064,,GOD,Godalming
SW_000065,SWR,SW0065,,GRT,Grateley
SW_000066,SWR,SW0066,,HME,Hamble
SW_000067,SWR,SW0067,,HMP,Hampton (London)
SW_000068,SWR,SW0068,,HMC,Hampton Court
SW_000069,SWR,SW0069,,HMW,Hampton Wick
SW_000070,SWR,SW0070,,HAM,Hamworthy
SW_000071,SWR,SW0071,,HSL,Haslemere
SW_000072,SWR,SW0072,,HAV,Havant
SW_000073,SWR,SW0073,,HDE,Hedge End
SW_000074,SWR,SW0074,,HER,Hersham
SW_000075,SWR,SW0075,,HLS,Hilsea
SW_000076,SWR,SW0076,,HYW,Hinchley Wood
SW_000077,SWR,SW0077,,HNA,Hinton Admiral
SW_000078,SWR,SW0078,,HOL,Holton Heath
SW_000079,SWR,SW0079,,HON,Honiton
SW_000080,SWR,SW0080,,HOK,Hook
SW_000081,SWR,SW0081,,HSY,Horsley
SW_000082,SWR,SW0082,,HOU,Hounslow
SW_000083,SWR,SW0083,,ISL,Isleworth
SW_000084,SWR,SW0084,,KMP,Kempton Park
SW_000085,SWR,SW0085,,KWB,Kew Bridge
SW_000086,SWR,SW0086,,KNG,Kingston
SW_000087,SWR,SW0087,,LIP,Liphook
SW_000088,SWR,SW0088,,LIS,Liss
SW_000089,SWR,SW0089,,LRD,London Road (Guildford)
SW_000090,SWR,SW0090,,LNG,Longcross
SW_000091,SWR,SW0091,,LYP,Lymington Pier
SW_000092,SWR,SW0092,,LYT,Lymington Town
SW_000093,SWR,SW0093,,MAL,Malden Manor
SW_000094,SWR,SW0094,,MAO,Martins Heron
SW_000095,SWR,SW0095,,MIC,Micheldever
SW_000096,SWR,SW0096,,MLF,Milford (Surrey)
SW_000097,SWR,SW0097,,MBK,Millbrook (Hants)
SW_000098,SWR,SW0098,,MTN,Moreton (Dorset)
SW_000099,SWR,SW0099,,MTL,Mortlake
SW_000100,SWR,SW0100,,MOT,Motspur Park
SW_000101,SWR,SW0101,,DBG,Mottisfont & Dunbridge
SW_000102,SWR,SW0102,,NTL,Netley
SW_000103,SWR,SW0103,,NEM,New Malden
SW_000104,SWR,SW0104,,NWM,New Milton
SW_000105,SWR,SW0105,,NBT,Norbiton
SW_000106,SWR,SW0106,,NSH,North Sheen
SW_000107,SWR,SW0107,,OVR,Overton
SW_000108,SWR,SW0108,,OXS,Oxshott
SW_000109,SWR,SW0109,,PKS,Parkstone (Dorset)
SW_000110,SWR,SW0110,,PTR,Petersfield
SW_000111,SWR,SW0111,,PIN,Pinhoe
SW_000112,SWR,SW0112,,POK,Pokesdown
SW_000113,SWR,SW0113,,POO,Poole
SW_000114,SWR,SW0114,,PTC,Portchester
SW_000115,SWR,SW0115,,PMS,Portsmouth & Southsea
SW_000116,SWR,SW0116,,PMH,Portsmouth Harbour
SW_000117,SWR,SW0117,,PUT,Putney
SW_000118,SWR,SW0118,,QRB,Queenstown Road (Battersea)
SW_000119,SWR,SW0119,,RAY,Raynes Park
SW_000120,SWR,SW0120,,RDB,Redbridge
SW_000121,SWR,SW0121,,RMD,Richmond (London)
SW_000122,SWR,SW0122,,ROM,Romsey
SW_000123,SWR,SW0123,,RLN,Rowlands Castle
SW_000124,SWR,SW0124,,SAL,Salisbury
SW_000125,SWR,SW0125,,SHW,Shawford
SW_000126,SWR,SW0126,,SHP,Shepperton
SW_000127,SWR,SW0127,,SHE,Sherborne
SW_000128,SWR,SW0128,,SHO,Sholing
SW_000129,SWR,SW0129,,SOA,Southampton Airport Parkway
SW_000130,SWR,SW0130,,SOU,Southampton Central
SW_000131,SWR,SW0131,,SDN,St Denys
SW_000132,SWR,SW0132,,SMG,St Margarets (London)
SW_000133,SWR,SW0133,,SNS,Staines
SW_000134,SWR,SW0134,,SNL,Stoneleigh
SW_000135,SWR,SW0135,,STW,Strawberry Hill
SW_000136,SWR,SW0136,,SUU,Sunbury
SW_000137,SWR,SW0137,,SNG,Sunningdale
SW_000138,SWR,SW0138,,SNY,Sunnymeads
SW_000139,SWR,SW0139,,SUR,Surbiton
SW_000140,SWR,SW0140,,SNW,Swanwick
SW_000141,SWR,SW0141,,SWY,Sway
SW_000142,SWR,SW0142,,SWG,Swaythling
SW_000143,SWR,SW0143,,SYL,Syon Lane
SW_000144,SWR,SW0144,,TED,Teddington
SW_000145,SWR,SW0145,,TMC,Templecombe
SW_000146,SWR,SW0146,,THD,Thames Ditton
SW_000147,SWR,SW0147,,TIS,Tisbury
SW_000148,SWR,SW0148,,TOL,Tolworth
SW_000149,SWR,SW0149,,TTN,Totton
SW_000150,SWR,SW0150,,TWI,Twickenham
SW_000151,SWR,SW0151,,UPH,Upper Halliford
SW_000152,SWR,SW0152,,UPW,Upwey
SW_000153,SWR,SW0153,,VXH,Vauxhall
SW_000154,SWR,SW0154,,VIR,Virginia Water
SW_000155,SWR,SW0155,,WAL,Walton-on-Thames
SW_000156,SWR,SW0156,,WAN,Wanborough
SW_000157,SWR,SW0157,,WNT,Wandsworth Town
SW_000158,SWR,SW0158,,WRM,Wareham (Dorset)
SW_000159,SWR,SW0159,,WBY,West Byfleet
SW_000160,SWR,SW0160,,WYB,Weybridge
SW_000161,SWR,SW0161,,WEY,Weymouth
SW_000162,SWR,SW0162,,WHM,Whimple
SW_000163,SWR,SW0163,,WCH,Whitchurch (Hampshire)
SW_000164,SWR,SW0164,,WTN,Whitton (London)
SW_000165,SWR,SW0165,,WIM,Wimbledon
SW_000166,SWR,SW0166,,WIN,Winchester
SW_000167,SWR,SW0167,,WNF,Winchfield
SW_000168,SWR,SW0168,,WNR,Windsor & Eton Riverside
SW_000169,SWR,SW0169,,WNS,Winnersh
SW_000170,SWR,SW0170,,WTI,Winnersh Triangle
SW_000171,SWR,SW0171,,WTY,Witley
SW_000172,SWR,SW0172,,WOK,Woking
SW_000173,SWR,SW0173,,WKM,Wokingham
SW_000174,SWR,SW0174,,WOO,Wool
SW_000175,SWR,SW0175,,WLS,Woolston
SW_000176,SWR,SW0176,,WCP,Worcester Park
SW_000177,SWR,SW0177,,WPL,Worplesdon
SW_000178,SWR,SW0178,,WRY,Wraysbury
SW_000179,SWR,SW0179,,YVJ,Yeovil Junction
