station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Addlestone,ASN,SWR,,,51.37304695,-0.484448913,,,,,,,,,,,,,,,,SW_000001,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000001,,,,,False,
Aldershot,AHT,SWR,,,51.24641674,-0.759860484,,,,,,,,,,,,,,,,SW_000002,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000002,,,,,False,
Alton,AON,SWR,,,51.15196497,-0.966920228,,,,,,,,,,,,,,,,SW_000003,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000003,,,,,False,
Andover,ADV,SWR,,,51.21154584,-1.49223998,,,,,,,,,,,,,,,,SW_000004,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000004,,,,,False,
Ascot (Berks),ACT,SWR,,,51.40624634,-0.675830536,,,,,,,,,,,,,,,,SW_000005,[nan],1,1,low,single,,False,False,multiple,False,True,False,SW_000005,,,,,False,
Ash,ASH,SWR,,,51.24959566,-0.712804737,,,,,,,,,,,,,,,,SW_000006,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000006,,,,,False,
Ash Vale,AHV,SWR,,,51.27224595,-0.72164797,,,,,,,,,,,,,,,,SW_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,SW_000007,,,,,False,
Ashford (Surrey),AFS,SWR,,,51.43651024,-0.468062256,,,,,,,,,,,,,,,,SW_000008,[nan],1,1,low,single,,False,False,multiple,False,True,False,SW_000008,,,,,False,
Ashurst New Forest,ANF,SWR,,,50.88984033,-1.526640531,,,,,,,,,,,,,,,,SW_000009,[nan],1,1,low,single,,False,False,multiple,False,True,False,SW_000009,,,,,False,
Axminster,AXM,SWR,,,50.7785826,-3.00522804,,,,,,,,,,,,,,,,SW_000010,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000010,,,,,False,
Bagshot,BAG,SWR,,,51.36436905,-0.688659892,,,,,,,,,,,,,,,,SW_000011,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000011,,,,,False,
Barnes,BNS,SWR,,,51.46706806,-0.240724454,,,,,,,,,,,,,,,,SW_000012,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000012,,,,,False,
Barnes Bridge,BNI,SWR,,,51.47173404,-0.252064268,,,,,,,,,,,,,,,,SW_000013,[nan],1,1,low,single,,False,False,multiple,False,True,False,SW_000013,,,,,False,
Basingstoke,BSK,SWR,,,51.26835654,-1.087259112,,,,,,,,,,,,,,,,SW_000014,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000014,,,,,False,
Beaulieu Road,BEU,SWR,,,50.85503752,-1.504758891,,,,,,,,,,,,,,,,SW_000015,[nan],1,1,low,single,,False,False,multiple,False,True,False,SW_000015,,,,,False,
Bedhampton,BDH,SWR,,,50.85394444,-0.995823664,,,,,,,,,,,,,,,,SW_000016,[nan],1,1,low,single,,False,False,single,False,True,False,SW_000016,,,,,False,
Bentley (Hampshire),BTY,SWR,,,51.18122986,-0.868130903,,,,,,,,,,,,,,,,SW_000017,[nan],1,1,low,single,,False,False,multiple,False,True,False,SW_000017,,,,,False,
