station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Addlestone,ASN,South Western Railway,,,51.37304695,-0.484448913,,,,,,,,,,,,,,,,SW_000001
Aldershot,AHT,South Western Railway,,,51.24641674,-0.759860484,,,,,,,,,,,,,,,,SW_000002
Alton,AON,South Western Railway,,,51.15196497,-0.966920228,,,,,,,,,,,,,,,,SW_000003
Andover,ADV,South Western Railway,,,51.21154584,-1.49223998,,,,,,,,,,,,,,,,SW_000004
Ascot (Berks),ACT,South Western Railway,,,51.40624634,-0.675830536,,,,,,,,,,,,,,,,SW_000005
Ash,ASH,South Western Railway,,,51.24959566,-0.712804737,,,,,,,,,,,,,,,,SW_000006
Ash Vale,AHV,South Western Railway,,,51.27224595,-0.72164797,,,,,,,,,,,,,,,,SW_000007
Ashford (Surrey),AFS,South Western Railway,,,51.43651024,-0.468062256,,,,,,,,,,,,,,,,SW_000008
Ashurst New Forest,ANF,South Western Railway,,,50.88984033,-1.526640531,,,,,,,,,,,,,,,,SW_000009
Axminster,AXM,South Western Railway,,,50.7785826,-3.00522804,,,,,,,,,,,,,,,,SW_000010
Bagshot,BAG,South Western Railway,,,51.36436905,-0.688659892,,,,,,,,,,,,,,,,SW_000011
Barnes,BNS,South Western Railway,,,51.46706806,-0.240724454,,,,,,,,,,,,,,,,SW_000012
Barnes Bridge,BNI,South Western Railway,,,51.47173404,-0.252064268,,,,,,,,,,,,,,,,SW_000013
Basingstoke,BSK,South Western Railway,,,51.26835654,-1.087259112,,,,,,,,,,,,,,,,SW_000014
Beaulieu Road,BEU,South Western Railway,,,50.85503752,-1.504758891,,,,,,,,,,,,,,,,SW_000015
Bedhampton,BDH,South Western Railway,,,50.85394444,-0.995823664,,,,,,,,,,,,,,,,SW_000016
Bentley (Hampshire),BTY,South Western Railway,,,51.18122986,-0.868130903,,,,,,,,,,,,,,,,SW_000017
Berrylands,BRS,South Western Railway,,,51.39904691,-0.28071427,,,,,,,,,,,,,,,,SW_000018
Bitterne,BTE,South Western Railway,,,50.91844496,-1.376987648,,,,,,,,,,,,,,,,SW_000019
Bookham,BKA,South Western Railway,,,51.28873731,-0.384010514,,,,,,,,,,,,,,,,SW_000020
Botley,BOE,South Western Railway,,,50.91680133,-1.258806196,,,,,,,,,,,,,,,,SW_000021
Bournemouth,BMH,South Western Railway,,,50.72752854,-1.863941342,,,,,,,,,,,,,,,,SW_000022
Bracknell,BCE,South Western Railway,,,51.41309494,-0.751703019,,,,,,,,,,,,,,,,SW_000023
Branksome,BSM,South Western Railway,,,50.72757992,-1.919197826,,,,,,,,,,,,,,,,SW_000024
Brentford,BFD,South Western Railway,,,51.48785748,-0.309064381,,,,,,,,,,,,,,,,SW_000025
Brockenhurst,BCU,South Western Railway,,,50.81682895,-1.573542545,,,,,,,,,,,,,,,,SW_000026
Brookwood,BKO,South Western Railway,,,51.30375762,-0.635744681,,,,,,,,,,,,,,,,SW_000027
Bursledon,BUO,South Western Railway,,,50.88438037,-1.305281384,,,,,,,,,,,,,,,,SW_000028
Byfleet & New Haw,BFN,South Western Railway,,,51.34979727,-0.481381942,,,,,,,,,,,,,,,,SW_000029
Camberley,CAM,South Western Railway,,,51.33645865,-0.744669753,,,,,,,,,,,,,,,,SW_000030
Chandlers Ford,CFR,South Western Railway,,,50.98299772,-1.384401049,,,,,,,,,,,,,,,,SW_000031
Chertsey,CHY,South Western Railway,,,51.38716506,-0.509665587,,,,,,,,,,,,,,,,SW_000032
Chessington North,CSN,South Western Railway,,,51.36426238,-0.300405044,,,,,,,,,,,,,,,,SW_000033
Chessington South,CSS,South Western Railway,,,51.35655091,-0.308159205,,,,,,,,,,,,,,,,SW_000034
Chiswick,CHK,South Western Railway,,,51.48114063,-0.267834947,,,,,,,,,,,,,,,,SW_000035
Christchurch,CHR,South Western Railway,,,50.73820038,-1.784549578,,,,,,,,,,,,,,,,SW_000036
Clandon,CLA,South Western Railway,,,51.26400351,-0.502759414,,,,,,,,,,,,,,,,SW_000037
Claygate,CLG,South Western Railway,,,51.36121463,-0.348236165,,,,,,,,,,,,,,,,SW_000038
Cobham & Stoke d'Abernon,CSD,South Western Railway,,,51.31810024,-0.389336167,,,,,,,,,,,,,,,,SW_000039
Cosham,CSA,South Western Railway,,,50.84208432,-1.06754988,,,,,,,,,,,,,,,,SW_000040
Cranbrook (Devon),CBK,South Western Railway,,,50.749689,-3.4222744,,,,,,,,,,,,,,,,SW_000041
Crewkerne,CKN,South Western Railway,,,50.87203517,-2.778487421,,,,,,,,,,,,,,,,SW_000042
Datchet,DAT,South Western Railway,,,51.4830933498849,-0.5794429779052734,,,,,,,,,,,,,,,,SW_000043
Dean (Wilts),DEN,South Western Railway,,,51.0422304,-1.634809477,,,,,,,,,,,,,,,,SW_000044
Dorchester South,DCH,South Western Railway,,,50.70927877,-2.437250357,,,,,,,,,,,,,,,,SW_000045
Earley,EAR,South Western Railway,,,51.44109521,-0.917992325,,,,,,,,,,,,,,,,SW_000046
Earlsfield,EAD,South Western Railway,,,51.44199132,-0.188445946,,,,,,,,,,,,,,,,SW_000047
Eastleigh,ESL,South Western Railway,,,50.96924196,-1.350088939,,,,,,,,,,,,,,,,SW_000048
Effingham Junction,EFF,South Western Railway,,,51.29149416,-0.419956236,,,,,,,,,,,,,,,,SW_000049
Egham,EGH,South Western Railway,,,51.42964981,-0.54650574,,,,,,,,,,,,,,,,SW_000050
Esher,ESH,South Western Railway,,,51.37989226,-0.353326233,,,,,,,,,,,,,,,,SW_000051
Ewell West,EWW,South Western Railway,,,51.35004515,-0.256986854,,,,,,,,,,,,,,,,SW_000052
Fareham,FRM,South Western Railway,,,50.85302175,-1.192037892,,,,,,,,,,,,,,,,SW_000053
Farnborough (Main),FNB,South Western Railway,,,51.29660513,-0.755725906,,,,,,,,,,,,,,,,SW_000054
Farncombe,FNC,South Western Railway,,,51.19715045,-0.604545436,,,,,,,,,,,,,,,,SW_000055
Farnham,FNH,South Western Railway,,,51.21190211,-0.792428907,,,,,,,,,,,,,,,,SW_000056
Feltham,FEL,South Western Railway,,,51.4479016,-0.409827793,,,,,,,,,,,,,,,,SW_000057
Feniton,FNT,South Western Railway,,,50.78644387,-3.285357243,,,,,,,,,,,,,,,,SW_000058
Fleet,FLE,South Western Railway,,,51.29063459,-0.830808013,,,,,,,,,,,,,,,,SW_000059
Fratton,FTN,South Western Railway,,,50.79632515,-1.073980501,,,,,,,,,,,,,,,,SW_000060
Frimley,FML,South Western Railway,,,51.31186216,-0.746991209,,,,,,,,,,,,,,,,SW_000061
Fulwell,FLW,South Western Railway,,,51.43393799,-0.349469931,,,,,,,,,,,,,,,,SW_000062
Gillingham Dorset,GIL,South Western Railway,,,51.03402105,-2.272639221,,,,,,,,,,,,,,,,SW_000063
Godalming,GOD,South Western Railway,,,51.18658296,-0.618859352,,,,,,,,,,,,,,,,SW_000064
Grateley,GRT,South Western Railway,,,51.17005721,-1.620784549,,,,,,,,,,,,,,,,SW_000065
Hamble,HME,South Western Railway,,,50.8713636,-1.329166492,,,,,,,,,,,,,,,,SW_000066
Hampton (London),HMP,South Western Railway,,,51.41590963,-0.372108616,,,,,,,,,,,,,,,,SW_000067
Hampton Court,HMC,South Western Railway,,,51.40255764,-0.342750055,,,,,,,,,,,,,,,,SW_000068
Hampton Wick,HMW,South Western Railway,,,51.41452673,-0.31249094,,,,,,,,,,,,,,,,SW_000069
Hamworthy,HAM,South Western Railway,,,50.72517822,-2.019367161,,,,,,,,,,,,,,,,SW_000070
Haslemere,HSL,South Western Railway,,,51.08884213,-0.719371718,,,,,,,,,,,,,,,,SW_000071
Havant,HAV,South Western Railway,,,50.85441478,-0.981606362,,,,,,,,,,,,,,,,SW_000072
Hedge End,HDE,South Western Railway,,,50.93231017,-1.294506472,,,,,,,,,,,,,,,,SW_000073
Hersham,HER,South Western Railway,,,51.37698201,-0.389799091,,,,,,,,,,,,,,,,SW_000074
Hilsea,HLS,South Western Railway,,,50.82812716,-1.058584319,,,,,,,,,,,,,,,,SW_000075
Hinchley Wood,HYW,South Western Railway,,,51.37499946,-0.340526968,,,,,,,,,,,,,,,,SW_000076
Hinton Admiral,HNA,South Western Railway,,,50.75262651,-1.714128129,,,,,,,,,,,,,,,,SW_000077
Holton Heath,HOL,South Western Railway,,,50.71139466,-2.07785667,,,,,,,,,,,,,,,,SW_000078
Honiton,HON,South Western Railway,,,50.79657202,-3.186745856,,,,,,,,,,,,,,,,SW_000079
Hook,HOK,South Western Railway,,,51.27999802,-0.961641845,,,,,,,,,,,,,,,,SW_000080
Horsley,HSY,South Western Railway,,,51.2793455,-0.435400001,,,,,,,,,,,,,,,,SW_000081
Hounslow,HOU,South Western Railway,,,51.46252802,-0.361826888,,,,,,,,,,,,,,,,SW_000082
Isleworth,ISL,South Western Railway,,,51.47476682,-0.336908528,,,,,,,,,,,,,,,,SW_000083
Kempton Park,KMP,South Western Railway,,,51.4209856,-0.409741053,,,,,,,,,,,,,,,,SW_000084
Kew Bridge,KWB,South Western Railway,,,51.48936263,-0.28884221,,,,,,,,,,,,,,,,SW_000085
Kingston,KNG,South Western Railway,,,51.41275341,-0.301166881,,,,,,,,,,,,,,,,SW_000086
