station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_...,time_band,distance_from_..._km,distance_band,time_band,accessibility_score,difficulty_score,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
SC_0024,SC_R0024,Arisaig,ARG,Scotrail,West Highland Line,,,56.912617,-5.839141,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR024,,,FALSE,regional,,,,,,,,,,,,
SC_0026,SC_R0026,Arrochar & Tarbet,ART,Scotrail,West Highland Line,,,56.204021,-4.722822,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,TRUE,SCR026,,,FALSE,regional,,,,,,,,,,,,
SC_0035,SC_R0035,Banavie,BNV,Scotrail,West Highland Line,,,56.84338,-5.095477,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR035,,,FALSE,regional,,,,,,,,,,,,
SC_0044,SC_R0044,Beasdale,BSL,Scotrail,West Highland Line,,,56.899624,-5.763864,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR044,,,FALSE,regional,,,,,,,,,,,,
SC_0059,SC_R0059,Bridge of Orchy,BRO,Scotrail,West Highland Line,,,56.515926,-4.763048,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,TRUE,SCR059,,,FALSE,regional,,,,,,,,,,,,
SC_0094,SC_R0094,Corpach,CPA,Scotrail,West Highland Line,,,56.842724,-5.121662,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR094,,,FALSE,regional,,,,,,,,,,,,
SC_0095,SC_R0095,Corrour,CRR,Scotrail,West Highland Line,,,56.760181,-4.690966,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR095,,,FALSE,regional,,,,,,,,,,,,
SC_0098,SC_R0098,Crianlarich,CNR,Scotrail,West Highland Line,,,56.389652,-4.617778,,,TRUE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR098,,,FALSE,regional,,,,,,,,,,,,
SC_0156,SC_R0156,Fort William,FTW,Scotrail,West Highland Line,,,56.820625,-5.106721,,,TRUE,,,,,,,,,,multiple,FALSE,TRUE,TRUE,SCR156,,,FALSE,regional,,,,,,,,,,,,
SC_0170,SC_R0170,Glenfinnan,GLF,Scotrail,West Highland Line,,,56.872753,-5.449219,,,FALSE,,,,,,,,,,single,FALSE,TRUE,TRUE,SCR170,,,FALSE,regional,,,,,,,,,,,,
