station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
SCR001,Aberdeen,ABD,,,,57.143127,-2.097464,,,,,,,,,,,,,,,,,,,,,,,
SCR002,Aberdour,AUR,,,,56.054646,-3.300575,,,,,,,,,,,,,,,,,,,,,,,
SCR003,Achanalt,AAT,,,,57.609921,-4.914243,,,,,,,,,,,,,,,,,,,,,,,
SCR004,Achnasheen,ACN,,,,57.579205,-5.072421,,,,,,,,,,,,,,,,,,,,,,,
SCR005,Achnashellach,ACH,,,,57.482697,-5.333001,,,,,,,,,,,,,,,,,,,,,,,
SCR006,Addiewell,ADW,,,,55.843449,-3.60655,,,,,,,,,,,,,,,,,,,,,,,
SCR007,Airbles,AIR,,,,55.782504,-3.994447,,,,,,,,,,,,,,,,,,,,,,,
SCR008,Airdrie,ADR,,,,55.864029,-3.982952,,,,,,,,,,,,,,,,,,,,,,,
SCR009,Alexandra Parade,AXP,,,,55.863724,-4.211465,,,,,,,,,,,,,,,,,,,,,,,
SCR010,Alexandria,ALX,,,,55.98513,-4.577534,,,,,,,,,,,,,,,,,,,,,,,
SCR011,Alloa,ALO,,,,56.1179,-3.7872,,,,,,,,,,,,,,,,,,,,,,,
SCR012,Alness,ASS,,,,57.694477,-4.249743,,,,,,,,,,,,,,,,,,,,,,,
SCR013,Altnabreac,ABC,,,,58.388439,-3.705279,,,,,,,,,,,,,,,,,,,,,,,
SCR014,Anderston,AND,,,,55.859924,-4.271969,,,,,,,,,,,,,,,,,,,,,,,
SCR015,Annan,ANN,,,,54.98386,-3.262603,,,,,,,,,,,,,,,,,,,,,,,
SCR016,Anniesland,ANL,,,,55.889553,-4.321684,,,,,,,,,,,,,,,,,,,,,,,
SCR017,Arbroath,ARB,,,,56.559628,-2.588928,,,,,,,,,,,,,,,,,,,,,,,
SCR018,Ardgay,ARD,,,,57.881119,-4.362604,,,,,,,,,,,,,,,,,,,,,,,
SCR019,Ardlui,AUI,,,,56.302025,-4.721712,,,,,,,,,,,,,,,,,,,,,,,
SCR020,Ardrossan Harbour,ADS,,,,55.640854,-4.823461,,,,,,,,,,,,,,,,,,,,,,,
SCR021,Ardrossan South Beach,ASB,,,,55.640495,-4.799593,,,,,,,,,,,,,,,,,,,,,,,
SCR022,Ardrossan Town,ADN,,,,55.639313,-4.812212,,,,,,,,,,,,,,,,,,,,,,,
SCR023,Argyle Street,AGS,,,,55.855938,-4.244574,,,,,,,,,,,,,,,,,,,,,,,
SCR024,Arisaig,ARG,,,,56.912617,-5.839141,,,,,,,,,,,,,,,,,,,,,,,
SCR025,Armadale,ARM,,,,55.88639,-3.68504,,,,,,,,,,,,,,,,,,,,,,,
SCR026,Arrochar & Tarbet,ART,,,,56.204021,-4.722822,,,,,,,,,,,,,,,,,,,,,,,
SCR027,Ashfield,ASF,,,,55.889214,-4.2433,,,,,,,,,,,,,,,,,,,,,,,
SCR028,Attadale,ATT,,,,57.394871,-5.456549,,,,,,,,,,,,,,,,,,,,,,,
SCR029,Auchinleck,AUK,,,,55.47031,-4.295389,,,,,,,,,,,,,,,,,,,,,,,
SCR030,Aviemore,AVM,,,,57.18914,-3.828348,,,,,,,,,,,,,,,,,,,,,,,
SCR031,Ayr,AYR,,,,55.458248,-4.626878,,,,,,,,,,,,,,,,,,,,,,,
SCR032,Baillieston,BIO,,,,55.844761,-4.11454,,,,,,,,,,,,,,,,,,,,,,,
SCR033,Balloch Central,BHC,,,,56.002983,-4.583539,,,,,,,,,,,,,,,,,,,,,,,
SCR034,Balmossie,BSI,,,,56.475548,-2.83764,,,,,,,,,,,,,,,,,,,,,,,
SCR035,Banavie,BNV,,,,56.84338,-5.095477,,,,,,,,,,,,,,,,,,,,,,,
SCR036,Barassie,BSS,,,,55.5611,-4.651181,,,,,,,,,,,,,,,,,,,,,,,
SCR037,Bargeddie,BGI,,,,55.851776,-4.071789,,,,,,,,,,,,,,,,,,,,,,,
SCR038,Barnhill,BNL,,,,55.877895,-4.223463,,,,,,,,,,,,,,,,,,,,,,,
SCR039,Barrhead,BRR,,,,55.804535,-4.396411,,,,,,,,,,,,,,,,,,,,,,,
SCR040,Barrhill,BRL,,,,55.097031,-4.781834,,,,,,,,,,,,,,,,,,,,,,,
SCR041,Barry Links,BYL,,,,56.493206,-2.745444,,,,,,,,,,,,,,,,,,,,,,,
SCR042,Bathgate,BHG,,,,55.898678,-3.644019,,,,,,,,,,,,,,,,,,,,,,,
SCR043,Bearsden,BRN,,,,55.917202,-4.332945,,,,,,,,,,,,,,,,,,,,,,,
SCR044,Beasdale,BSL,,,,56.899624,-5.763864,,,,,,,,,,,,,,,,,,,,,,,
SCR045,Beauly,BEL,,,,57.478,-4.4698,,,,,,,,,,,,,,,,,,,,,,,
SCR046,Bellgrove,BLG,,,,55.857182,-4.22547,,,,,,,,,,,,,,,,,,,,,,,
SCR047,Bellshill,BLH,,,,55.816605,-4.025222,,,,,,,,,,,,,,,,,,,,,,,
SCR048,Bishopbriggs,BBG,,,,55.903927,-4.224958,,,,,,,,,,,,,,,,,,,,,,,
SCR049,Bishopton,BPT,,,,55.902206,-4.501637,,,,,,,,,,,,,,,,,,,,,,,
SCR050,Blackridge,BKR,,,,55.88368,-3.75047,,,,,,,,,,,,,,,,,,,,,,,
SCR051,Blair Atholl,BLA,,,,56.765614,-3.85025,,,,,,,,,,,,,,,,,,,,,,,
SCR052,Blairhill,BAI,,,,55.866653,-4.04221,,,,,,,,,,,,,,,,,,,,,,,
SCR053,Blantyre,BLT,,,,55.7976,-4.086466,,,,,,,,,,,,,,,,,,,,,,,
SCR054,Bogston,BGS,,,,55.937267,-4.713676,,,,,,,,,,,,,,,,,,,,,,,
SCR055,Bowling,BWG,,,,55.931129,-4.493879,,,,,,,,,,,,,,,,,,,,,,,
SCR056,Branchton,BCN,,,,55.940647,-4.803598,,,,,,,,,,,,,,,,,,,,,,,
SCR057,Breich,BRC,,,,55.827351,-3.668147,,,,,,,,,,,,,,,,,,,,,,,
SCR058,Bridge of Allan,BEA,,,,56.157429,-3.956166,,,,,,,,,,,,,,,,,,,,,,,
SCR059,Bridge of Orchy,BRO,,,,56.515926,-4.763048,,,,,,,,,,,,,,,,,,,,,,,
SCR060,Bridgeton,BDG,,,,55.849968,-4.226668,,,,,,,,,,,,,,,,,,,,,,,
SCR061,Brora,BRA,,,,58.012657,-3.853251,,,,,,,,,,,,,,,,,,,,,,,
SCR062,Broughty Ferry,BYF,,,,56.467213,-2.873153,,,,,,,,,,,,,,,,,,,,,,,
SCR063,Brunstane,BSU,,,,55.94143,-3.10064,,,,,,,,,,,,,,,,,,,,,,,
SCR064,Burnside,BUI,,,,55.817123,-4.204029,,,,,,,,,,,,,,,,,,,,,,,
SCR065,Burntisland,BTS,,,,56.057133,-3.233214,,,,,,,,,,,,,,,,,,,,,,,
SCR066,Busby,BUS,,,,55.780109,-4.262551,,,,,,,,,,,,,,,,,,,,,,,
SCR067,Caldercruix,CAC,,,,55.88791,-3.88978,,,,,,,,,,,,,,,,,,,,,,,
SCR068,Cambuslang,CBL,,,,55.819458,-4.173839,,,,,,,,,,,,,,,,,,,,,,,
SCR069,Camelon,CMO,,,,56.006775,-3.817015,,,,,,,,,,,,,,,,,,,,,,,
SCR070,Cameron Bridge,CBX,,,,56.189693,-3.046855,,,,,,,,,,,,,,,,,,,,,,,
SCR071,Cardenden,CDD,,,,56.141308,-3.261651,,,,,,,,,,,,,,,,,,,,,,,
SCR072,Cardonald,CDO,,,,55.853252,-4.340297,,,,,,,,,,,,,,,,,,,,,,,
SCR073,Cardross,CDR,,,,55.960163,-4.652782,,,,,,,,,,,,,,,,,,,,,,,
SCR074,Carfin,CRF,,,,55.806938,-3.956112,,,,,,,,,,,,,,,,,,,,,,,
SCR075,Carluke,CLU,,,,55.730408,-3.848761,,,,,,,,,,,,,,,,,,,,,,,
SCR076,Carmyle,CML,,,,55.834053,-4.161873,,,,,,,,,,,,,,,,,,,,,,,
SCR077,Carnoustie,CAN,,,,56.500618,-2.7066,,,,,,,,,,,,,,,,,,,,,,,
SCR078,Carntyne,CAY,,,,55.854412,-4.17898,,,,,,,,,,,,,,,,,,,,,,,
SCR079,Carrbridge,CAG,,,,57.279873,-3.829541,,,,,,,,,,,,,,,,,,,,,,,
SCR080,Carstairs,CRS,,,,55.69075,-3.668696,,,,,,,,,,,,,,,,,,,,,,,
SCR081,Cartsdyke,CDY,,,,55.942261,-4.731633,,,,,,,,,,,,,,,,,,,,,,,
SCR082,Cathcart,CCT,,,,55.817879,-4.261552,,,,,,,,,,,,,,,,,,,,,,,
SCR083,Charing Cross (Glasgow),CHC,,,,55.865345,-4.270689,,,,,,,,,,,,,,,,,,,,,,,
SCR084,Chatelherault,CTE,,,,55.76521,-4.00466,,,,,,,,,,,,,,,,,,,,,,,
SCR085,Clarkston,CKS,,,,55.789753,-4.275865,,,,,,,,,,,,,,,,,,,,,,,
SCR086,Cleland,CEA,,,,55.804073,-3.909695,,,,,,,,,,,,,,,,,,,,,,,
SCR087,Clydebank,CYK,,,,55.900562,-4.403927,,,,,,,,,,,,,,,,,,,,,,,
SCR088,Coatbridge Central,CBC,,,,55.863213,-4.032443,,,,,,,,,,,,,,,,,,,,,,,
SCR089,Coatbridge Sunnyside,CBS,,,,55.866886,-4.027847,,,,,,,,,,,,,,,,,,,,,,,
SCR090,Coatdyke,COA,,,,55.864567,-4.005343,,,,,,,,,,,,,,,,,,,,,,,
SCR091,Connel Ferry,CON,,,,56.451981,-5.384973,,,,,,,,,,,,,,,,,,,,,,,
SCR092,Conon Bridge,CBD,,,,57.5617,-4.4404,,,,,,,,,,,,,,,,,,,,,,,
SCR093,Corkerhill,CKH,,,,55.836494,-4.323322,,,,,,,,,,,,,,,,,,,,,,,
SCR094,Corpach,CPA,,,,56.842724,-5.121662,,,,,,,,,,,,,,,,,,,,,,,
SCR095,Corrour,CRR,,,,56.760181,-4.690966,,,,,,,,,,,,,,,,,,,,,,,
SCR096,Cowdenbeath,COW,,,,56.111679,-3.344314,,,,,,,,,,,,,,,,,,,,,,,
SCR097,Craigendoran,CGD,,,,55.99485,-4.711291,,,,,,,,,,,,,,,,,,,,,,,
SCR098,Crianlarich,CNR,,,,56.389652,-4.617778,,,,,,,,,,,,,,,,,,,,,,,
SCR099,Croftfoot,CFF,,,,55.818455,-4.229643,,,,,,,,,,,,,,,,,,,,,,,
SCR100,Crookston,CKT,,,,55.84388,-4.36049,,,,,,,,,,,,,,,,,,,,,,,
SCR101,Crosshill,COI,,,,55.833225,-4.257648,,,,,,,,,,,,,,,,,,,,,,,
SCR102,Crossmyloof,CMY,,,,55.833626,-4.284813,,,,,,,,,,,,,,,,,,,,,,,
SCR103,Croy,CRO,,,,55.955734,-4.035697,,,,,,,,,,,,,,,,,,,,,,,
SCR104,Culrain,CUA,,,,57.919842,-4.405676,,,,,,,,,,,,,,,,,,,,,,,
SCR105,Cumbernauld,CUB,,,,55.941326,-3.982089,,,,,,,,,,,,,,,,,,,,,,,
SCR106,Cupar,CUP,,,,56.317043,-3.008772,,,,,,,,,,,,,,,,,,,,,,,
SCR107,Curriehill,CUH,,,,55.901703,-3.317849,,,,,,,,,,,,,,,,,,,,,,,
SCR108,Dalgety Bay,DAG,,,,56.044178,-3.354809,,,,,,,,,,,,,,,,,,,,,,,
SCR109,Dalmally,DAL,,,,56.400272,-4.9832,,,,,,,,,,,,,,,,,,,,,,,
SCR110,Dalmarnock,DAK,,,,55.839371,-4.21647,,,,,,,,,,,,,,,,,,,,,,,
SCR111,Dalmeny,DAM,,,,55.986362,-3.381645,,,,,,,,,,,,,,,,,,,,,,,
SCR112,Dalmuir,DMR,,,,55.911793,-4.427038,,,,,,,,,,,,,,,,,,,,,,,
SCR113,Dalreoch,DLR,,,,55.947365,-4.578226,,,,,,,,,,,,,,,,,,,,,,,
SCR114,Dalry,DLY,,,,55.705395,-4.711899,,,,,,,,,,,,,,,,,,,,,,,
SCR115,Dalwhinnie,DLW,,,,56.934334,-4.246498,,,,,,,,,,,,,,,,,,,,,,,
SCR116,Dingwall,DIN,,,,57.594238,-4.422611,,,,,,,,,,,,,,,,,,,,,,,
SCR117,Drem,DRM,,,,56.005981,-2.785752,,,,,,,,,,,,,,,,,,,,,,,
SCR118,Drumchapel,DMC,,,,55.904926,-4.364204,,,,,,,,,,,,,,,,,,,,,,,
SCR119,Drumfrochar,DFR,,,,55.941292,-4.774822,,,,,,,,,,,,,,,,,,,,,,,
SCR120,Drumgelloch,DRU,,,,55.867233,-3.95114,,,,,,,,,,,,,,,,,,,,,,,
SCR121,Drumry,DMY,,,,55.904495,-4.386583,,,,,,,,,,,,,,,,,,,,,,,
SCR122,Duirinish,DRN,,,,57.319847,-5.692103,,,,,,,,,,,,,,,,,,,,,,,
