station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SCR001,Aberdeen,ABD,Scotrail,,,57.143127,-2.097464,,,,,,,,,,,,,,,,1,,,single,,,,,['Aberdeen Line'],Aberdeen Line,False,False,single,False,True,False,SCR001,,,False,regional
SCR002,Aberdour,AUR,Scotrail,,,56.054646,-3.300575,,,,,,,,,,,,,,,,0,,,single,,,,,[],,False,False,single,False,True,False,SCR002,,,False,regional
SCR003,Achanalt,AAT,Scotrail,,,57.609921,-4.914243,,,,,,,,,,,,,,,,0,,,single,,,,,[],,False,False,single,False,True,False,SCR003,,,False,regional
SCR004,Achnasheen,ACN,Scotrail,,,57.579205,-5.072421,,,,,,,,,,,,,,,,1,,,single,,,,,['Kyle Line'],Kyle Line,False,False,single,True,False,True,SCR004,,,False,regional
SCR005,Achnashellach,ACH,Scotrail,,,57.482697,-5.333001,,,,,,,,,,,,,,,,1,,,single,,,,,['Kyle Line'],Kyle Line,False,False,single,True,False,True,SCR005,,,False,regional
SCR006,Addiewell,ADW,Scotrail,,,55.843449,-3.60655,,,,,,,,,,,,,,,,0,,,single,,,,,[],,False,False,single,False,True,False,SCR006,,,False,regional
SCR007,Airbles,AIR,Scotrail,,,55.782504,-3.994447,,,,,,,,,,,,,,,,1,,,single,,,,,['Lanark Line'],Lanark Line,False,False,single,True,False,False,SCR007,,,False,regional
SCR008,Airdrie,ADR,Scotrail,,,55.864029,-3.982952,,,,,,,,,,,,,,,,0,,,single,,,,,[],,False,False,single,False,True,False,SCR008,,,False,regional
SCR009,Alexandra Parade,AXP,Scotrail,,,55.863724,-4.211465,,,,,,,,,,,,,,,,0,,,single,,,,,[],,False,False,multiple,False,True,False,SCR009,,,False,regional
SCR010,Alexandria,ALX,Scotrail,,,55.98513,-4.577534,,,,,,,,,,,,,,,,0,,,single,,,,,[],,False,False,single,False,True,False,SCR010,,,False,regional
SCR011,Alloa,ALO,Scotrail,,,56.1179,-3.7872,,,,,,,,,,,,,,,,0,,,single,,,,,[],,False,False,single,False,True,False,SCR011,,,False,regional
SCR012,Alness,ASS,Scotrail,,,57.694477,-4.249743,,,,,,,,,,,,,,,,1,,,single,,,,,['Far North Line'],Far North Line,False,False,single,True,False,True,SCR012,,,False,regional
SCR013,Altnabreac,ABC,Scotrail,,,58.388439,-3.705279,,,,,,,,,,,,,,,,1,,,single,,,,,['Far North Line'],Far North Line,False,False,single,True,False,True,SCR013,,,False,regional
