station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_...,time_band,distance_from_..._km,distance_band,route_count,service_count,service_density,route_diversity_band,is_mainline,is_coastal,is_high_speed,distance_band,accessibility_score,difficulty_score,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,word_count_band
SO_0001,SO_R0001,Aldrington,AGT,Southern,,,,50.83636472,-0.181209698,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0002,SO_R0002,Amberley,AMY,Southern,,,,50.896668,-0.541989047,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0003,SO_R0003,Angmering,ANG,Southern,['West Coastway'],West Sussex,,50.8165699,-0.4893894,,FALSE,FALSE,FALSE,FALSE,40.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0004,SO_R0004,Appledore (Kent),APD,Southern,,,,51.0332352,0.816355536,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0005,SO_R0005,Arundel,ARU,Southern,,,,50.84820145,-0.546171346,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0006,SO_R0006,Ashtead,AHD,Southern,,,,51.31788158,-0.308147338,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0007,SO_R0007,Ashurst (Kent),AHS,Southern,,,,51.12865582,0.152661963,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0008,SO_R0008,Balcombe,BAB,Southern,['Brighton Main Line'],West Sussex,,51.05551334,-0.136932431,,FALSE,FALSE,FALSE,FALSE,18,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0009,SO_R0009,Balham,BAL,Southern,['Sutton & Metro'],England,,51.44322754,-0.152421221,,FALSE,TRUE,FALSE,FALSE,9,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0010,SO_R0010,Banstead,BAD,Southern,,,,51.32934844,-0.213158063,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0011,SO_R0011,Barnham,BAA,Southern,"['West Coastway', 'Arun Valley']",West Sussex,,50.83089289,-0.639679689,,FALSE,TRUE,FALSE,FALSE,27,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0012,SO_R0012,Battersea Park,BAK,Southern,,,,51.47733308,-0.148162967,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0013,SO_R0013,Belmont,BLM,Southern,,,,51.34413926,-0.199487206,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0014,SO_R0014,Berwick (Sussex),BRK,Southern,['East Coastway'],East Sussex,,50.84037214,0.166026428,,FALSE,FALSE,FALSE,FALSE,40.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0015,SO_R0015,Bexhill,BEX,Southern,['East Coastway'],East Sussex,,50.84103549,0.477034087,,FALSE,FALSE,FALSE,FALSE,76.5,60-120,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0016,SO_R0016,Billingshurst,BIG,Southern,,,,51.01519557,-0.450295608,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
