station_id,network,route_station_id,route_group,crs,station_name
SO_000001,Southern,SO0001,,AGT,Aldrington
SO_000002,Southern,SO0002,,AMY,Amberley
SO_000003,Southern,SO0003,,ANG,Angmering
SO_000004,Southern,SO0004,,APD,Appledore (Kent)
SO_000005,Southern,SO0005,,ARU,Arundel
SO_000006,Southern,SO0006,,AHD,Ashtead
SO_000007,Southern,SO0007,,AHS,Ashurst (Kent)
SO_000008,Southern,SO0008,,BAB,Balcombe
SO_000009,Southern,SO0009,,BAL,Balham
SO_000010,Southern,SO0010,,BAD,Banstead
SO_000011,Southern,SO0011,,BAA,Barnham
SO_000012,Southern,SO0012,,BAK,Battersea Park
SO_000013,Southern,SO0013,,BLM,Belmont
SO_000014,Southern,SO0014,,BRK,Berwick (Sussex)
SO_000015,Southern,SO0015,,BEX,Bexhill
SO_000016,Southern,SO0016,,BIG,Billingshurst
SO_000017,Southern,SO0017,,BIK,Birkbeck
SO_000018,Southern,SO0018,,BIP,Bishopstone (Sussex)
SO_000019,Southern,SO0019,,BOG,Bognor Regis
SO_000020,Southern,SO0020,,BOH,Bosham
SO_000021,Southern,SO0021,,BXW,Box Hill & Westhumble
SO_000022,Southern,SO0022,,BTN,Brighton
SO_000023,Southern,SO0023,,BUG,Burgess Hill
SO_000024,Southern,SO0024,,BXD,Buxted
SO_000025,Southern,SO0025,,CSH,Carshalton
SO_000026,Southern,SO0026,,CSB,Carshalton Beeches
SO_000027,Southern,SO0027,,CAT,Caterham
SO_000028,Southern,SO0028,,CHE,Cheam
SO_000029,Southern,SO0029,,CCH,Chichester
SO_000030,Southern,SO0030,,CHP,Chipstead
SO_000031,Southern,SO0031,,CHH,Christs Hospital
SO_000032,Southern,SO0032,,CLL,Collington
SO_000033,Southern,SO0033,,COB,Cooden Beach
SO_000034,Southern,SO0034,,CBR,Cooksbridge
SO_000035,Southern,SO0035,,CDS,Coulsdon South
SO_000036,Southern,SO0036,,CDN,Coulsdon Town
SO_000037,Southern,SO0037,,CWN,Cowden (Kent)
SO_000038,Southern,SO0038,,CRW,Crawley
SO_000039,Southern,SO0039,,COH,Crowborough
SO_000040,Southern,SO0040,,DLH,Doleham
SO_000041,Southern,SO0041,,DKG,Dorking (Main)
SO_000042,Southern,SO0042,,DMS,Dormans
SO_000043,Southern,SO0043,,DUR,Durrington-on-Sea
SO_000044,Southern,SO0044,,ELD,Earlswood Surrey
SO_000045,Southern,SO0045,,ECR,East Croydon 
SO_000046,Southern,SO0046,,EDW,East Dulwich
SO_000047,Southern,SO0047,,EGR,East Grinstead
SO_000048,Southern,SO0048,,EWR,East Worthing
SO_000049,Southern,SO0049,,EBN,Eastbourne
SO_000050,Southern,SO0050,,EBR,Edenbridge (Kent)
SO_000051,Southern,SO0051,,EBT,Edenbridge Town
SO_000052,Southern,SO0052,,EMS,Emsworth
SO_000053,Southern,SO0053,,EPS,Epsom (Surrey)
SO_000054,Southern,SO0054,,EPD,Epsom Downs
SO_000055,Southern,SO0055,,ERI,Eridge
