station_name,crs,operator,route_groups,county,latitude,longitude,is_interchange,is_terminus,major_interchange,branch_junction,canonical_time_to_london,time_band,station_id,route_count,service_count,service_density,route_diversity_band,,is_branch_line,is_mainline,is_coastal,route_station_id,is_high_speed,distance_band,accessibility_score,difficulty_score,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,word_count_band
Aldrington,AGT,Southern,,,50.83636472,-0.181209698,,FALSE,,,,,SO_000001,1,1,low,single,,FALSE,TRUE,FALSE,SO_000001,FALSE,,,,,,,,,,,,,,,,single
Amberley,AMY,Southern,,,50.896668,-0.541989047,,FALSE,,,,,SO_000002,1,1,low,single,,FALSE,TRUE,FALSE,SO_000002,FALSE,,,,,,,,,,,,,,,,single
Angmering,ANG,Southern,['West Coastway'],West Sussex,50.8165699,-0.4893894,,FALSE,False,False,40.5,30-60,SO_000003,1,1,low,single,,FALSE,TRUE,FALSE,SO_000003,FALSE,,,,,,,,,,,,,,,,single
Appledore (Kent),APD,Southern,,,51.0332352,0.816355536,,FALSE,,,,,SO_000004,1,1,low,single,,FALSE,TRUE,FALSE,SO_000004,FALSE,,,,,,,,,,,,,,,,multiple
Arundel,ARU,Southern,,,50.84820145,-0.546171346,,FALSE,,,,,SO_000005,1,1,low,single,,FALSE,TRUE,FALSE,SO_000005,FALSE,,,,,,,,,,,,,,,,single
Ashtead,AHD,Southern,,,51.31788158,-0.308147338,,FALSE,,,,,SO_000006,1,1,low,single,,FALSE,TRUE,FALSE,SO_000006,FALSE,,,,,,,,,,,,,,,,single
Ashurst (Kent),AHS,Southern,,,51.12865582,0.152661963,,FALSE,,,,,SO_000007,1,1,low,single,,FALSE,TRUE,FALSE,SO_000007,FALSE,,,,,,,,,,,,,,,,multiple
Balcombe,BAB,Southern,['Brighton Main Line'],West Sussex,51.05551334,-0.136932431,,FALSE,False,False,18,0-30,SO_000008,1,1,low,single,,FALSE,TRUE,FALSE,SO_000008,FALSE,,,,,,,,,,,,,,,,single
Balham,BAL,Southern,['Sutton & Metro'],England,51.44322754,-0.152421221,,TRUE,False,False,9,0-30,SO_000009,1,1,low,single,,FALSE,TRUE,FALSE,SO_000009,FALSE,,,,,,,,,,,,,,,,single
Banstead,BAD,Southern,,,51.32934844,-0.213158063,,FALSE,,,,,SO_000010,1,1,low,single,,FALSE,TRUE,FALSE,SO_000010,FALSE,,,,,,,,,,,,,,,,single
Barnham,BAA,Southern,"['West Coastway', 'Arun Valley']",West Sussex,50.83089289,-0.639679689,,TRUE,False,False,27,0-30,SO_000011,1,1,low,single,,FALSE,TRUE,FALSE,SO_000011,FALSE,,,,,,,,,,,,,,,,single
Battersea Park,BAK,Southern,,,51.47733308,-0.148162967,,TRUE,,,,,SO_000012,1,1,low,single,,FALSE,TRUE,FALSE,SO_000012,FALSE,,,,,,,,,,,,,,,,multiple
Belmont,BLM,Southern,,,51.34413926,-0.199487206,,FALSE,,,,,SO_000013,1,1,low,single,,FALSE,TRUE,FALSE,SO_000013,FALSE,,,,,,,,,,,,,,,,single
Berwick (Sussex),BRK,Southern,['East Coastway'],East Sussex,50.84037214,0.166026428,,FALSE,False,False,40.5,30-60,SO_000014,1,1,low,single,,FALSE,TRUE,FALSE,SO_000014,FALSE,,,,,,,,,,,,,,,,multiple
Bexhill,BEX,Southern,['East Coastway'],East Sussex,50.84103549,0.477034087,,FALSE,False,False,76.5,60-120,SO_000015,1,1,low,single,,FALSE,TRUE,FALSE,SO_000015,FALSE,,,,,,,,,,,,,,,,single
Billingshurst,BIG,Southern,,,51.01519557,-0.450295608,,FALSE,,,,,SO_000016,1,1,low,single,,FALSE,TRUE,FALSE,SO_000016,FALSE,,,,,,,,,,,,,,,,single
Birkbeck,BIK,Southern,,,51.40390126,-0.056235874,,TRUE,,,,,SO_000017,1,1,low,single,,FALSE,TRUE,FALSE,SO_000017,FALSE,,,,,,,,,,,,,,,,single
Bishopstone (Sussex),BIP,Southern,,,50.78013589,0.082763046,,FALSE,,,,,SO_000018,1,1,low,single,,FALSE,TRUE,FALSE,SO_000018,FALSE,,,,,,,,,,,,,,,,multiple
Bognor Regis,BOG,Southern,['West Coastway'],,50.78655324,-0.676179036,,TRUE,,False,95,,SO_000019,1,1,low,single,,FALSE,TRUE,FALSE,SO_000019,FALSE,,,,,,,,,,,,,,,,multiple
Bosham,BOH,Southern,['West Coastway'],West Sussex,50.8427348,-0.847436637,,FALSE,False,False,40.5,30-60,SO_000020,1,1,low,single,,FALSE,TRUE,FALSE,SO_000020,FALSE,,,,,,,,,,,,,,,,single
