station_id,station_name
SR001,Angmering
SR002,Ashurst
SR003,Balcombe
SR004,Balham
SR005,Barnham
SR006,Basingstoke
SR007,Bat & Ball
SR008,Battle
SR009,Berwick
SR010,Bexhill
SR011,Blackfriars
SR012,Bognor Regis
SR013,Bosham
SR014,Brighton
SR015,Burgess Hill
SR016,Buxted
SR017,Carshalton
SR018,Chichester
SR019,City Thameslink
SR020,Clapham Junction
SR021,Collington
SR022,Cooden Beach
SR023,Cosham
SR024,Coulsdon South
SR025,Cowden
SR026,Crowborough
SR027,Dorking
SR028,Dorking West
SR029,Dormans
SR030,Dunton Green
SR031,Durrington-on-Sea
SR032,Earlswood
SR033,East Croydon
SR034,East Grinstead
SR035,East Worthing
SR036,Eastbourne
SR037,Edenbridge Town
SR038,Emsworth
SR039,Eridge
SR040,Etchingham
SR041,Eynsford
SR042,Falmer
SR043,Fareham
SR044,Farningham Road
SR045,Farringdon
SR046,Fishbourne
SR047,Ford
SR048,Frant
SR049,Fratton
SR050,Gatwick Airport
SR051,Glynde
SR052,Goring-by-Sea
SR053,Hackbridge
SR054,Hampden Park
SR055,Hassocks
SR056,Hastings
SR057,Havant
SR058,Haywards Heath
SR059,Hedge End
SR060,Hever
SR061,High Brooms
SR062,Hildenborough
SR063,Hilsea
SR064,Holmwood
SR065,Horley
SR066,Horsham
SR067,Hove
SR068,Hurst Green
SR069,Kensington Olympia
SR070,Lancing
SR071,Lewes
SR072,Lingfield
SR073,Littlehampton
SR074,London Bridge
SR075,London Road (Brighton)
SR076,London Victoria
SR077,London Waterloo
SR078,Merstham
SR079,Mitcham Eastfields
SR080,Mitcham Junction
SR081,Moulsecoomb
SR082,Norbury
SR083,Normans Bay
SR084,Ockley
SR085,Otford
SR086,Oxted
SR087,Pevensey & Westham
SR088,Polegate
SR089,Portchester
SR090,Portslade
SR091,Portsmouth & Southsea
SR092,Portsmouth Harbour
SR093,Preston Park
SR094,Purley
SR095,Redhill
SR096,Robertsbridge
SR097,Salfords
SR098,Selhurst
SR099,Sevenoaks
SR100,Shepherds Bush
SR101,Shoreham (Kent)
SR102,Shoreham-by-Sea
SR103,South Croydon
SR104,Southampton Central
SR105,Southbourne
SR106,Southwick
SR107,St Denys
SR108,St Leonards Warrior Square
SR109,St Pancras International
SR110,Stonegate
SR111,Streatham
SR112,Streatham Common
SR113,Streatham Hill
SR114,Sutton
SR115,Swanley
SR116,Swanwick
SR117,Thornton Heath
SR118,Three Bridges
SR119,Tonbridge
SR120,Tulse Hill
SR121,Tunbridge Wells
SR122,Uckfield
SR123,Upper Warlingham
SR124,Wadhurst
SR125,Wallington
SR126,Wandsworth Common
SR127,Warnham
SR128,West Brompton
SR129,West Norwood
SR130,West St Leonards
SR131,West Sutton
SR132,West Worthing
SR133,Whyteleafe
SR134,Winchester
SR135,Wivelsfield
SR136,Woldingham
SR137,Worthing
