crs,terminus
AAP,AAP|ABD|BDI|BDQ|BEV|BTN|CBG|DON|EDB|ELY|FPK|GDH|GLQ|HFN|HGT|HRH|HUL|INV|KGX|KLN|LCN|LDS|LET|MBR|MOG|NCL|PBO|RYS|SEV|SKI|SUN|SVG|WGC|YRK
AAT,INV|KYL
ABA,ABA|CDF|MER
ABC,INV|WCK
ABD,ABD|DEE|DON|EDB|GLQ|INR|INV|KGX|MTS|PLY|PTH
ABE,BGD|BGN|BYI|CDF|PEN|RHY|YSM
ABF,COH
ABH,MCN|PWL
ABW,CHX|CST|DFD|GLM|KTN|LUT|RAI|WHP|XKE
ABX,ABX|HAF|HAY|HWV|MAI|PDX|RDG
ABY,CLY|DAR|GLO|HDF|HUL|LIV|MAN|MIA|NCL|NMC|NOT|RCC|RSH|SCA|SHF|SLB|WKK|YRK
ACB,BHM|BPN|CRE|EDB|EUS|GLC|HAN|INV|LIV|NOT|PRE|STG|XOA
ACC,KWG|SRA|WJH
ACG,BSW|DDG|LMS|SAV|WOF|WOS
ACH,INV|KYL
ACK,CHT|NCL
ACL,GYM|NRW
ACN,INV|KYL
ACR,BBN|BPN|CNE|LDS|PRE|RCD|YRK
ACT,ACT|AHT|BNS|FNH|OXP|QRB|RDZ|SNS|WKM
ACY,ABA|CDF|MER
ADC,MAC|MAN|SOT
ADD,BHI|BHM|COV|NMP|RGL
ADK,HUL|MAN|MIA|NCL|NMC|RCC|SCA|YRK
ADL,BIF|BPN|MIA
ADM,DVP|FAV|XVJ
ADN,ADN|ADS|GLC
ADR,ADR|BHC|BHG|EDB|FTW|GRS|HLC|MLN
ADS,ADS|BDC|GLC
ADV,BNS|BTH|EXD|GIL|NEM|RDG|SAL|WSB|YVJ|YVP
ADW,EDB|GLC
AER,AYW|CMN
AFK,AFK|CBW|CHX|CST|DVP|EBN|FKW|GLM|HGS|MAR|RAM|SPX|TON|XVJ
AFS,AHT|ASN|QRB|SNS|WNR|WOK|WYB
AFV,BPS|PRE
AGL,BHI|BHM|CDF|CRE|CTR|EUS|HHD|LIV|LLD|LLJ|MIA|SHR|WBQ|XOA
AGS,CRS|CUB|DMR|GRS|LRH|MLN|MTH|RUT|WFF
AGT,BOG|BTN|CCH|HAV|LIT|PMS|SOU|WRH|WSW|WWO
AGV,AGV|BIB|CDF|CMN|CRE|CTR|FGH|HFD|HHD|MAN|MFH|PMD
AHD,BAK|BAL|DKG|EAD|GLD|HRH|RAY
AHS,UCK|XSU
AHT,ACT|AHT|AON|FNH|GLD|NEM|QRB|WOK
AHV,ACT|AHT|AON|FNH|NEM|QRB|WOK
AIG,HNX|LVC|OMS|SDL
AIN,HNX|LVC|OMS
AIR,CUB|DMR|HNW|MLN|MTH|XCN
ALB,BHI|BHM|SHR
ALD,ALD|BMH|CDF|CMN|CRE|EUS|FGH|MAN|MFH|PMD|SHR
ALE,BHM|CLE|CRE|CTR|DON|EUS|LIV|LLD|MAN|MCO|MIA|NCL|NOT|NRW|SHF|WAC
ALF,DBY|LDS|LIV|MAN|NOT|NRW|SHF|STP
ALK,BSN|DBY|GRA|LIV|MAN|NOT|NRW|PBO|SHF|SKG
ALM,ABD|BHM|BRI|CDF|CHT|DON|EDB|GLC|GLQ|INV|KGX|NCL|PLY|PNZ
ALN,LST|SMN|WIC
ALO,ALO|GLQ|STG
ALP,CLE|DON|LIV|SCU|SHF
ALR,CLT|COL|LST|WON
ALT,CTR|MAN|SPT
ALV,BHM|FOK|RDC
ALW,BIA|CAR|DAR|MBR|NCL|SLB
ALX,ADR|BHC|DMR|SPR
AMB,CLE|DBY|LCN|MAT|NOT
AMF,LLE|LLV|SHR|SWA
AML,ABX|GFD|GMV|HAF|HAY|HWV|OXF|PAD|PNZ|RDG|SNF|SWA|XOA
AMR,AVP|AYS|MYB
AMS,AMS|SPX
AMT,BDW|NBY|PAD|PNZ|RDG
