station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SR001,Angmering,ANG,,,,50.816704,-0.489559,False,,,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR001,40.5,30-60,False,commuter
SR002,Ashurst,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR002,55.0,,False,commuter
SR002,Balcombe,BAB,,,,51.05624,-0.137881,False,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR002,18.0,0-30,False,inner
SR003,Balham,BAL,,,,51.443169,-0.152403,False,,,,,,,,,,,,,,,2.0,2.0,medium,some,9.0,0-30,4.0,6.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR003,9.0,0-30,False,inner
SR004,Barnham,BAA,,,,50.831135,-0.639627,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,"['West Coastway', 'Arun Valley']",West Coastway,False,True,True,single,False,False,SR004,27.0,0-30,False,outer
SR005,Basingstoke,BSK,,,,51.26804,-1.086896,False,,,,,,,,,,,,,,,1.0,1.0,low,few,44.0,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR005,44.0,30-60,False,commuter
SR006,Bat & Ball,BBL,,,,51.289703,0.194258,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR006,27.0,0-30,False,outer
SR007,Battle,BAT,,,,50.91312,0.495169,False,,,,,,,,,,,,,,,1.0,1.0,low,few,81.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR007,81.0,60-120,False,regional
SR008,Berwick,BRK,,,,50.840569,0.164587,False,,,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR008,40.5,30-60,False,commuter
SR009,Bexhill,BEX,,,,50.840679,0.475678,False,,,,,,,,,,,,,,,1.0,1.0,low,few,76.5,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR009,76.5,60-120,False,regional
SR011,Blackfriars,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,single,False,False,SR011,0.0,,False,inner
SR012,Bognor Regis,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,['West Coastway'],West Coastway,False,True,True,multiple,False,False,SR012,95.0,,False,regional
SR010,Bosham,BOH,,,,50.843262,-0.846655,False,,,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR010,40.5,30-60,False,commuter
SR011,Brighton,BTN,,,,50.829659,-0.141234,True,,,,,,,,,,,,,,,3.0,3.0,medium,some,18.0,0-30,6.0,4.0,"['Brighton Main Line', 'East Coastway', 'West Coastway']",Brighton Main Line,False,True,True,single,True,False,SR011,18.0,0-30,False,inner
SR012,Burgess Hill,BUG,,,,50.953552,-0.127749,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR012,22.5,0-30,False,outer
SR016,Buxted,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR016,75.0,,False,regional
SR013,Carshalton,CSH,,,,51.367859,-0.16693,False,,,,,,,,,,,,,,,1.0,1.0,low,few,45.0,30-60,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR013,45.0,30-60,False,commuter
SR014,Chichester,CCH,,,,50.831821,-0.783032,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR014,31.5,30-60,False,outer
SR019,City Thameslink,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,multiple,False,False,SR019,0.0,,False,inner
SR015,Clapham Junction,CLJ,,,,51.464134,-0.170281,True,,,,,,,,,,,,,,,4.0,4.0,high,many,4.5,0-30,8.0,2.0,"['Brighton Main Line', 'Portsmouth Direct']",Brighton Main Line,False,True,False,multiple,True,False,SR015,4.5,0-30,False,inner
SR016,Collington,CLL,,,,50.839272,0.457142,False,,,,,,,,,,,,,,,1.0,1.0,low,few,72.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR016,72.0,60-120,False,regional
SR017,Cooden Beach,COB,,,,50.83271,0.426969,False,,,,,,,,,,,,,,,1.0,1.0,low,few,67.5,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR017,67.5,60-120,False,regional
SR018,Cosham,CSA,,,,50.841644,-1.068259,False,,,,,,,,,,,,,,,1.0,1.0,low,few,54.0,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR018,54.0,30-60,False,commuter
SR019,Coulsdon South,CDS,,,,51.315231,-0.13746,False,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR019,18.0,0-30,False,inner
