station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Aber,ABE,Transport for Wales,,,51.57496069,-3.229838935,,,,,,,,,,,,,,,,TF_000001
Abercynon,ACY,Transport for Wales,,,51.644706,-3.327000754,,,,,,,,,,,,,,,,TF_000002
Aberdare,ABA,Transport for Wales,,,51.71505747,-3.443099147,,,,,,,,,,,,,,,,TF_000003
Aberdovey,AVY,Transport for Wales,,,52.54397223,-4.057080835,,,,,,,,,,,,,,,,TF_000004
Abererch,ABH,Transport for Wales,,,52.89860046,-4.374195955,,,,,,,,,,,,,,,,TF_000005
Abergavenny,AGV,Transport for Wales,,,51.81669124,-3.009664242,,,,,,,,,,,,,,,,TF_000006
Abergele & Pensarn,AGL,Transport for Wales,,,53.2935,-3.58261,,,,,,,,,,,,,,,,TF_000007
Aberystwyth,AYW,Transport for Wales,,,52.41401,-4.08174,,,,,,,,,,,,,,,,TF_000008
Ammanford,AMF,Transport for Wales,,,51.79597767,-3.996765792,,,,,,,,,,,,,,,,TF_000009
Baglan,BAJ,Transport for Wales,,,51.61456,-3.80971,,,,,,,,,,,,,,,,TF_000010
Bangor (Gwynedd),BNG,Transport for Wales,,,53.22229978,-4.135891358,,,,,,,,,,,,,,,,TF_000011
Bargoed,BGD,Transport for Wales,,,51.69230767,-3.229689376,,,,,,,,,,,,,,,,TF_000012
Barmouth,BRM,Transport for Wales,,,52.72233,-4.05647,,,,,,,,,,,,,,,,TF_000013
Barry,BRY,Transport for Wales,,,51.39678181,-3.284997567,,,,,,,,,,,,,,,,TF_000014
Barry Docks,BYD,Transport for Wales,,,51.40244097,-3.260715837,,,,,,,,,,,,,,,,TF_000015
