station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Acle,ACL,Greater_Anglia,,,52.63470623,1.543930278,,,,,,,,,,,,,,,,GR_000001,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000001,,,,,False,
Alresford (Essex),ALR,Greater_Anglia,,,51.85400474,0.996704746,,,,,,,,,,,,,,,,GR_000002,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000002,,,,,False,
Althorne (Essex),ALN,Greater_Anglia,,,51.64787695,0.752499154,,,,,,,,,,,,,,,,GR_000003,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000003,,,,,False,
Attleborough,ATL,Greater_Anglia,,,52.51426479,1.022679778,,,,,,,,,,,,,,,,GR_000004,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000004,,,,,False,
Audley End,AUD,Greater_Anglia,,,52.00445153,0.2071621,,,,,,,,,,,,,,,,GR_000005,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000005,,,,,False,
Barking,BKG,C2C_GA,,,51.5400412345,0.0807933827,,,,,,,,,,,,,,,,C2_000001,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000001,,,,,False,
Basildon,BSO,C2C_GA,,,51.5681114558,0.4567956956,,,,,,,,,,,,,,,,C2_000002,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000002,,,,,False,
Battlesbridge,BLB,Greater_Anglia,,,51.62486557,0.56580343,,,,,,,,,,,,,,,,GR_000006,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000006,,,,,False,
Beaulieu Park,BPA,Greater_Anglia,,,51.7626912,0.5153919,,,,,,,,,,,,,,,,GR_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000007,,,,,False,
Beccles,BCC,Greater_Anglia,,,52.45854162,1.569508099,,,,,,,,,,,,,,,,GR_000008,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000008,,,,,False,
Benfleet,BEF,C2C_GA,,,51.5439490855,0.561723002,,,,,,,,,,,,,,,,C2_000003,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000003,,,,,False,
Berney Arms,BYA,Greater_Anglia,,,52.58980986,1.630392836,,,,,,,,,,,,,,,,GR_000009,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000009,,,,,False,
Billericay,BIC,Greater_Anglia,,,51.62889045,0.418635763,,,,,,,,,,,,,,,,GR_000010,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000010,,,,,False,
Bishops Stortford,BIS,Greater_Anglia,,,51.86669627,0.164908628,,,,,,,,,,,,,,,,GR_000011,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000011,,,,,False,
Braintree,BTR,Greater_Anglia,,,51.87540511,0.556698654,,,,,,,,,,,,,,,,GR_000012,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000012,,,,,False,
Braintree Freeport,BTP,Greater_Anglia,,,51.86901047,0.567449428,,,,,,,,,,,,,,,,GR_000013,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000013,,,,,False,
Brampton (Suffolk),BRP,Greater_Anglia,,,52.39545244,1.543824133,,,,,,,,,,,,,,,,GR_000014,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000014,,,,,False,
Brandon,BND,Greater_Anglia,,,52.45402845,0.62473398,,,,,,,,,,,,,,,,GR_000015,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000015,,,,,False,
Brimsdown,BMD,Greater_Anglia,,,51.65528087,-0.03103974,,,,,,,,,,,,,,,,GR_000016,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000016,,,,,False,
Broxbourne,BXB,Greater_Anglia,,,51.74691233,-0.011077941,,,,,,,,,,,,,,,,GR_000017,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000017,,,,,False,
Brundall,BDA,Greater_Anglia,,,52.61980542,1.439275107,,,,,,,,,,,,,,,,GR_000018,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000018,,,,,False,
Brundall Gardens,BGA,Greater_Anglia,,,52.62309579,1.418842092,,,,,,,,,,,,,,,,GR_000019,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000019,,,,,False,
Buckenham,BUC,Greater_Anglia,,,52.59776177,1.47033814,,,,,,,,,,,,,,,,GR_000020,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000020,,,,,False,
Bures,BUE,Greater_Anglia,,,51.97099242,0.769005125,,,,,,,,,,,,,,,,GR_000021,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000021,,,,,False,
Burnham-on-Crouch,BUU,Greater_Anglia,,,51.83777485955504,2.3081857979999976,,,,,,,,,,,,,,,,GR_000022,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000022,,,,,False,
Bury St Edmunds,BSE,Greater_Anglia,,,52.25377846,0.713310161,,,,,,,,,,,,,,,,GR_000023,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000023,,,,,False,
Cambridge,CBG,Greater_Anglia,,,52.1945746,0.137554552,,,,,,,,,,,,,,,,GR_000024,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000024,,,,,False,
Cambridge North,CMB,Greater_Anglia,,,52.223,0.1577,,,,,,,,,,,,,,,,GR_000025,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000025,,,,,False,
Cambridge South,CMS,Greater_Anglia,,,52.1742564489718,0.1315267202389906,,,,,,,,,,,,,,,,GR_000026,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000026,,,,,False,
Cantley,CNY,Greater_Anglia,,,52.57877082,1.513426069,,,,,,,,,,,,,,,,GR_000027,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000027,,,,,False,
Chafford Hundred Lakeside,CFH,C2C_GA,,,51.485645362,0.2872366517,,,,,,,,,,,,,,,,C2_000004,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000004,,,,,False,
Chalkwell,CHW,C2C_GA,,,51.538722717,0.6706052576,,,,,,,,,,,,,,,,C2_000005,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000005,,,,,False,
Chappel & Wakes Colne,CWC,Greater_Anglia,,,51.92592031,0.758518905,,,,,,,,,,,,,,,,GR_000028,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000028,,,,,False,
Chelmsford,CHM,Greater_Anglia,,,51.73638236,0.468580339,,,,,,,,,,,,,,,,GR_000029,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000029,,,,,False,
Cheshunt,CHN,Greater_Anglia,,,51.70287691,-0.023951585,,,,,,,,,,,,,,,,GR_000030,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000030,,,,,False,
Clacton-on-Sea,CLT,Greater_Anglia,,,51.79401273,1.154105287,,,,,,,,,,,,,,,,GR_000031,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000031,,,,,False,
Colchester,COL,Greater_Anglia,,,51.90061619,0.89347015,,,,,,,,,,,,,,,,GR_000032,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000032,,,,,False,
Colchester Town,CET,Greater_Anglia,,,51.8865294,0.904148555,,,,,,,,,,,,,,,,GR_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000033,,,,,False,
Cressing (Essex),CES,Greater_Anglia,,,51.85234942,0.577973167,,,,,,,,,,,,,,,,GR_000034,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000034,,,,,False,
