station_id,station_name,crs,route,terminus,interchange,paddington_minutes,latitude,longitude,country,distance_from_paddington_km,distance_band,coastal,zone,county
STN_appleford,Appleford,APF,Oxford & Hereford Line,FALSE,FALSE,45,51.639562,-1.242375,england,75,regional,FALSE,Cotswolds,Oxfordshire
STN_ascott_under_wychwood,Ascott-under-Wychwood,AUW,Oxford & Hereford Line,FALSE,FALSE,80,51.867376,-1.564136,england,103.4,regional,FALSE,Cotswolds,Oxfordshire
STN_avonmouth,Avonmouth,AVN,Severn Beach Line,FALSE,FALSE,106,51.500194,-2.699332,england,174.6,long,TRUE,Bristol,Bristol
STN_barnstaple,Barnstaple,BNP,Tarka Line,TRUE,FALSE,185,51.073532,-4.064032,england,274.7,long,FALSE,Devon,Devon
STN_basingstoke,Basingstoke,BSK,Reading-Basingstoke Line,TRUE,FALSE,45,51.26804,-1.086896,england,68.9,regional,FALSE,Thames Valley,Hampshire
STN_bath_spa,Bath Spa,BTH,Great Western Main Line,FALSE,FALSE,75,51.378059,-2.356302,england,151.9,long,FALSE,Thames Valley,Somerset
STN_bere_alston,Bere Alston,BAS,Tamar Valley Line,FALSE,FALSE,220,50.485535,-4.200418,england,304,remote,FALSE,Cornwall,Cornwall
STN_bere_ferrers,Bere Ferrers,BFE,Tamar Valley Line,FALSE,FALSE,215,50.450798,-4.181901,england,304.3,remote,FALSE,Cornwall,Cornwall
STN_bodmin_parkway,Bodmin Parkway,BOD,Great Western Main Line,FALSE,FALSE,225,50.445822,-4.663026,england,335.8,remote,FALSE,Thames Valley,Cornwall
STN_bourne_end,Bourne End,BNE,Marlow Branch,FALSE,FALSE,45,51.576538,-0.711287,england,37.7,local,FALSE,Thames Valley,Buckinghamshire
STN_bramley,Bramley,BMY,Reading-Basingstoke Line,FALSE,FALSE,50,51.32988,-1.061265,england,64.8,regional,FALSE,Thames Valley,Hampshire
STN_bridgend,Bridgend,BGN,South Wales Main Line,FALSE,FALSE,120,51.506481,-3.576296,wales,235.3,long,FALSE,South Wales,South Wales
STN_bridgwater,Bridgwater,BWT,Great Western Main Line,FALSE,FALSE,120,51.128025,-2.99031,england,200.3,long,FALSE,Thames Valley,Somerset
STN_bristol_parkway,Bristol Parkway,BPW,South Wales Main Line,FALSE,TRUE,80,51.514061,-2.53461,england,163.2,long,FALSE,South Wales,Bristol
STN_bristol_temple_meads,Bristol Temple Meads,BRI,Great Western Main Line,FALSE,TRUE,85,51.449093,-2.581349,england,166.7,long,FALSE,Thames Valley,Bristol
STN_bugle,Bugle,BGL,Atlantic Coast Line,FALSE,FALSE,250,50.399979,-4.791736,england,346.2,remote,FALSE,Cornwall,Cornwall
STN_burnham,Burnham,BNM,Great Western Main Line,FALSE,FALSE,25,51.523538,-0.647335,england,32.6,local,FALSE,Thames Valley,Berkshire
STN_calstock,Calstock,CSK,Tamar Valley Line,FALSE,FALSE,223,50.497487,-4.208665,england,304,remote,FALSE,Cornwall,Cornwall
STN_camborne,Camborne,CBN,Great Western Main Line,FALSE,FALSE,275,50.210392,-5.297921,england,387.6,remote,FALSE,Thames Valley,Cornwall
STN_carbis_bay,Carbis Bay,CBB,St Ives Bay Line,FALSE,FALSE,305,50.19746,-5.463815,england,398.9,remote,TRUE,,Cornwall
STN_cardiff_central,Cardiff Central,CDF,South Wales Main Line,FALSE,TRUE,110,51.475193,-3.177794,wales,207.9,long,FALSE,South Wales,South Wales
STN_carmarthen,Carmarthen,CMN,South Wales Main Line,TRUE,FALSE,180,51.853233,-4.305732,wales,287.1,long,FALSE,South Wales,South Wales
STN_castle_bar_park,Castle Bar Park,CBP,Greenford Branch,FALSE,FALSE,14,51.522865,-0.331575,england,10.8,local,FALSE,London,Greater London
STN_causeland,Causeland,CAU,Looe Valley Line,FALSE,FALSE,228,50.405525,-4.466937,england,324.8,remote,FALSE,,Cornwall
STN_chapleton,Chapleton,CPN,Tarka Line,FALSE,FALSE,183,51.01577,-4.024398,england,273.4,long,FALSE,Devon,Devon
STN_charlbury,Charlbury,CBY,Oxford & Hereford Line,FALSE,FALSE,75,51.872929,-1.490133,england,98.9,regional,FALSE,Cotswolds,Oxfordshire
STN_chippenham,Chippenham,CPM,Great Western Main Line,FALSE,FALSE,65,51.462162,-2.115123,england,134.4,regional,FALSE,Thames Valley,Wiltshire
