station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Alexandra Palace,AAP,Great_Northern,,,51.59829,-0.12014,,,,,,,,,,,,,,,,GR_000001,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000001,,,,,False,
Arlesey,ARL,Great_Northern,,,52.02604,-0.26632,,,,,,,,,,,,,,,,GR_000002,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000002,,,,,False,
Ashwell & Morden,AWM,Great_Northern,,,52.03078,-0.10978,,,,,,,,,,,,,,,,GR_000003,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000003,,,,,False,
Baldock,BDK,Great_Northern,,,51.99288,-0.18756,,,,,,,,,,,,,,,,GR_000004,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000004,,,,,False,
Bayford,BAY,Great_Northern,,,51.75772,-0.0956,,,,,,,,,,,,,,,,GR_000005,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000005,,,,,False,
Biggleswade,BIW,Great_Northern,,,52.08469,-0.26118,,,,,,,,,,,,,,,,GR_000006,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000006,,,,,False,
Bowes Park,BOP,Great_Northern,,,51.60728,-0.11977,,,,,,,,,,,,,,,,GR_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000007,,,,,False,
Brookmans Park,BPK,Great_Northern,,,51.72106,-0.20455,,,,,,,,,,,,,,,,GR_000008,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000008,,,,,False,
Crews Hill,CWH,Great_Northern,,,51.68449,-0.10688,,,,,,,,,,,,,,,,GR_000009,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000009,,,,,False,
Cuffley,CUF,Great_Northern,,,51.70872,-0.10978,,,,,,,,,,,,,,,,GR_000010,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000010,,,,,False,
Downham Market,DOW,Great_Northern,,,52.60413,0.365691,,,,,,,,,,,,,,,,GR_000011,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000011,,,,,False,
Drayton Park,DYP,Great_Northern,,,51.55309,-0.10571,,,,,,,,,,,,,,,,GR_000012,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000012,,,,,False,
Enfield Chase,ENC,Great_Northern,,,51.65276,-0.09071,,,,,,,,,,,,,,,,GR_000013,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000013,,,,,False,
Essex Road,EXR,Great_Northern,,,51.54071,-0.09627,,,,,,,,,,,,,,,,GR_000014,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000014,,,,,False,
Finsbury Park,FPK,Great_Northern,,,51.56478,-0.10565,,,,,,,,,,,,,,,,GR_000015,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000015,,,,,False,
Foxton,FXN,Great_Northern,,,52.11913,0.056536,,,,,,,,,,,,,,,,GR_000016,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000016,,,,,False,
Gordon Hill,GDH,Great_Northern,,,51.66352,-0.09431,,,,,,,,,,,,,,,,GR_000017,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000017,,,,,False,
Grange Park,GPK,Great_Northern,,,51.64262,-0.09735,,,,,,,,,,,,,,,,GR_000018,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000018,,,,,False,
Hadley Wood,HDW,Great_Northern,,,51.66841,-0.17653,,,,,,,,,,,,,,,,GR_000019,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000019,,,,,False,
Harringay,HGY,Great_Northern,,,51.57737,-0.10513,,,,,,,,,,,,,,,,GR_000020,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000020,,,,,False,
Hatfield (Herts),HAT,Great_Northern,,,51.76388,-0.21559,,,,,,,,,,,,,,,,GR_000021,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000021,,,,,False,
Hertford North,HFN,Great_Northern,,,51.79886,-0.09178,,,,,,,,,,,,,,,,GR_000022,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000022,,,,,False,
Hitchin,HIT,Great_Northern,,,51.95329,-0.26348,,,,,,,,,,,,,,,,GR_000023,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000023,,,,,False,
Hornsey,HRN,Great_Northern,,,51.58647,-0.11197,,,,,,,,,,,,,,,,GR_000024,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000024,,,,,False,
Huntingdon,HUN,Great_Northern,,,52.32866,-0.19206,,,,,,,,,,,,,,,,GR_000025,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000025,,,,,False,
Kings Lynn,KLN,Great_Northern,,,52.75381,0.403525,,,,,,,,,,,,,,,,GR_000026,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000026,,,,,False,
Knebworth,KBW,Great_Northern,,,51.86686,-0.18728,,,,,,,,,,,,,,,,GR_000027,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000027,,,,,False,
Letchworth Garden City,LET,Great_Northern,,,51.97997,-0.22926,,,,,,,,,,,,,,,,GR_000028,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000028,,,,,False,
Littleport,LTP,Great_Northern,,,52.4624,0.316567,,,,,,,,,,,,,,,,GR_000029,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000029,,,,,False,
Meldreth,MEL,Great_Northern,,,52.09073,0.008953,,,,,,,,,,,,,,,,GR_000030,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000030,,,,,False,
New Barnet,NBA,Great_Northern,,,51.64857,-0.17299,,,,,,,,,,,,,,,,GR_000031,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000031,,,,,False,
New Southgate,NSG,Great_Northern,,,51.61412,-0.14303,,,,,,,,,,,,,,,,GR_000032,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000032,,,,,False,
Oakleigh Park,OKL,Great_Northern,,,51.63769,-0.16621,,,,,,,,,,,,,,,,GR_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000033,,,,,False,
Palmers Green,PAL,Great_Northern,,,51.61882,-0.11034,,,,,,,,,,,,,,,,GR_000034,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000034,,,,,False,
Potters Bar,PBR,Great_Northern,,,51.69729,-0.19236,,,,,,,,,,,,,,,,GR_000035,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000035,,,,,False,
