station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Acton Bridge (Cheshire),ACB,London_Northwestern,,,53.26598504,-2.60266626,,,,,,,,,,,,,,,,LO_000001,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000001,,,,,False,
Apsley,APS,London_Northwestern,,,51.73252418,-0.462924369,,,,,,,,,,,,,,,,LO_000002,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000002,,,,,False,
Aspley Guise,APG,London_Northwestern,,,52.02124786,-0.632327027,,,,,,,,,,,,,,,,LO_000003,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000003,,,,,False,
Atherstone,ATH,London_Northwestern,,,52.5789821,-1.552812353,,,,,,,,,,,,,,,,LO_000004,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000004,,,,,False,
Bedford St Johns,BSJ,London_Northwestern,,,52.12949203,-0.467502781,,,,,,,,,,,,,,,,LO_000005,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000005,,,,,False,
Berkhamsted,BKM,London_Northwestern,,,51.76313738,-0.562005134,,,,,,,,,,,,,,,,LO_000006,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000006,,,,,False,
Bletchley,BLY,London_Northwestern,,,51.99534498,-0.736316135,,,,,,,,,,,,,,,,LO_000007,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000007,,,,,False,
Bow Brickhill,BWB,London_Northwestern,,,52.00431141,-0.696072267,,,,,,,,,,,,,,,,LO_000008,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000008,,,,,False,
Bricket Wood,BWO,London_Northwestern,,,51.70542949,-0.359116315,,,,,,,,,,,,,,,,LO_000009,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000009,,,,,False,
Cheddington,CED,London_Northwestern,,,51.85792469,-0.662146256,,,,,,,,,,,,,,,,LO_000010,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000010,,,,,False,
Fenny Stratford,FEN,London_Northwestern,,,51.99989996,-0.717672768,,,,,,,,,,,,,,,,LO_000011,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000011,,,,,False,
Garston (Hertfordshire),GSN,London_Northwestern,,,51.68672373,-0.381667092,,,,,,,,,,,,,,,,LO_000012,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000012,,,,,False,
Hartford (Cheshire),HTF,London_Northwestern,,,53.24177232,-2.553625248,,,,,,,,,,,,,,,,LO_000013,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000013,,,,,False,
Hemel Hempstead,HML,London_Northwestern,,,51.74233574,-0.490764101,,,,,,,,,,,,,,,,LO_000014,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000014,,,,,False,
How Wood (Hertfordshire),HWW,London_Northwestern,,,51.71774404,-0.344671247,,,,,,,,,,,,,,,,LO_000015,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000015,,,,,False,
Kempston Hardwick,KMH,London_Northwestern,,,52.09223124,-0.503916852,,,,,,,,,,,,,,,,LO_000016,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000016,,,,,False,
Kings Langley,KGL,London_Northwestern,,,51.70635749,-0.438410982,,,,,,,,,,,,,,,,LO_000017,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000017,,,,,False,
Leighton Buzzard,LBZ,London_Northwestern,,,51.91631391,-0.677001817,,,,,,,,,,,,,,,,LO_000018,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000018,,,,,False,
Lidlington,LID,London_Northwestern,,,52.04154787,-0.558918711,,,,,,,,,,,,,,,,LO_000019,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000019,,,,,False,
Long Buckby,LBK,London_Northwestern,,,52.29472704,-1.08647082,,,,,,,,,,,,,,,,LO_000020,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000020,,,,,False,
Millbrook (Bedfordshire),MLB,London_Northwestern,,,52.05384836,-0.532692607,,,,,,,,,,,,,,,,LO_000021,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000021,,,,,False,
Milton Keynes Central,MKC,London_Northwestern,,,52.03429998,-0.774142566,,,,,,,,,,,,,,,,LO_000022,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000022,,,,,False,
Northampton,NMP,London_Northwestern,,,52.23750925,-0.906652319,,,,,,,,,,,,,,,,LO_000023,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000023,,,,,False,
Nuneaton,NUN,London_Northwestern,,,52.52638876,-1.463873901,,,,,,,,,,,,,,,,LO_000024,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000024,,,,,False,
Park Street,PKT,London_Northwestern,,,51.72546034,-0.340277192,,,,,,,,,,,,,,,,LO_000025,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000025,,,,,False,
Polesworth,PSW,London_Northwestern,,,52.6259325,-1.609950777,,,,,,,,,,,,,,,,LO_000026,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000026,,,,,False,
Ridgmont,RID,London_Northwestern,,,52.02641391,-0.594548449,,,,,,,,,,,,,,,,LO_000027,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000027,,,,,False,
St Albans Abbey,SAA,London_Northwestern,,,51.74473607,-0.342569292,,,,,,,,,,,,,,,,LO_000028,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000028,,,,,False,
Stewartby,SWR,London_Northwestern,,,52.06909177,-0.520681291,,,,,,,,,,,,,,,,LO_000029,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000029,,,,,False,
Tamworth,TAM,London_Northwestern,,,52.63712963,-1.687269406,,,,,,,,,,,,,,,,LO_000030,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000030,,,,,False,
Tring,TRI,London_Northwestern,,,51.8007459,-0.622433028,,,,,,,,,,,,,,,,LO_000031,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000031,,,,,False,
Watford Junction,WFJ,London_Northwestern,,,51.66352959,-0.396519634,,,,,,,,,,,,,,,,LO_000032,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000032,,,,,False,
Watford North,WFN,London_Northwestern,,,51.67570486,-0.389928129,,,,,,,,,,,,,,,,LO_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000033,,,,,False,
Wedgwood,WED,London_Northwestern,,,52.95106237,-2.17082355,,,,,,,,,,,,,,,,LO_000034,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000034,,,,,False,
Winsford,WSF,London_Northwestern,,,53.1905328,-2.494593885,,,,,,,,,,,,,,,,LO_000035,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000035,,,,,False,
Woburn Sands,WOB,London_Northwestern,,,52.01816252,-0.654077198,,,,,,,,,,,,,,,,LO_000036,[nan],1,1,low,single,,False,False,multiple,False,True,False,LO_000036,,,,,False,
Wolverton,WOL,London_Northwestern,,,52.06589044,-0.804264138,,,,,,,,,,,,,,,,LO_000037,[nan],1,1,low,single,,False,False,single,False,True,False,LO_000037,,,,,False,
