station_id,network,route_station_id,crs,station_name,route_group
uk_000122,c2c,CT0001,FST,London Fenchurch Street,
uk_000134,c2c,CT0002,LHS,Limehouse,
uk_000158,c2c,CT0003,WEH,West Ham,
uk_000109,c2c,CT0004,BKG,Barking,
uk_000156,c2c,CT0005,UPM,Upminster,
uk_000119,c2c,CT0006,EMP,Emerson Park,
uk_000144,c2c,CT0007,RMF,Romford,
uk_000117,c2c,CT0008,DDK,Dagenham Dock,
uk_000146,c2c,CT0009,RNM,Rainham,
uk_000142,c2c,CT0010,PFL,Purfleet,
uk_000113,c2c,CT0011,CFH,Chafford Hundred Lakeside,
uk_000141,c2c,CT0012,OCK,Ockendon,
uk_000125,c2c,CT0013,GRY,Grays,
uk_000154,c2c,CT0014,TIL,Tilbury Town,
uk_000120,c2c,CT0015,ETL,East Tilbury,
uk_000147,c2c,CT0016,SFO,Stanford-le-Hope,
uk_000143,c2c,CT0017,PSE,Pitsea,
uk_000111,c2c,CT0018,BSO,Basildon,
uk_000132,c2c,CT0019,LAI,Laindon,
uk_000108,c2c,CT0020,BEF,Benfleet,
uk_000133,c2c,CT0021,LES,Leigh-on-Sea,
uk_000115,c2c,CT0022,CHW,Chalkwell,
uk_000157,c2c,CT0023,WCF,Westcliff,
uk_000150,c2c,CT0024,SOC,Southend Central,
uk_000155,c2c,CT0025,TPB,Thorpe Bay,
uk_000152,c2c,CT0026,SRY,Shoeburyness,
uk_000677,GWR,GW0001,AMT,Aldermaston,
uk_000514,GWR,GW0002,APF,Appleford,
uk_000515,GWR,GW0003,AUW,Ascott-under-Wychwood,
uk_000692,GWR,GW0004,AVF,Avoncliff,
uk_000516,GWR,GW0005,AVN,Avonmouth,
uk_000517,GWR,GW0006,BNP,Barnstaple,
uk_000005,GWR,GW0007,BSK,Basingstoke,
uk_000519,GWR,GW0008,BTH,Bath Spa,
uk_000684,GWR,GW0009,BDW,Bedwyn,
uk_000520,GWR,GW0010,BAS,Bere Alston,
uk_000521,GWR,GW0011,BFE,Bere Ferrers,
uk_000522,GWR,GW0012,BOD,Bodmin Parkway,
uk_000523,GWR,GW0013,BNE,Bourne End,
uk_000690,GWR,GW0014,BOA,Bradford-on-Avon,
uk_000524,GWR,GW0015,BMY,Bramley,
uk_000525,GWR,GW0016,BGN,Bridgend,
uk_000526,GWR,GW0017,BWT,Bridgwater,
uk_000527,GWR,GW0018,BPW,Bristol Parkway,
uk_000528,GWR,GW0019,BRI,Bristol Temple Meads,
uk_000695,GWR,GW0020,BRU,Bruton,
uk_000529,GWR,GW0021,BGL,Bugle,
uk_000530,GWR,GW0022,BNM,Burnham,
uk_000531,GWR,GW0023,CSK,Calstock,
uk_000532,GWR,GW0024,CBN,Camborne,
uk_000533,GWR,GW0025,CBB,Carbis Bay,
uk_000534,GWR,GW0026,CDF,Cardiff Central,
uk_000535,GWR,GW0027,CMN,Carmarthen,
uk_000536,GWR,GW0028,CBP,Castle Bar Park,
uk_000696,GWR,GW0029,CLC,Castle Cary,
uk_000537,GWR,GW0030,CAU,Causeland,
uk_000538,GWR,GW0031,CPN,Chapleton,
uk_000539,GWR,GW0032,CBY,Charlbury,
uk_000700,GWR,GW0033,CNO,Chetnole,
uk_000540,GWR,GW0034,CPM,Chippenham,
uk_000541,GWR,GW0035,CHO,Cholsey,
uk_000542,GWR,GW0036,CFN,Clifton Down,
uk_000307,GWR,GW0037,CWL,Colwall,
uk_000544,GWR,GW0038,CME,Combe,
uk_000545,GWR,GW0039,COO,Cookham,
uk_000546,GWR,GW0040,COE,Coombe Junction Halt,
uk_000547,GWR,GW0041,COP,Copplestone,
uk_000548,GWR,GW0042,CDI,Crediton,
uk_000549,GWR,GW0043,CUM,Culham,
uk_000550,GWR,GW0044,DWL,Dawlish,
uk_000551,GWR,GW0045,DWW,Dawlish Warren,
uk_000552,GWR,GW0046,DID,Didcot Parkway,
uk_000553,GWR,GW0047,DIG,Digby & Sowton,
uk_000687,GWR,GW0048,DMH,Dilton Marsh,
uk_000702,GWR,GW0049,DCW,Dorchester West,
uk_000554,GWR,GW0050,DRG,Drayton Green,
uk_000555,GWR,GW0051,EAL,Ealing Broadway,
uk_000556,GWR,GW0052,EGG,Eggesford,
uk_000557,GWR,GW0053,EVE,Evesham,
uk_000558,GWR,GW0054,EXC,Exeter Central,
uk_000559,GWR,GW0055,EXD,Exeter St Davids,
uk_000560,GWR,GW0056,EXM,Exmouth,
uk_000561,GWR,GW0057,EXN,Exton,
uk_000562,GWR,GW0058,FAL,Falmouth Docks,
uk_000563,GWR,GW0059,FMT,Falmouth Town,
uk_000564,GWR,GW0060,FYS,Ferryside,
uk_000565,GWR,GW0061,FIN,Finstock,
uk_000691,GWR,GW0062,FFD,Freshford,
uk_000694,GWR,GW0063,FRO,Frome,
uk_000566,GWR,GW0064,FZP,Furze Platt,
uk_000567,GWR,GW0065,GOR,Goring & Streatley,
uk_000306,GWR,GW0066,GMV,Great Malvern,
uk_000569,GWR,GW0067,GFD,Greenford,
uk_000570,GWR,GW0068,GSL,Gunnislake,
uk_000571,GWR,GW0069,HND,Hanborough,
uk_000572,GWR,GW0070,HAY,Hayes & Harlington,
uk_000573,GWR,GW0071,HYL,Hayle,
uk_000574,GWR,GW0072,HOT,Henley-on-Thames,
uk_000309,GWR,GW0073,HFD,Hereford,
uk_000576,GWR,GW0074,HIG,Highbridge & Burnham,
uk_000577,GWR,GW0075,HYB,Honeybourne,
