route_id,pattern_id
R00001,SP000001
R00002,SP000002
R00002,SP000190
R00002,SP002971
R00002,SP002987
R00002,SP003027
R00003,SP000003
R00003,SP000019
R00003,SP000779
R00003,SP001023
R00004,SP000004
R00004,SP000035
R00004,SP000059
R00004,SP000061
R00004,SP000081
R00004,SP000088
R00004,SP000117
R00004,SP000124
R00004,SP000168
R00004,SP000199
R00004,SP000227
R00004,SP000248
R00004,SP000298
R00004,SP000305
R00004,SP000313
R00004,SP000328
R00004,SP000552
R00004,SP001643
R00004,SP002429
R00004,SP002777
R00004,SP002783
R00004,SP003198
R00004,SP003867
R00004,SP004114
R00004,SP004157
R00004,SP004185
R00004,SP004191
R00004,SP004257
R00004,SP004445
R00004,SP004479
R00004,SP004626
R00004,SP004639
R00004,SP004641
R00005,SP000005
R00006,SP000006
R00006,SP000015
R00007,SP000007
R00008,SP000008
R00008,SP000634
R00009,SP000009
R00010,SP000010
R00010,SP002204
R00011,SP000011
R00012,SP000012
R00012,SP000056
R00012,SP000120
R00012,SP000206
R00012,SP000679
R00012,SP000689
R00012,SP004149
R00012,SP004560
R00012,SP004636
R00013,SP000013
R00014,SP000014
R00014,SP000021
R00014,SP000031
R00014,SP000039
R00014,SP000337
R00014,SP000349
R00014,SP000413
R00014,SP000477
R00014,SP000659
R00014,SP000668
R00014,SP000670
R00014,SP001044
R00014,SP001137
R00014,SP001138
R00014,SP001883
R00014,SP001892
R00014,SP002537
R00014,SP002807
R00014,SP002976
R00014,SP003387
R00014,SP003400
R00014,SP004546
R00014,SP004547
R00014,SP004549
R00014,SP004551
R00015,SP000016
R00016,SP000017
R00016,SP000627
R00017,SP000018
R00017,SP000024
R00018,SP000020
R00019,SP000022
R00020,SP000023
R00020,SP000780
R00020,SP001020
R00020,SP003630
R00020,SP004580
R00021,SP000025
R00021,SP001701
R00022,SP000026
R00023,SP000027
R00023,SP000118
R00023,SP001526
R00023,SP003482
R00023,SP004105
R00024,SP000028
R00025,SP000029
R00026,SP000030
R00027,SP000032
R00027,SP002048
R00027,SP002547
R00027,SP003407
R00028,SP000033
R00028,SP000522
R00028,SP000531
R00028,SP003494
R00029,SP000034
R00029,SP001577
R00029,SP001704
R00030,SP000036
R00031,SP000037
R00032,SP000038
R00033,SP000040
R00033,SP000045
R00033,SP000073
R00033,SP004152
R00033,SP004488
R00033,SP004633
R00033,SP004643
R00034,SP000041
R00034,SP000044
R00034,SP000048
R00034,SP000094
R00034,SP000096
R00034,SP000099
R00034,SP000105
R00034,SP000106
R00034,SP000129
R00034,SP000184
R00034,SP000198
R00034,SP000326
R00034,SP000364
R00034,SP000462
R00034,SP000581
R00034,SP000651
R00034,SP000801
R00034,SP000835
R00034,SP000840
R00034,SP000848
R00034,SP000858
R00034,SP000862
R00034,SP001654
R00034,SP001823
R00034,SP001838
R00034,SP001939
R00034,SP002174
R00034,SP002183
R00034,SP002209
R00034,SP002216
R00034,SP002711
R00034,SP003385
R00034,SP003417
R00034,SP003420
R00034,SP003428
R00034,SP003429
R00034,SP003434
R00034,SP003440
R00034,SP003448
R00034,SP003480
R00034,SP003666
R00034,SP003788
R00034,SP004186
R00034,SP004248
R00034,SP004338
R00034,SP004416
R00034,SP004476
R00034,SP004599
R00035,SP000042
R00035,SP004617
R00035,SP004619
R00036,SP000043
R00036,SP000645
R00036,SP004180
R00037,SP000046
R00037,SP000196
R00037,SP001479
R00038,SP000047
R00038,SP000234
R00038,SP002642
R00038,SP003839
R00038,SP003966
R00038,SP004470
R00039,SP000049
R00039,SP000194
R00039,SP000605
R00039,SP000607
R00039,SP000667
R00039,SP004609
R00040,SP000050
R00040,SP003932
R00040,SP003934
R00041,SP000051
R00041,SP000114
R00041,SP004163
R00042,SP000052
R00042,SP000617
R00042,SP001449
R00042,SP002329
R00042,SP003402
R00043,SP000053
R00043,SP000998
R00043,SP001162
R00043,SP002968
R00043,SP003547
R00044,SP000054
R00044,SP000063
R00044,SP000108
R00044,SP000154
R00044,SP000174
R00045,SP000055
R00045,SP001531
R00046,SP000057
R00046,SP000071
R00046,SP000170
R00046,SP004099
R00046,SP004555
R00046,SP004566
R00047,SP000058
R00048,SP000060
R00048,SP003757
R00048,SP003767
R00049,SP000062
R00050,SP000064
R00051,SP000065
R00051,SP002274
R00051,SP003064
R00051,SP004122
R00051,SP004553
R00052,SP000066
R00053,SP000067
R00053,SP000576
R00053,SP000644
R00053,SP000655
R00053,SP004174
R00053,SP004634
R00053,SP004645
R00054,SP000068
R00055,SP000069
R00055,SP003486
R00056,SP000070
R00056,SP000077
R00056,SP000195
R00056,SP000212
R00056,SP000266
R00056,SP000392
R00056,SP000398
R00056,SP000401
R00056,SP000533
R00056,SP000868
R00056,SP000882
R00056,SP000885
R00056,SP000892
R00056,SP001313
R00056,SP001327
R00056,SP001329
R00056,SP001343
R00056,SP001346
R00056,SP001451
R00056,SP001454
R00056,SP001807
R00056,SP002179
R00056,SP002202
R00056,SP002261
R00056,SP002647
R00056,SP002655
R00056,SP002872
R00056,SP003031
R00056,SP003036
R00056,SP003114
R00056,SP003191
R00056,SP003207
R00056,SP003300
R00056,SP003360
R00056,SP003475
R00056,SP003568
R00056,SP003958
R00056,SP004012
R00056,SP004017
R00056,SP004025
R00056,SP004034
R00056,SP004036
R00056,SP004111
R00056,SP004131
R00056,SP004188
R00056,SP004207
R00056,SP004232
R00056,SP004384
R00056,SP004399
R00056,SP004433
R00056,SP004516
R00056,SP004529
R00057,SP000072
R00057,SP001252
R00058,SP000074
R00058,SP000076
R00058,SP001786
R00058,SP002133
R00058,SP002825
R00058,SP004583
R00059,SP000075
R00059,SP000579
R00059,SP001775
R00059,SP002341
R00060,SP000078
R00060,SP000145
R00061,SP000079
R00062,SP000080
R00062,SP000085
R00062,SP000089
R00062,SP000109
R00062,SP000113
R00062,SP001826
R00062,SP002454
R00062,SP003537
R00063,SP000082
R00063,SP000086
R00063,SP000091
R00063,SP000093
R00063,SP000121
R00063,SP000126
R00063,SP000128
R00063,SP000133
R00063,SP000750
R00063,SP001354
R00063,SP001360
R00063,SP001362
R00063,SP001365
R00063,SP001366
R00063,SP001875
R00063,SP002673
R00063,SP003089
R00063,SP003115
R00063,SP003496
R00063,SP003657
R00063,SP004143
R00063,SP004261
R00063,SP004268
R00063,SP004269
R00064,SP000083
R00064,SP001871
R00064,SP003095
R00065,SP000084
R00066,SP000087
R00067,SP000090
R00068,SP000092
R00069,SP000095
R00069,SP000428
R00069,SP000431
R00069,SP003734
R00070,SP000097
R00070,SP000101
R00070,SP002109
R00070,SP002497
R00070,SP002568
R00070,SP004514
R00071,SP000098
R00071,SP002824
R00071,SP003468
R00072,SP000100
R00072,SP000226
R00072,SP000555
R00072,SP000609
R00072,SP002430
R00073,SP000102
R00073,SP000107
R00073,SP000450
R00073,SP000521
R00073,SP000529
R00073,SP000698
R00073,SP000700
R00073,SP000799
R00073,SP000920
R00073,SP000930
R00073,SP000950
R00073,SP000952
R00073,SP000958
R00073,SP000999
R00073,SP001003
R00073,SP001007
R00073,SP001047
R00073,SP001120
R00073,SP001594
R00073,SP001727
R00073,SP001880
R00073,SP002020
R00073,SP002363
R00073,SP002914
R00073,SP002953
R00073,SP003540
R00073,SP003600
R00073,SP003669
R00074,SP000103
R00074,SP002306
R00074,SP002883
R00075,SP000104
R00075,SP001311
R00076,SP000110
R00076,SP000588
R00076,SP001310
R00076,SP001623
R00076,SP001677
R00076,SP003020
R00077,SP000111
R00077,SP001609
R00077,SP002857
R00077,SP002858
R00077,SP003485
R00077,SP003488
R00077,SP003492
R00077,SP003590
R00077,SP003617
R00077,SP003676
R00077,SP003678
R00077,SP003686
R00077,SP003692
R00077,SP004209
R00077,SP004565
R00078,SP000112
R00078,SP001872
R00078,SP003665
R00079,SP000115
R00079,SP000131
R00079,SP000982
R00079,SP001665
R00079,SP002289
R00079,SP002797
R00079,SP002803
R00080,SP000116
R00081,SP000119
R00082,SP000122
R00082,SP000274
R00082,SP000494
R00082,SP000694
R00082,SP000697
R00082,SP000702
R00082,SP001593
R00082,SP002302
R00082,SP002641
R00082,SP003869
R00082,SP003980
R00082,SP004117
R00082,SP004465
R00083,SP000123
R00084,SP000125
R00085,SP000127
R00086,SP000130
R00087,SP000132
R00088,SP000134
R00088,SP000175
R00088,SP000692
R00088,SP001440
R00088,SP002004
R00088,SP004100
R00088,SP004108
R00088,SP004113
R00089,SP000135
R00089,SP003436
R00089,SP003751
