route_id,pattern_id
R00001,SP000002
R00001,SP000190
R00001,SP002971
R00001,SP002987
R00001,SP003027
R00002,SP000003
R00002,SP000019
R00002,SP000779
R00002,SP001023
R00003,SP000004
R00003,SP000035
R00003,SP000059
R00003,SP000061
R00003,SP000081
R00003,SP000088
R00003,SP000117
R00003,SP000124
R00003,SP000168
R00003,SP000199
R00003,SP000227
R00003,SP000248
R00003,SP000298
R00003,SP000305
R00003,SP000313
R00003,SP000328
R00003,SP000552
R00003,SP001643
R00003,SP002429
R00003,SP002777
R00003,SP002783
R00003,SP003198
R00003,SP003867
R00003,SP004114
R00003,SP004157
R00003,SP004185
R00003,SP004191
R00003,SP004257
R00003,SP004445
R00003,SP004479
R00003,SP004626
R00003,SP004639
R00003,SP004641
R00004,SP000006
R00004,SP000015
R00005,SP000008
R00005,SP000634
R00006,SP000010
R00006,SP002204
R00007,SP000012
R00007,SP000056
R00007,SP000120
R00007,SP000206
R00007,SP000679
R00007,SP000689
R00007,SP004149
R00007,SP004560
R00007,SP004636
R00008,SP000014
R00008,SP000021
R00008,SP000031
R00008,SP000039
R00008,SP000337
R00008,SP000349
R00008,SP000413
R00008,SP000477
R00008,SP000659
R00008,SP000668
R00008,SP000670
R00008,SP001044
R00008,SP001137
R00008,SP001138
R00008,SP001883
R00008,SP001892
R00008,SP002537
R00008,SP002807
R00008,SP002976
R00008,SP003387
R00008,SP003400
R00008,SP004546
R00008,SP004547
R00008,SP004549
R00008,SP004551
R00009,SP000017
R00009,SP000627
R00010,SP000018
R00010,SP000024
R00011,SP000023
R00011,SP000780
R00011,SP001020
R00011,SP003630
R00011,SP004580
R00012,SP000025
R00012,SP001701
R00013,SP000027
R00013,SP000118
R00013,SP001526
R00013,SP003482
R00013,SP004105
R00014,SP000032
R00014,SP002048
R00014,SP002547
R00014,SP003407
R00015,SP000033
R00015,SP000522
R00015,SP000531
R00015,SP003494
R00016,SP000034
R00016,SP001577
R00016,SP001704
R00017,SP000040
R00017,SP000045
R00017,SP000073
R00017,SP004152
R00017,SP004488
R00017,SP004633
R00017,SP004643
R00018,SP000041
R00018,SP000044
R00018,SP000048
R00018,SP000094
R00018,SP000096
R00018,SP000099
R00018,SP000105
R00018,SP000106
R00018,SP000129
R00018,SP000184
R00018,SP000198
R00018,SP000326
R00018,SP000364
R00018,SP000462
R00018,SP000581
R00018,SP000651
R00018,SP000801
R00018,SP000835
R00018,SP000840
R00018,SP000848
R00018,SP000858
R00018,SP000862
R00018,SP001654
R00018,SP001823
R00018,SP001838
R00018,SP001939
R00018,SP002174
R00018,SP002183
R00018,SP002209
R00018,SP002216
R00018,SP002711
R00018,SP003385
R00018,SP003417
R00018,SP003420
R00018,SP003428
R00018,SP003429
R00018,SP003434
R00018,SP003440
