route_id,pattern_id,origin,destination,station_count,station_sequence
R00001,SP000001,WKI,WKI,27,WKI|HYK|MNR|MEO|MRT|LSW|BID|BKN|BKP|CNP|BKQ|LVJ|MRF|LVL|XLV|LVJ|BKQ|CNP|BKP|BKN|BID|LSW|MRT|MEO|MNR|HYK|WKI
R00002,SP000190,ORP,LUT,33,ORP|PET|XPE|XLY|BKL|BMS|SRT|RVB|BEC|BGM|CTF|CFT|NHD|PMR|DMK|LGJ|EPH|BFR|CTK|ZFD|SPL|KTN|WHP|CRI|BCZ|HEN|MIL|ELS|RDT|SAC|HPD|LTN|LUT
R00003,SP000003,XHZ,WCY,21,XHZ|XIC|DLJ|HGG|HOX|SDC|ZLW|SDE|WPE|ROE|ZCW|SQE|BCY|HPA|FOH|SYD|PNW|ANZ|NWD|XGU|WCY
R00004,SP004191,MYB,SBJ,37,MYB|XNJ|WCX|SRU|WRU|GER|HWY|SDR|PRR|HDM|XJV|BCS|XAN|KGS|BAN|XFC|LMS|WRW|WRP|HTN|LPW|DDG|SOL|TYS|XOH|BMO|BSW|JEQ|THW|SGB|SMW|LGG|ROW|OHL|CRA|LYE|SBJ
R00005,SP000005,NBN,NBN,19,NBN|WLG|WLV|BKN|BKP|CNP|BKQ|LVJ|MRF|LVL|XLV|LVJ|BKQ|CNP|BKP|BKN|WLV|WLG|NBN
R00006,SP000006,SHF,AWK,9,SHF|MHS|RMC|SWN|MEX|CNS|DON|BYK|AWK
R00007,SP000007,SLO,WNC,2,SLO|WNC
R00008,SP000008,KNT,ZEL,9,KNT|SOK|NWB|SBP|HDN|WJL|KNL|QPW|ZEL
R00009,SP000009,XSL,XSL,1,XSL
R00010,SP002204,SQE,XHZ,12,SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ|XIC|XHZ
R00011,SP000011,HUD,SHF,17,HUD|LCK|BBW|HOY|BHS|SSM|SPY|DBD|PNS|SLK|DOD|BNY|WOM|ELR|CLN|MHS|SHF
R00012,SP004560,OXF,MYB,19,OXF|OXP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|BCF|GER|DGC|DNM|WRU|SRU|NLT|WCX|XNJ|MYB
R00013,SP000013,SSS,SIT,5,SSS|QBR|SWL|KML|SIT
R00014,SP003400,CHX,RAM,32,CHX|WAE|NWX|XPY|HGR|GRP|CIT|XPE|ORP|SEV|TON|PDW|MRN|SPU|HCN|PLC|AFK|WHA|SDG|XSI|FKW|FKC|FKE|DVP|XUK|MTM|WAM|DEA|SDW|XMF|THP|RAM
R00015,SP000016,OXF,OXP,3,OXF|OXP|OXP
R00016,SP000017,SBP,ZEL,6,SBP|HDN|WJL|KNL|QPW|ZEL
R00017,SP000018,MYB,AVP,12,MYB|XNJ|HOH|RIC|CLW|CFO|AMR|GMN|WND|SKM|AYS|AVP
R00018,SP000020,DFD,CHX,15,DFD|XRT|CRY|BXY|AYP|SID|NEH|MTG|LEE|HGR|XPY|LEW|NWX|WAE|CHX
R00019,SP000022,OXP,OXF,3,OXP|OXP|OXF
R00020,SP004580,DLJ,WCY,19,DLJ|HGG|HOX|SDC|ZLW|SDE|WPE|ROE|ZCW|SQE|BCY|HPA|FOH|SYD|PNW|ANZ|NWD|XGU|WCY
R00021,SP001701,WWR,XHZ,17,WWR|XVJ|CLP|DMK|QRP|SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ|XIC|XHZ
R00022,SP000026,BNE,MAI,4,BNE|COO|FZP|MAI
R00023,SP004105,CDF,NOT,36,CDF|NWP|STJ|CDT|CPW|LYD|GCR|CNM|ASC|XAY|WOP|XSW|BMV|BTG|LOB|KNN|SLY|UNI|FWY|BHM|XOZ|XLX|WTO|CEH|XQW|XKI|TAH|XWE|BUT|DBY|SPO|LGE|XTR|ATB|BEE|NOT
R00024,SP000028,BAK,DLJ,16,BAK|WWR|XVJ|CLP|DMK|QRP|SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ
R00025,SP000029,MLW,MAI,5,MLW|BNE|COO|FZP|MAI
R00026,SP000030,SIT,SSS,5,SIT|KML|SWL|QBR|SSS
R00027,SP003407,YRK,BDT,19,YRK|ULL|CHF|SIE|SBY|WRS|HOW|EGN|GBD|BUH|FRY|HES|HUL|CGM|BEV|HUT|DRF|NFN|BDT
