route_id,from_crs,to_crs
R00001,WKI,HYK
R00001,HYK,MNR
R00001,MNR,MEO
R00001,MEO,MRT
R00001,MRT,LSW
R00001,LSW,BID
R00001,BID,BKN
R00001,BKN,BKP
R00001,BKP,CNP
R00001,CNP,BKQ
R00001,BKQ,LVJ
R00001,LVJ,MRF
R00001,MRF,LVL
R00001,LVL,XLV
R00001,XLV,LVJ
R00001,LVJ,BKQ
R00001,BKQ,CNP
R00001,CNP,BKP
R00001,BKP,BKN
R00001,BKN,BID
R00001,BID,LSW
R00001,LSW,MRT
R00001,MRT,MEO
R00001,MEO,MNR
R00001,MNR,HYK
R00001,HYK,WKI
R00002,ORP,PET
R00002,PET,XPE
R00002,XPE,XLY
R00002,XLY,BKL
R00002,BKL,BMS
R00002,BMS,SRT
R00002,SRT,RVB
R00002,RVB,BEC
R00002,BEC,BGM
R00002,BGM,CTF
R00002,CTF,CFT
R00002,CFT,NHD
R00002,NHD,PMR
R00002,PMR,DMK
R00002,DMK,LGJ
R00002,LGJ,EPH
R00002,EPH,BFR
R00002,BFR,CTK
R00002,CTK,ZFD
R00002,ZFD,SPL
R00002,SPL,KTN
R00002,KTN,WHP
R00002,WHP,CRI
R00002,CRI,BCZ
R00002,BCZ,HEN
R00002,HEN,MIL
R00002,MIL,ELS
R00002,ELS,RDT
R00002,RDT,SAC
R00002,SAC,HPD
R00002,HPD,LTN
R00002,LTN,LUT
R00003,XHZ,XIC
R00003,XIC,DLJ
R00003,DLJ,HGG
R00003,HGG,HOX
R00003,HOX,SDC
R00003,SDC,ZLW
R00003,ZLW,SDE
R00003,SDE,WPE
R00003,WPE,ROE
R00003,ROE,ZCW
R00003,ZCW,SQE
R00003,SQE,BCY
R00003,BCY,HPA
R00003,HPA,FOH
R00003,FOH,SYD
R00003,SYD,PNW
R00003,PNW,ANZ
R00003,ANZ,NWD
R00003,NWD,XGU
R00003,XGU,WCY
R00004,MYB,XNJ
R00004,XNJ,WCX
R00004,WCX,SRU
R00004,SRU,WRU
R00004,WRU,GER
R00004,GER,HWY
R00004,HWY,SDR
R00004,SDR,PRR
R00004,PRR,HDM
R00004,HDM,XJV
R00004,XJV,BCS
R00004,BCS,XAN
R00004,XAN,KGS
R00004,KGS,BAN
R00004,BAN,XFC
R00004,XFC,LMS
R00004,LMS,WRW
R00004,WRW,WRP
R00004,WRP,HTN
R00004,HTN,LPW
R00004,LPW,DDG
R00004,DDG,SOL
R00004,SOL,TYS
R00004,TYS,XOH
R00004,XOH,BMO
R00004,BMO,BSW
R00004,BSW,JEQ
R00004,JEQ,THW
R00004,THW,SGB
R00004,SGB,SMW
R00004,SMW,LGG
R00004,LGG,ROW
R00004,ROW,OHL
R00004,OHL,CRA
R00004,CRA,LYE
R00004,LYE,SBJ
R00005,NBN,WLG
R00005,WLG,WLV
R00005,WLV,BKN
R00005,BKN,BKP
R00005,BKP,CNP
R00005,CNP,BKQ
R00005,BKQ,LVJ
R00005,LVJ,MRF
R00005,MRF,LVL
R00005,LVL,XLV
R00005,XLV,LVJ
R00005,LVJ,BKQ
R00005,BKQ,CNP
R00005,CNP,BKP
R00005,BKP,BKN
R00005,BKN,WLV
R00005,WLV,WLG
R00005,WLG,NBN
R00006,SHF,MHS
R00006,MHS,RMC
R00006,RMC,SWN
R00006,SWN,MEX
R00006,MEX,CNS
R00006,CNS,DON
R00006,DON,BYK
R00006,BYK,AWK
R00007,SLO,WNC
R00008,KNT,SOK
R00008,SOK,NWB
R00008,NWB,SBP
R00008,SBP,HDN
R00008,HDN,WJL
R00008,WJL,KNL
R00008,KNL,QPW
R00008,QPW,ZEL
R00010,SQE,ZCW
R00010,ZCW,ROE
R00010,ROE,WPE
R00010,WPE,SDE
R00010,SDE,ZLW
R00010,ZLW,SDC
R00010,SDC,HOX
R00010,HOX,HGG
R00010,HGG,DLJ
R00010,DLJ,XIC
R00010,XIC,XHZ
R00011,HUD,LCK
R00011,LCK,BBW
R00011,BBW,HOY
R00011,HOY,BHS
R00011,BHS,SSM
R00011,SSM,SPY
R00011,SPY,DBD
R00011,DBD,PNS
R00011,PNS,SLK
R00011,SLK,DOD
R00011,DOD,BNY
R00011,BNY,WOM
R00011,WOM,ELR
R00011,ELR,CLN
R00011,CLN,MHS
R00011,MHS,SHF
R00012,OXF,OXP
R00012,OXP,BIT
R00012,BIT,XGY
R00012,XGY,XJV
R00012,XJV,HDM
R00012,HDM,PRR
R00012,PRR,SDR
R00012,SDR,HWY
R00012,HWY,BCF
R00012,BCF,GER
R00012,GER,DGC
R00012,DGC,DNM
R00012,DNM,WRU
R00012,WRU,SRU
R00012,SRU,NLT
R00012,NLT,WCX
R00012,WCX,XNJ
R00012,XNJ,MYB
R00013,SSS,QBR
R00013,QBR,SWL
R00013,SWL,KML
R00013,KML,SIT
R00014,CHX,WAE
R00014,WAE,NWX
R00014,NWX,XPY
R00014,XPY,HGR
R00014,HGR,GRP
R00014,GRP,CIT
R00014,CIT,XPE
R00014,XPE,ORP
R00014,ORP,SEV
R00014,SEV,TON
R00014,TON,PDW
R00014,PDW,MRN
R00014,MRN,SPU
R00014,SPU,HCN
R00014,HCN,PLC
R00014,PLC,AFK
R00014,AFK,WHA
R00014,WHA,SDG
R00014,SDG,XSI
R00014,XSI,FKW
R00014,FKW,FKC
R00014,FKC,FKE
R00014,FKE,DVP
R00014,DVP,XUK
R00014,XUK,MTM
R00014,MTM,WAM
R00014,WAM,DEA
R00014,DEA,SDW
R00014,SDW,XMF
R00014,XMF,THP
R00014,THP,RAM
R00015,OXF,OXP
R00015,OXP,OXP
R00016,SBP,HDN
R00016,HDN,WJL
R00016,WJL,KNL
R00016,KNL,QPW
R00016,QPW,ZEL
R00017,MYB,XNJ
R00017,XNJ,HOH
R00017,HOH,RIC
R00017,RIC,CLW
R00017,CLW,CFO
R00017,CFO,AMR
R00017,AMR,GMN
R00017,GMN,WND
R00017,WND,SKM
R00017,SKM,AYS
R00017,AYS,AVP
R00018,DFD,XRT
R00018,XRT,CRY
R00018,CRY,BXY
R00018,BXY,AYP
R00018,AYP,SID
R00018,SID,NEH
R00018,NEH,MTG
R00018,MTG,LEE
R00018,LEE,HGR
R00018,HGR,XPY
R00018,XPY,LEW
R00018,LEW,NWX
R00018,NWX,WAE
R00018,WAE,CHX
R00019,OXP,OXP
R00019,OXP,OXF
R00020,DLJ,HGG
R00020,HGG,HOX
R00020,HOX,SDC
R00020,SDC,ZLW
R00020,ZLW,SDE
R00020,SDE,WPE
R00020,WPE,ROE
R00020,ROE,ZCW
R00020,ZCW,SQE
R00020,SQE,BCY
R00020,BCY,HPA
R00020,HPA,FOH
R00020,FOH,SYD
R00020,SYD,PNW
R00020,PNW,ANZ
R00020,ANZ,NWD
R00020,NWD,XGU
R00020,XGU,WCY
R00021,WWR,XVJ
R00021,XVJ,CLP
R00021,CLP,DMK
R00021,DMK,QRP
R00021,QRP,SQE
R00021,SQE,ZCW
R00021,ZCW,ROE
R00021,ROE,WPE
R00021,WPE,SDE
R00021,SDE,ZLW
R00021,ZLW,SDC
R00021,SDC,HOX
R00021,HOX,HGG
R00021,HGG,DLJ
R00021,DLJ,XIC
R00021,XIC,XHZ
R00022,BNE,COO
R00022,COO,FZP
R00022,FZP,MAI
R00023,CDF,NWP
R00023,NWP,STJ
R00023,STJ,CDT
R00023,CDT,CPW
R00023,CPW,LYD
R00023,LYD,GCR
R00023,GCR,CNM
R00023,CNM,ASC
R00023,ASC,XAY
R00023,XAY,WOP
R00023,WOP,XSW
R00023,XSW,BMV
R00023,BMV,BTG
R00023,BTG,LOB
R00023,LOB,KNN
R00023,KNN,SLY
R00023,SLY,UNI
R00023,UNI,FWY
R00023,FWY,BHM
