route_id,map_code,match_count
R00002,DE,2
R00002,EL,2
R00002,FA,2
R00002,FL,2
R00002,FN,2
R00002,FV,2
R00002,NK,2
R00002,OT,2
R00002,RA,2
R00002,VL,2
R00002,VR,2
R00002,BU,1
R00002,EU,1
R00002,FT,1
R00002,PD,1
R00002,PK,1
R00002,PU,1
R00002,RU,1
R00002,SU,1
R00002,SW,1
R00002,WC,1
R00002,WU,1
R00006,AM,1
R00006,BB,1
R00006,BH,1
R00006,BY,1
R00006,CE,1
R00006,CY,1
R00006,DO,1
R00006,DW,1
R00006,DY,1
R00006,EY,1
R00006,HD,1
R00006,HH,1
R00006,HO,1
R00006,HV,1
R00006,HY,1
R00006,JL,1
R00006,MB,1
R00006,MM,1
R00006,MS,1
R00006,MW,1
R00006,MY,1
R00006,NB,1
R00006,PH,1
R00006,PL,1
R00006,PR,1
R00006,PS,1
R00006,PY,1
R00006,RH,1
R00006,RL,1
R00006,RY,1
R00006,SH,1
R00006,SL,1
R00006,SY,1
R00006,TC,1
R00006,WH,1
R00006,WK,1
R00006,XL,1
R00006,YK,1
R00006,YL,1
R00011,AM,1
R00011,BB,1
R00011,BH,1
R00011,BY,1
R00011,CE,1
R00011,CY,1
R00011,DO,1
R00011,DW,1
R00011,DY,1
R00011,EY,1
R00011,HD,1
R00011,HH,1
R00011,HO,1
R00011,HV,1
R00011,HY,1
R00011,JL,1
R00011,MB,1
R00011,MM,1
R00011,MS,1
R00011,MW,1
R00011,MY,1
R00011,NB,1
R00011,PH,1
R00011,PL,1
R00011,PR,1
R00011,PS,1
R00011,PY,1
R00011,RH,1
R00011,RL,1
R00011,RY,1
R00011,SH,1
R00011,SL,1
R00011,SY,1
R00011,TC,1
R00011,WH,1
R00011,WK,1
R00011,XL,1
R00011,YK,1
R00011,YL,1
R00012,GC,1
R00014,RA,3
R00014,AR,2
R00014,KL,2
R00014,SV,2
R00014,VH,2
R00014,VR,2
R00014,DE,1
R00014,FB,1
R00014,FO,1
R00014,FS,1
R00014,FV,1
R00014,HC,1
R00014,NK,1
R00014,TN,1
R00014,TU,1
R00014,VA,1
R00014,XE,1
R00015,GC,1
R00018,BR,1
R00018,CT,1
R00018,DE,1
R00018,FB,1
R00018,FL,1
R00018,FN,1
R00018,FV,1
R00018,NK,1
R00018,RA,1
R00018,SV,1
R00018,TU,1
R00019,GC,1
R00023,CY,3
R00023,SL,3
R00023,SO,3
R00023,WB,3
R00023,WH,3
R00023,WT,3
R00023,BL,2
R00023,BW,2
R00023,CB,2
R00023,CE,2
R00023,CK,2
R00023,LH,2
R00023,LW,2
R00023,PB,2
R00023,PE,2
R00023,PH,2
R00023,PL,2
R00023,PM,2
R00023,PO,2
R00023,PP,2
R00023,PW,2
R00023,PX,2
R00023,PY,2
R00023,SE,2
R00023,SX,2
R00023,WI,2
R00023,WO,2
R00023,WR,2
R00023,AB,1
R00023,AW,1
R00023,BC,1
R00023,BE,1
R00023,BG,1
R00023,BH,1
R00023,BI,1
R00023,BJ,1
R00023,BK,1
R00023,BM,1
R00023,BO,1
R00023,BP,1
R00023,BS,1
R00023,BU,1
R00023,BV,1
R00023,BX,1
R00023,BY,1
R00023,CA,1
R00023,CS,1
R00023,HB,1
R00023,HG,1
R00023,HH,1
R00023,HP,1
R00023,HY,1
R00023,KH,1
R00023,LA,1
R00023,LG,1
R00023,MC,1
R00023,ME,1
R00023,OC,1
R00023,SB,1
R00023,SN,1
R00023,SP,1
R00023,WC,1
R00023,WD,1
R00023,WM,1
R00023,WP,1
R00023,XH,1
R00023,XL,1
R00027,AH,1
R00027,BH,1
R00027,DB,1
R00027,DS,1
R00027,DT,1
R00027,DW,1
R00027,GD,1
R00027,GH,1
R00027,HA,1
R00027,HD,1
R00027,HH,1
R00027,HL,1
R00027,HM,1
R00027,HO,1
R00027,HT,1
R00027,HU,1
R00027,LY,1
R00027,NH,1
R00027,NP,1
R00027,PH,1
R00027,RH,1
R00027,TP,1
R00027,WH,1
R00027,WK,1
R00027,WY,1
R00027,YA,1
R00027,YG,1
R00027,YL,1
R00027,YM,1
R00028,BL,1
R00028,BW,1
R00028,CE,1
R00028,CS,1
R00028,CY,1
R00028,HP,1
R00028,LG,1
R00028,LH,1
R00028,LW,1
R00028,PB,1
R00028,PE,1
R00028,PH,1
R00028,PL,1
R00028,PM,1
R00028,PO,1
R00028,PP,1
R00028,PW,1
R00028,PX,1
R00028,PY,1
R00028,SL,1
R00028,SO,1
R00028,WB,1
R00028,WH,1
R00028,WO,1
R00028,WP,1
R00028,WR,1
R00028,WT,1
R00029,AB,2
R00029,AC,2
R00029,AM,2
R00029,BP,2
R00029,CN,2
R00029,EM,2
R00029,EY,2
R00029,MI,2
R00029,MM,2
R00029,MO,2
R00029,NM,2
R00029,PN,2
R00029,PR,2
R00029,PS,2
R00029,SY,2
R00029,TC,2
R00029,KP,1
R00029,KS,1
R00029,LN,1
R00031,GW,2
R00031,PC,2
R00031,SN,2
R00031,WP,2
R00031,BB,1
R00031,BL,1
R00031,BW,1
R00031,CZ,1
R00031,LA,1
R00031,LG,1
R00031,LW,1
R00031,MW,1
R00031,RB,1
R00031,RE,1
R00031,RF,1
R00031,RH,1
R00031,RJ,1
R00031,RL,1
R00031,RM,1
R00031,RO,1
R00031,RP,1
R00031,RV,1
R00031,RW,1
R00031,RX,1
R00031,RY,1
R00031,SB,1
R00031,WO,1
R00031,WR,1
R00033,GC,1
R00034,GW,6
R00034,WR,6
R00034,BB,5
R00034,BL,5
R00034,LG,5
R00034,LW,5
R00034,MW,5
R00034,PC,5
R00034,WP,4
R00034,HP,3
R00034,LA,3
R00034,RB,3
R00034,RE,3
R00034,RF,3
R00034,RH,3
R00034,RJ,3
R00034,RL,3
R00034,RM,3
R00034,RO,3
R00034,RP,3
R00034,RV,3
R00034,RW,3
R00034,RX,3
R00034,RY,3
R00034,BW,2
R00034,CZ,2
R00034,LH,2
R00034,PG,2
R00034,PZ,2
R00034,RG,2
R00034,SB,2
R00034,SN,2
R00034,SP,2
R00034,WE,2
R00034,WO,2
R00034,AW,1
R00034,CE,1
R00034,MC,1
R00034,MP,1
R00034,OP,1
R00034,PB,1
R00034,PE,1
R00034,PH,1
R00034,PJ,1
R00034,PL,1
R00034,PM,1
R00034,PO,1
R00034,PP,1
R00034,PV,1
R00034,PW,1
R00034,PX,1
R00034,PY,1
R00038,AM,1
R00038,BB,1
R00038,BH,1
R00038,BY,1
R00038,CE,1
R00038,CY,1
R00038,DO,1
R00038,DW,1
R00038,DY,1
R00038,EY,1
R00038,HD,1
R00038,HH,1
R00038,HO,1
R00038,HV,1
R00038,HY,1
R00038,JL,1
R00038,MB,1
R00038,MM,1
R00038,MS,1
R00038,MW,1
R00038,MY,1
R00038,NB,1
R00038,PH,1
R00038,PL,1
R00038,PR,1
R00038,PS,1
R00038,PY,1
R00038,RH,1
R00038,RL,1
R00038,RY,1
R00038,SH,1
R00038,SL,1
R00038,SY,1
R00038,TC,1
R00038,WH,1
R00038,WK,1
R00038,XL,1
R00038,YK,1
R00038,YL,1
R00040,AB,1
R00040,BC,1
R00040,BE,1
R00040,BG,1
R00040,BH,1
R00040,BI,1
R00040,BJ,1
R00040,BK,1
R00040,BL,1
R00040,BM,1
R00040,BO,1
R00040,BP,1
R00040,BS,1
R00040,BV,1
R00040,BW,1
R00040,BX,1
R00040,BY,1
R00040,CA,1
R00040,CB,1
R00040,CE,1
R00040,CK,1
R00040,CY,1
R00040,HB,1
R00040,HG,1
R00040,HH,1
R00040,HY,1
R00040,KH,1
R00040,LH,1
R00040,ME,1
R00040,PB,1
R00040,PE,1
R00040,PH,1
R00040,PL,1
R00040,PM,1
R00040,PO,1
R00040,PP,1
R00040,PW,1
R00040,PX,1
R00040,PY,1
R00040,SE,1
R00040,SL,1
R00040,SO,1
R00040,SX,1
R00040,WB,1
R00040,WH,1
R00040,WI,1
R00040,WM,1
R00040,WO,1
R00040,WR,1
R00040,WT,1
R00040,XH,1
R00040,XL,1
R00042,CZ,1
R00042,GW,1
R00042,MP,1
R00042,OP,1
R00042,PB,1
R00042,PE,1
R00042,PH,1
R00042,PJ,1
R00042,PL,1
R00042,PM,1
R00042,PO,1
R00042,PP,1
R00042,PV,1
R00042,PW,1
R00042,PX,1
R00042,PY,1
R00042,SP,1
R00042,WR,1
R00044,RA,2
R00044,SV,2
R00044,AR,1
R00044,DE,1
R00044,FO,1
R00044,FS,1
R00044,FV,1
R00044,HC,1
R00044,KL,1
R00044,NK,1
R00044,TU,1
R00044,VA,1
R00044,VH,1
R00044,VR,1
R00044,XE,1
R00045,FD,1
R00045,KI,1
R00045,YI,1
R00046,DE,1
R00046,FV,1
R00046,NK,1
R00046,RA,1
R00046,SV,1
R00052,RA,2
R00052,SV,2
R00052,AR,1
R00052,DE,1
R00052,FO,1
R00052,FS,1
R00052,FV,1
R00052,HC,1
R00052,KL,1
R00052,NK,1
R00052,TU,1
R00052,VA,1
R00052,VH,1
R00052,VR,1
R00052,XE,1
R00056,EJ,3
R00056,EO,3
R00056,EP,3
R00056,EV,3
R00056,EW,3
R00056,EX,3
R00056,LC,3
R00056,LM,3
R00056,MA,3
R00056,TV,3
R00056,EB,2
R00056,ES,2
R00056,SF,2
R00056,WM,2
R00056,BE,1
R00056,BI,1
R00056,BJ,1
R00056,BK,1
R00056,BM,1
R00056,BO,1
R00056,BS,1
R00056,BV,1
R00056,BX,1
R00056,CG,1
R00056,CK,1
R00056,CM,1
R00056,CS,1
R00056,CV,1
R00056,EN,1
R00056,HG,1
R00056,KH,1
R00056,KN,1
R00056,MC,1
R00056,MW,1
R00056,NC,1
R00056,NJ,1
R00056,NV,1
R00056,NW,1
R00056,NX,1
R00056,PE,1
R00056,PG,1
R00056,PM,1
R00056,PO,1
R00056,PP,1
R00056,PX,1
R00056,RE,1
R00056,RJ,1
R00056,RM,1
R00056,RO,1
R00056,RP,1
R00056,RV,1
R00056,RW,1
R00056,RX,1
R00056,SE,1
R00056,SM,1
R00056,SO,1
R00056,SX,1
R00056,TM,1
R00056,TO,1
R00056,WS,1
