route_a,route_b,route_a_length,route_b_length,shared_prefix,shared_suffix,shared_stations,overlap_percent
R00002,R00079,33,45,0,16,16,35.6
R00002,R00122,33,13,3,0,3,9.1
R00002,R00188,33,44,0,16,16,36.4
R00002,R01575,33,11,1,0,10,30.3
R00002,R02066,33,10,1,0,2,6.1
R00002,R02073,33,9,1,0,2,6.1
R00003,R00020,21,19,0,19,19,90.5
R00003,R00701,21,9,0,3,3,14.3
R00003,R00837,21,9,0,9,9,42.9
R00004,R00017,37,12,2,0,2,5.4
R00004,R00039,37,13,3,0,7,18.9
R00004,R00060,37,8,3,0,5,13.5
R00004,R00158,37,26,3,0,25,67.6
R00004,R02092,37,3,3,0,3,8.1
R00006,R00038,9,17,2,0,2,11.8
R00006,R00111,9,13,4,0,4,30.8
R00006,R00228,9,28,2,0,5,17.9
R00006,R00290,9,19,1,0,1,5.3
R00006,R00298,9,30,1,0,1,3.3
R00006,R00359,9,11,1,0,1,9.1
R00006,R00367,9,5,1,0,2,22.2
R00006,R00842,9,22,1,0,2,9.1
R00006,R00846,9,22,1,0,1,4.5
R00006,R01087,9,12,1,0,2,16.7
R00006,R01292,9,7,1,0,1,11.1
R00006,R01362,9,13,1,0,1,7.7
R00006,R01411,9,10,4,0,4,40.0
R00006,R01438,9,4,1,0,1,11.1
R00006,R01447,9,21,1,0,1,4.8
R00006,R01450,9,34,1,0,1,2.9
R00006,R01452,9,21,1,0,1,4.8
R00006,R01525,9,3,2,0,2,22.2
R00006,R01577,9,3,0,3,3,33.3
R00006,R01726,9,20,3,0,5,25.0
R00006,R01753,9,5,1,0,1,11.1
R00006,R02012,9,7,2,0,2,22.2
R00007,R01507,2,3,1,0,1,33.3
R00008,R00016,9,6,0,6,6,66.7
R00008,R00795,9,8,1,0,7,77.8
R00010,R00021,12,17,0,12,12,70.6
R00010,R00075,12,22,0,12,12,54.5
R00010,R00717,12,18,0,12,12,66.7
R00011,R00260,17,13,0,2,2,11.8
R00011,R00303,17,13,0,2,2,11.8
R00011,R00307,17,18,0,2,2,11.1
R00011,R00317,17,21,0,2,2,9.5
R00011,R00335,17,13,0,2,2,11.8
R00011,R00407,17,5,1,0,1,5.9
R00011,R00639,17,6,0,6,6,35.3
R00011,R00721,17,13,0,6,6,35.3
R00011,R00771,17,16,0,1,1,5.9
R00011,R00772,17,15,0,1,1,5.9
R00011,R00790,17,18,0,1,1,5.6
R00011,R00839,17,9,0,2,2,11.8
R00011,R00940,17,8,1,0,1,5.9
R00011,R00949,17,13,0,2,2,11.8
R00011,R01073,17,12,0,1,1,5.9
R00011,R01076,17,30,0,1,1,3.3
R00011,R01396,17,12,0,2,2,11.8
R00011,R01455,17,10,0,1,1,5.9
R00011,R01456,17,6,0,1,1,5.9
R00011,R01459,17,2,1,0,1,5.9
R00011,R01480,17,16,0,2,2,11.8
R00011,R01504,17,3,0,1,1,5.9
R00011,R01527,17,7,0,2,2,11.8
R00011,R01574,17,7,0,1,1,5.9
R00011,R01693,17,12,0,2,2,11.8
R00011,R01757,17,3,1,0,1,5.9
R00011,R01761,17,11,0,1,1,5.9
R00011,R01765,17,4,1,0,1,5.9
R00011,R01803,17,13,0,2,2,11.8
R00011,R01813,17,7,1,0,1,5.9
R00011,R01888,17,6,1,0,1,5.9
R00011,R02027,17,9,1,0,1,5.9
R00011,R02095,17,7,1,0,1,5.9
R00012,R00015,19,3,2,0,2,10.5
R00012,R00033,19,19,2,3,17,89.5
R00012,R00036,19,16,0,3,11,57.9
R00012,R00041,19,13,0,3,11,57.9
R00012,R00053,19,27,0,3,11,40.7
R00012,R00072,19,26,0,3,11,42.3
R00012,R00095,19,7,0,3,6,31.6
R00012,R00134,19,12,0,3,10,52.6
R00012,R00146,19,9,0,3,7,36.8
R00012,R00155,19,8,0,3,8,42.1
R00012,R00201,19,3,0,3,3,15.8
R00012,R00209,19,9,0,3,9,47.4
R00012,R00226,19,16,0,3,13,68.4
R00012,R00381,19,9,1,0,1,5.3
R00012,R00429,19,18,0,3,13,68.4
R00012,R00435,19,12,0,3,10,52.6
R00012,R00471,19,12,0,3,12,63.2
R00012,R00479,19,7,0,3,7,36.8
R00012,R00504,19,6,1,0,1,5.3
R00012,R00585,19,6,1,0,1,5.3
R00012,R00981,19,7,0,6,7,36.8
R00012,R00982,19,10,0,6,9,47.4
R00012,R01056,19,15,1,0,1,5.3
R00012,R01263,19,8,1,0,1,5.3
R00012,R01308,19,11,0,2,2,10.5
R00012,R01389,19,5,1,0,1,5.3
R00012,R01397,19,4,1,0,1,5.3
R00012,R01410,19,12,0,2,2,10.5
R00012,R01506,19,9,1,0,1,5.3
R00012,R01508,19,30,0,3,11,36.7
R00012,R01513,19,17,0,3,14,73.7
R00012,R01854,19,6,1,0,1,5.3
R00012,R01857,19,5,1,0,1,5.3
R00012,R01938,19,11,0,11,11,57.9
R00012,R01941,19,9,0,3,9,47.4
R00012,R02041,19,8,0,3,6,31.6
R00012,R02056,19,11,1,0,1,5.3
R00014,R00125,32,33,0,29,30,90.9
R00014,R00413,32,34,0,3,4,11.8
R00014,R00497,32,13,4,0,4,12.5
R00014,R00514,32,38,0,1,1,2.6
R00014,R00516,32,19,3,0,3,9.4
R00014,R00522,32,18,4,0,8,25.0
R00014,R00610,32,27,3,0,5,15.6
R00014,R00664,32,15,0,9,15,46.9
R00014,R00671,32,22,0,22,22,68.8
R00014,R01568,32,28,0,1,13,40.6
R00014,R01609,32,13,3,0,3,9.4
R00014,R01800,32,23,2,0,5,15.6
R00015,R00033,3,19,2,0,2,10.5
R00015,R00381,3,9,1,0,1,11.1
R00015,R00504,3,6,1,0,1,16.7
R00015,R00585,3,6,1,0,1,16.7
R00015,R01056,3,15,1,0,1,6.7
R00015,R01263,3,8,1,0,1,12.5
R00015,R01389,3,5,1,0,1,20.0
R00015,R01397,3,4,1,0,1,25.0
R00015,R01506,3,9,1,0,1,11.1
R00015,R01854,3,6,1,0,1,16.7
R00015,R01857,3,5,1,0,1,20.0
R00015,R02056,3,11,1,0,1,9.1
R00015,R02102,3,14,0,1,2,14.3
R00016,R00315,6,4,1,0,1,16.7
R00016,R00822,6,4,1,0,1,16.7
R00017,R00039,12,13,2,0,2,15.4
R00017,R00060,12,8,2,0,2,16.7
R00017,R00158,12,26,2,0,2,7.7
R00017,R00389,12,2,0,2,2,16.7
R00017,R02092,12,3,2,0,2,16.7
R00018,R00052,15,21,0,3,5,23.8
R00018,R00212,15,13,0,4,4,26.7
R00018,R00256,15,31,0,3,5,16.1
R00018,R00436,15,42,0,3,5,11.9
R00018,R00488,15,14,0,3,5,33.3
R00018,R00489,15,17,0,3,5,29.4
R00018,R00525,15,15,0,3,4,26.7
R00018,R00526,15,16,2,0,4,25.0
R00018,R00617,15,14,2,0,3,20.0
R00018,R01338,15,14,1,0,1,6.7
R00018,R01578,15,16,0,6,6,37.5
R00018,R01636,15,22,0,3,5,22.7
R00018,R01637,15,32,0,3,5,15.6
R00018,R01645,15,21,0,3,5,23.8
R00018,R01660,15,38,0,3,5,13.2
R00018,R02064,15,18,0,3,13,72.2
R00018,R02066,15,10,0,3,5,33.3
R00018,R02073,15,9,0,3,5,33.3
R00018,R02093,15,21,0,3,4,19.0
R00019,R00301,3,15,1,0,2,13.3
R00019,R00368,3,8,0,1,1,12.5
R00019,R00448,3,3,0,2,2,66.7
R00019,R01374,3,23,0,1,1,4.3
R00019,R01392,3,4,0,1,1,25.0
R00019,R01730,3,4,0,2,2,50.0
