route_id,trunk_pattern,branch_pattern,shared_prefix,split_after,destination,service_count
R00001,SP000002,SP000190,7,SRT,LUT,14
R00001,SP000002,SP002971,7,SRT,KTN,6
R00001,SP000002,SP002987,7,SRT,BFR,4
R00001,SP000002,SP003027,7,SRT,WHP,6
R00002,SP000003,SP000019,12,SQE,WWR,6
R00002,SP000003,SP000779,12,SQE,SQE,11
R00002,SP000003,SP001023,16,SYD,CYP,144
R00003,SP000035,SP000004,5,WRU,HWY,6
R00003,SP000035,SP000059,6,GER,SBJ,4
R00003,SP000035,SP000061,6,GER,BMO,26
R00003,SP000035,SP000081,5,WRU,HWY,3
R00003,SP000035,SP000088,6,GER,BMO,4
R00003,SP000035,SP000117,6,GER,OXF,10
R00003,SP000035,SP000124,6,GER,BSW,15
R00003,SP000035,SP000168,6,GER,BAN,6
R00003,SP000035,SP000199,6,GER,BSW,1
R00003,SP000035,SP000227,6,GER,OXF,8
R00003,SP000035,SP000248,5,WRU,HWY,6
R00003,SP000035,SP000298,5,WRU,PRR,3
R00003,SP000035,SP000305,5,WRU,GER,1
R00003,SP000035,SP000313,5,WRU,OXF,1
R00003,SP000035,SP000328,6,GER,BMO,1
R00003,SP000035,SP000552,6,GER,BSW,4
R00003,SP000035,SP001643,5,WRU,HWY,2
R00003,SP000035,SP002429,5,WRU,AYS,2
R00003,SP000035,SP002777,6,GER,OXF,6
R00003,SP000035,SP002783,14,BIT,OXF,11
R00003,SP000035,SP003198,12,XJV,BAN,2
R00003,SP000035,SP003867,6,GER,OXF,1
R00003,SP000035,SP004114,5,WRU,BCS,1
R00003,SP000035,SP004157,6,GER,BMO,2
R00003,SP000035,SP004185,5,WRU,BAN,1
R00003,SP000035,SP004191,6,GER,SBJ,2
R00003,SP000035,SP004257,12,XJV,BMO,1
R00003,SP000035,SP004445,16,OXF,BAN,1
R00003,SP000035,SP004479,6,GER,PRR,1
R00003,SP000035,SP004626,5,WRU,OXF,1
R00003,SP000035,SP004639,5,WRU,BAN,1
R00003,SP000035,SP004641,12,XJV,BSW,1
R00004,SP000006,SP000015,7,DON,DON,12
R00005,SP000008,SP000634,8,QPW,QPW,8
R00006,SP000010,SP002204,10,DLJ,XHZ,10
R00007,SP000012,SP000056,9,HWY,MYB,6
R00007,SP000012,SP000120,11,GER,MYB,3
R00007,SP000012,SP000206,9,HWY,MYB,3
R00007,SP000012,SP000679,10,BCF,MYB,2
R00007,SP000012,SP000689,9,HWY,MYB,2
