from_crs,to_crs,map_code
AAP,FPK,AC
AAP,FPK,AM
AAP,FPK,AN
AAP,FPK,AS
AAP,FPK,EC
AAP,FPK,EE
AAP,FPK,ER
AAP,FPK,GU
AAP,FPK,HU
AAP,FPK,KE
AAP,FPK,KG
AAP,FPK,KP
AAP,FPK,KS
AAP,FPK,KY
AAP,FPK,LN
AAP,FPK,TE
AAP,FPK,TY
AAP,GPO,EC
AAP,GPO,KG
AAP,HFN,AC
AAP,HFN,AM
AAP,HFN,AN
AAP,HFN,AS
AAP,HFN,EC
AAP,HFN,EE
AAP,HFN,ER
AAP,HFN,GU
AAP,HFN,HU
AAP,HFN,KE
AAP,HFN,KG
AAP,HFN,KP
AAP,HFN,KS
AAP,HFN,KY
AAP,HFN,LN
AAP,HFN,TE
AAP,HFN,TY
AAP,SVG,AC
AAP,SVG,AM
AAP,SVG,AN
AAP,SVG,AS
AAP,SVG,EC
AAP,SVG,EE
AAP,SVG,ER
AAP,SVG,GU
AAP,SVG,HU
AAP,SVG,KE
AAP,SVG,KG
AAP,SVG,KP
AAP,SVG,KS
AAP,SVG,KY
AAP,SVG,LN
AAP,SVG,TE
AAP,SVG,TY
ABD,DEE,AA
ABD,DEE,DA
ABD,DEE,DS
ABD,DEE,EC
ABD,DEE,FD
ABD,DEE,FK
ABD,DEE,GA
ABD,DEE,GS
ABD,DEE,HA
ABD,DEE,IE
ABD,DEE,IP
ABD,DEE,NS
ABD,DEE,YA
ABD,DEE,YS
ABD,INV,IE
ABD,INV,IP
ABD,INV,PA
ACR,BBN,BK
ACR,BBN,CK
ACR,BBN,CP
ACR,BBN,CU
ACR,BBN,DH
ACR,BBN,DP
ACR,BBN,DW
ACR,BBN,EP
ACR,BBN,GP
ACR,BBN,JK
ACR,BBN,JP
ACR,BBN,KH
ACR,BBN,KM
ACR,BBN,KN
ACR,BBN,KW
ACR,BBN,MH
ACR,BBN,NN
ACR,BBN,NP
ACR,BBN,PP
ACR,BBN,RP
ACR,BBN,XP
ACR,BYM,DH
ACR,BYM,DP
ACR,BYM,NP
ACT,AHV,WW
ACT,VIR,WV
ACT,VIR,WX
ACT,WKM,WV
ACT,WKM,WW
ACT,WKM,WX
ACT,WKM,XR
AFK,CBW,DE
AFK,CBW,HS
AFK,CBW,RA
AFK,CBW,VR
AFK,DVP,AR
AFK,DVP,CW
AFK,DVP,DE
AFK,DVP,HS
AFK,DVP,KA
AFK,DVP,RA
AFK,DVP,TN
AFK,DVP,VR
AFK,EBD,HS
AFK,G15,CW
AFK,G15,KA
AFK,G15,VA
AFK,G15,XE
AFK,G68,DE
AFK,G68,HS
AFK,G68,RA
AFK,G68,VR
AFK,HRM,AF
AFK,HRM,DE
AFK,HRM,OT
AFK,MDE,AF
AFK,MDE,DE
AFK,MDE,OT
AFK,PDW,AR
AFK,PDW,RA
AFK,PDW,TN
AFK,PDW,VH
AFK,PDW,VR
AFK,TON,AR
AFK,TON,RA
AFK,TON,TN
AFK,TON,VH
AFK,TON,VR
AHV,ACT,WW
AHV,FNB,SW
AHV,FNN,BB
AHV,FNN,MW
AHV,GLD,DK
AHV,GLD,EF
AHV,GLD,WW
AHV,WOK,BU
AHV,WOK,EU
AHV,WOK,SW
AHV,WOK,WC
AHV,WOK,WU
AHV,WOK,WW
AIG,G18,BV
AIG,G18,CH
AIG,G18,CP
AIG,G18,CV
AIG,G18,EV
AIG,G18,GV
AIG,G18,HV
AIG,G18,JP
AIG,G18,KW
AIG,G18,ME
AIG,G18,ML
AIG,G18,NR
AIG,G18,NV
AIG,G18,PV
AIG,G18,RV
AIG,G18,VK
AIG,G18,VN
AIG,G18,VT
AIG,G18,XV
AIG,G18,XW
AIG,G70,BV
AIG,G70,CH
AIG,G70,CP
AIG,G70,CV
