map_code,map_name
AA,EAST ANGLIA TO SCOTLAND
AB,EAST ANGLIA TO BIRMINGHAM VIA PETERBOROUGH AND LEICESTER
AC,EAST ANGLIA TO CREWE VIA DERBY
AD,EAST ANGLIA TO DONCASTER
AF,LONDON TO ASHFORD INTERNATIONAL
AG,AYRSHIRE COAST TO GLASGOW
AH,EAST ANGLIA TO HULL
AL,EAST ANGLIA TO LEEDS
AM,EAST ANGLIA TO MANCHESTER VIA PETERBOROUGH AND SHEFFIELD
AN,EAST ANGLIA TO NOTTINGHAM AND DERBY VIA PETERBOROUGH AND GRANTHAM
AP,EAST ANGLIA TO PETERBOROUGH
AR,ASHFORD INTERNTIONAL TO READING VIA REDHILL
AS,EAST ANGLIA TO STOKE ON TRENT AND CREWE VIA DERBY
AT,EAST ANGLIA TO TEESIDE
AW,SOUTH WALES TO NORTH WALES
AY,EAST ANGLIA TO YORK
BB,SUSSEX COAST TO SOUTH YORKSHIRE
BC,BIRMINGHAM TO NORTH WALES AND CHESTER VIA SHREWSBURY
BE,BIRMINGHAM TO EDINBURGH VIA WEST COAST
BG,BIRMINGHAM TO GRIMSBY VIA LEICESTER
BH,BIRMINGHAM TO HULL
BI,BIRMINGHAM LOCAL ROUTES
BJ,BIRMINGHAM TO NORTH WALES
BK,BIRMINGHAM TO PRESTON VIA WEST COAST
BL,BIRMINGHAM TO LONDON VIA SWINDON
BM,BIRMINGHAM TO MANCHESTER
BO,BIRMINGHAM TO STOCKPORT
BP,BIRMINGHAM TO PETERBOROUGH
BR,LONDON BRIDGE - LOCAL ROUTES
BS,BIRMINGHAM AND THE WEST MIDLANDS TO SCOTLAND
BU,SOUTH WALES AND BRISTOL VIA WESTBURY AND WOKING TO SURBITON AND SW LONDON
BV,BIRMINGHAM TO LIVERPOOL
BW,BIRMINGHAM TO WEYMOUTH VIA BRISTOL
BX,BIRMINGHAM TO OXENHOLME VIA WEST COAST
BY,BIRMINGHAM TO YORK
CA,NUNEATON TO THE CAMBRIAN COAST
CB,SWANSEA AND CARDIFF TO WEST MIDLANDS VIA NEWPORT AND HEREFORD
CE,SOUTH WALES AND WEST TO YORKSHIRE VIA BRISTOL
CG,CREWE TO GLASGOW AND EDINBURGH
CH,CREWE AND CHESTER TO NORTH WALES
CI,LONDON MARYLEBONE TO AYLESBURY - (CHILTERN LINE)
CK,SOUTH WALES TO PRESTON & KIRKHAM & WESHAM
CL,CHESHIRE TO LANCASHIRE LOCAL ROUTES
CM,COVENTRY TO MANCHESTER VIA BIRMINGHAM
CN,CENTRAL WALES AND THE NORTH WEST TO EAST ANGLIA VIA BIRMINGHAM
CO,COLCHESTER TO LONDON GROUP
CP,CHESTER TO PRESTON VIA LIVERPOOL
CS,SOUTH EAST TO THE NORTH WEST AND LINCOLNSHIRE VIA BIRMINGHAM
CT,LONDON TO CHATHAM
CU,CREWE TO CUMBRIA
CV,CREWE TO LIVERPOOL
CW,KENT AND SUSSEX COAST TO HAMPSHIRE AND DORSET
