pattern_a,pattern_b,shared_prefix,origin,destination_a,destination_b
SP000002,SP000177,3,ORP,XVJ,CST
SP000002,SP000190,7,ORP,XVJ,LUT
SP000002,SP000334,3,ORP,XVJ,CHX
SP000002,SP002971,7,ORP,XVJ,KTN
SP000002,SP002987,7,ORP,XVJ,BFR
SP000002,SP003024,3,ORP,XVJ,CHX
SP000002,SP003027,7,ORP,XVJ,WHP
SP000002,SP003107,3,ORP,XVJ,CST
SP000003,SP000019,12,XHZ,WCY,WWR
SP000003,SP000779,12,XHZ,WCY,SQE
SP000003,SP001023,16,XHZ,WCY,CYP
SP000004,SP000035,5,MYB,HWY,OXF
SP000004,SP000049,3,MYB,HWY,HWY
SP000004,SP000059,5,MYB,HWY,SBJ
SP000004,SP000061,5,MYB,HWY,BMO
SP000004,SP000078,3,MYB,HWY,WRU
SP000004,SP000081,7,MYB,HWY,HWY
SP000004,SP000088,5,MYB,HWY,BMO
SP000004,SP000117,5,MYB,HWY,OXF
SP000004,SP000124,5,MYB,HWY,BSW
SP000004,SP000145,3,MYB,HWY,WRU
SP000004,SP000168,5,MYB,HWY,BAN
SP000004,SP000194,3,MYB,HWY,HWY
SP000004,SP000199,5,MYB,HWY,BSW
SP000004,SP000227,5,MYB,HWY,OXF
SP000004,SP000235,3,MYB,HWY,HWY
SP000004,SP000240,3,MYB,HWY,BSW
SP000004,SP000248,6,MYB,HWY,HWY
SP000004,SP000297,3,MYB,HWY,HWY
SP000004,SP000298,7,MYB,HWY,PRR
SP000004,SP000305,7,MYB,HWY,GER
SP000004,SP000311,3,MYB,HWY,AYS
SP000004,SP000313,7,MYB,HWY,OXF
SP000004,SP000328,5,MYB,HWY,BMO
SP000004,SP000552,5,MYB,HWY,BSW
SP000004,SP000605,3,MYB,HWY,GER
SP000004,SP000607,3,MYB,HWY,GER
SP000004,SP000667,3,MYB,HWY,WRU
SP000004,SP001640,3,MYB,HWY,GER
SP000004,SP001643,6,MYB,HWY,HWY
SP000004,SP002429,6,MYB,HWY,AYS
SP000004,SP002777,5,MYB,HWY,OXF
SP000004,SP002783,5,MYB,HWY,OXF
SP000004,SP002792,3,MYB,HWY,HWY
SP000004,SP003190,3,MYB,HWY,AYS
SP000004,SP003198,5,MYB,HWY,BAN
SP000004,SP003410,3,MYB,HWY,OXF
SP000004,SP003867,5,MYB,HWY,OXF
SP000004,SP004114,6,MYB,HWY,BCS
SP000004,SP004157,5,MYB,HWY,BMO
SP000004,SP004159,3,MYB,HWY,AYS
SP000004,SP004182,3,MYB,HWY,AYS
SP000004,SP004185,7,MYB,HWY,BAN
SP000004,SP004191,5,MYB,HWY,SBJ
SP000004,SP004233,3,MYB,HWY,WRU
SP000004,SP004257,5,MYB,HWY,BMO
SP000004,SP004445,5,MYB,HWY,BAN
SP000004,SP004479,5,MYB,HWY,PRR
SP000004,SP004563,3,MYB,HWY,OXF
SP000004,SP004608,3,MYB,HWY,WCX
SP000004,SP004609,3,MYB,HWY,GER
SP000004,SP004626,7,MYB,HWY,OXF
SP000004,SP004635,3,MYB,HWY,BMO
SP000004,SP004637,3,MYB,HWY,AYS
SP000004,SP004639,7,MYB,HWY,BAN
SP000004,SP004641,5,MYB,HWY,BSW
SP000006,SP000015,7,SHF,AWK,DON
SP000006,SP000160,4,SHF,AWK,LDS
SP000006,SP002286,4,SHF,AWK,LDS
SP000006,SP002572,4,SHF,AWK,YRK
SP000006,SP003419,3,SHF,AWK,CLE
SP000006,SP003573,4,SHF,AWK,YRK
SP000006,SP003862,3,SHF,AWK,CLE
SP000006,SP003985,4,SHF,AWK,LDS
SP000008,SP000634,8,KNT,ZEL,QPW
SP000010,SP002204,10,SQE,DLJ,XHZ
SP000012,SP000056,9,OXF,MYB,MYB
SP000012,SP000120,11,OXF,MYB,MYB
SP000012,SP000206,9,OXF,MYB,MYB
SP000012,SP000679,10,OXF,MYB,MYB
SP000012,SP000689,9,OXF,MYB,MYB
SP000012,SP004149,11,OXF,MYB,MYB
SP000012,SP004560,11,OXF,MYB,MYB
SP000012,SP004636,9,OXF,MYB,MYB
SP000014,SP000021,10,CHX,HGS,HGS
SP000014,SP000031,10,CHX,HGS,HGS
SP000014,SP000039,10,CHX,HGS,HGS
SP000014,SP000337,14,CHX,HGS,TBW
SP000014,SP000349,9,CHX,HGS,TBW
SP000014,SP000413,5,CHX,HGS,GRV
SP000014,SP000477,5,CHX,HGS,GLM
SP000014,SP000659,9,CHX,HGS,ORP
SP000014,SP000668,7,CHX,HGS,AFK
SP000014,SP000670,7,CHX,HGS,MDE
SP000014,SP000732,4,CHX,HGS,HYS
SP000014,SP000756,3,CHX,HGS,DFD
SP000014,SP000766,4,CHX,HGS,HYS
SP000014,SP000908,3,CHX,HGS,DFD
SP000014,SP000922,3,CHX,HGS,DFD
SP000014,SP000986,3,CHX,HGS,GRV
SP000014,SP001044,10,CHX,HGS,RAM
SP000014,SP001137,6,CHX,HGS,SEV
SP000014,SP001138,6,CHX,HGS,ORP
SP000014,SP001883,10,CHX,HGS,HGS
SP000014,SP001892,10,CHX,HGS,DVP
SP000014,SP002505,3,CHX,HGS,GRV
SP000014,SP002537,5,CHX,HGS,TBW
SP000014,SP002807,10,CHX,HGS,DVP
SP000014,SP002969,3,CHX,HGS,DFD
SP000014,SP002976,10,CHX,HGS,CBW
SP000014,SP002979,3,CHX,HGS,SEV
SP000014,SP003068,3,CHX,HGS,HYS
SP000014,SP003156,3,CHX,HGS,CST
SP000014,SP003188,3,CHX,HGS,ORP
SP000014,SP003200,4,CHX,HGS,TBW
SP000014,SP003315,3,CHX,HGS,GRV
SP000014,SP003387,10,CHX,HGS,DVP
SP000014,SP003400,10,CHX,HGS,RAM
SP000014,SP003760,3,CHX,HGS,GRV
SP000014,SP004546,10,CHX,HGS,HGS
SP000014,SP004547,6,CHX,HGS,HGS
SP000014,SP004549,9,CHX,HGS,HGS
SP000014,SP004551,10,CHX,HGS,HGS
SP000015,SP000160,4,SHF,DON,LDS
SP000015,SP002286,4,SHF,DON,LDS
SP000015,SP002572,4,SHF,DON,YRK
SP000015,SP003419,3,SHF,DON,CLE
SP000015,SP003573,4,SHF,DON,YRK
SP000015,SP003862,3,SHF,DON,CLE
SP000015,SP003985,4,SHF,DON,LDS
SP000017,SP000627,5,SBP,ZEL,QPW
SP000018,SP000024,11,MYB,AVP,AYS
SP000019,SP000779,12,XHZ,WWR,SQE
SP000019,SP001023,12,XHZ,WWR,CYP
SP000021,SP000031,16,CHX,HGS,HGS
SP000021,SP000039,13,CHX,HGS,HGS
SP000021,SP000337,10,CHX,HGS,TBW
SP000021,SP000349,9,CHX,HGS,TBW
SP000021,SP000413,5,CHX,HGS,GRV
SP000021,SP000477,5,CHX,HGS,GLM
SP000021,SP000659,9,CHX,HGS,ORP
SP000021,SP000668,7,CHX,HGS,AFK
SP000021,SP000670,7,CHX,HGS,MDE
SP000021,SP000732,4,CHX,HGS,HYS
SP000021,SP000756,3,CHX,HGS,DFD
SP000021,SP000766,4,CHX,HGS,HYS
SP000021,SP000908,3,CHX,HGS,DFD
SP000021,SP000922,3,CHX,HGS,DFD
SP000021,SP000986,3,CHX,HGS,GRV
SP000021,SP001044,11,CHX,HGS,RAM
SP000021,SP001137,6,CHX,HGS,SEV
SP000021,SP001138,6,CHX,HGS,ORP
SP000021,SP001883,14,CHX,HGS,HGS
SP000021,SP001892,11,CHX,HGS,DVP
SP000021,SP002505,3,CHX,HGS,GRV
SP000021,SP002537,5,CHX,HGS,TBW
SP000021,SP002807,11,CHX,HGS,DVP
SP000021,SP002969,3,CHX,HGS,DFD
SP000021,SP002976,11,CHX,HGS,CBW
SP000021,SP002979,3,CHX,HGS,SEV
SP000021,SP003068,3,CHX,HGS,HYS
SP000021,SP003156,3,CHX,HGS,CST
SP000021,SP003188,3,CHX,HGS,ORP
SP000021,SP003200,4,CHX,HGS,TBW
SP000021,SP003315,3,CHX,HGS,GRV
SP000021,SP003387,11,CHX,HGS,DVP
SP000021,SP003400,11,CHX,HGS,RAM
SP000021,SP003760,3,CHX,HGS,GRV
SP000021,SP004546,14,CHX,HGS,HGS
SP000021,SP004547,6,CHX,HGS,HGS
SP000021,SP004549,9,CHX,HGS,HGS
SP000021,SP004551,13,CHX,HGS,HGS
SP000023,SP000780,15,DLJ,WWR,BAK
SP000023,SP001020,10,DLJ,WWR,CYP
SP000023,SP003630,10,DLJ,WWR,SQE
SP000023,SP004580,10,DLJ,WWR,WCY
SP000025,SP001701,15,WWR,DLJ,XHZ
SP000027,SP000118,8,CDF,BHM,CNM
SP000027,SP001526,10,CDF,BHM,NOT
SP000027,SP001558,3,CDF,BHM,NOT
SP000027,SP001569,3,CDF,BHM,BHM
SP000027,SP001625,3,CDF,BHM,EDB
SP000027,SP002181,3,CDF,BHM,BRI
SP000027,SP002227,3,CDF,BHM,PMH
SP000027,SP002231,3,CDF,BHM,PMH
SP000027,SP002328,3,CDF,BHM,TAU
SP000027,SP002379,3,CDF,BHM,BRI
SP000027,SP002392,3,CDF,BHM,EXD
SP000027,SP002394,3,CDF,BHM,PLY
SP000027,SP002395,3,CDF,BHM,EXD
SP000027,SP003379,3,CDF,BHM,PNZ
SP000027,SP003382,3,CDF,BHM,TAU
SP000027,SP003414,3,CDF,BHM,PMH
SP000027,SP003418,3,CDF,BHM,NOT
SP000027,SP003427,3,CDF,BHM,FRO
SP000027,SP003469,3,CDF,BHM,PAD
SP000027,SP003482,7,CDF,BHM,GCR
SP000027,SP004105,10,CDF,BHM,NOT
SP000027,SP004107,3,CDF,BHM,NOT
SP000027,SP004249,3,CDF,BHM,PMH
SP000031,SP000039,13,CHX,HGS,HGS
SP000031,SP000337,10,CHX,HGS,TBW
SP000031,SP000349,9,CHX,HGS,TBW
SP000031,SP000413,5,CHX,HGS,GRV
SP000031,SP000477,5,CHX,HGS,GLM
SP000031,SP000659,9,CHX,HGS,ORP
SP000031,SP000668,7,CHX,HGS,AFK
SP000031,SP000670,7,CHX,HGS,MDE
SP000031,SP000732,4,CHX,HGS,HYS
SP000031,SP000756,3,CHX,HGS,DFD
SP000031,SP000766,4,CHX,HGS,HYS
SP000031,SP000908,3,CHX,HGS,DFD
SP000031,SP000922,3,CHX,HGS,DFD
SP000031,SP000986,3,CHX,HGS,GRV
SP000031,SP001044,11,CHX,HGS,RAM
SP000031,SP001137,6,CHX,HGS,SEV
SP000031,SP001138,6,CHX,HGS,ORP
SP000031,SP001883,14,CHX,HGS,HGS
SP000031,SP001892,11,CHX,HGS,DVP
SP000031,SP002505,3,CHX,HGS,GRV
SP000031,SP002537,5,CHX,HGS,TBW
SP000031,SP002807,11,CHX,HGS,DVP
SP000031,SP002969,3,CHX,HGS,DFD
SP000031,SP002976,11,CHX,HGS,CBW
SP000031,SP002979,3,CHX,HGS,SEV
SP000031,SP003068,3,CHX,HGS,HYS
SP000031,SP003156,3,CHX,HGS,CST
SP000031,SP003188,3,CHX,HGS,ORP
SP000031,SP003200,4,CHX,HGS,TBW
SP000031,SP003315,3,CHX,HGS,GRV
SP000031,SP003387,11,CHX,HGS,DVP
SP000031,SP003400,11,CHX,HGS,RAM
SP000031,SP003760,3,CHX,HGS,GRV
SP000031,SP004546,14,CHX,HGS,HGS
SP000031,SP004547,6,CHX,HGS,HGS
SP000031,SP004549,9,CHX,HGS,HGS
SP000031,SP004551,13,CHX,HGS,HGS
SP000032,SP000569,3,YRK,BDT,LDS
SP000032,SP001564,4,YRK,BDT,SHF
SP000032,SP002048,7,YRK,BDT,HUL
SP000032,SP002547,9,YRK,BDT,HUL
SP000032,SP003080,3,YRK,BDT,LDS
SP000032,SP003407,5,YRK,BDT,BDT
SP000032,SP003873,4,YRK,BDT,SHF
SP000032,SP004221,3,YRK,BDT,BPN
SP000033,SP000522,10,BRI,WOS,WOF
SP000033,SP000527,4,BRI,WOS,GCR
SP000033,SP000531,6,BRI,WOS,GCR
SP000033,SP001507,3,BRI,WOS,CDF
SP000033,SP001522,4,BRI,WOS,SSD
SP000033,SP001533,4,BRI,WOS,MAN
SP000033,SP001546,4,BRI,WOS,MAN
SP000033,SP001559,4,BRI,WOS,BHM
SP000033,SP002930,4,BRI,WOS,BHM
SP000033,SP003494,10,BRI,WOS,GMV
SP000033,SP003965,4,BRI,WOS,EDB
SP000033,SP004183,3,BRI,WOS,PAD
SP000033,SP004570,3,BRI,WOS,PAD
SP000034,SP001577,18,SSD,BHM,BHM
SP000034,SP001704,5,SSD,BHM,CBG
SP000035,SP000049,3,MYB,OXF,HWY
SP000035,SP000059,6,MYB,OXF,SBJ
SP000035,SP000061,6,MYB,OXF,BMO
SP000035,SP000078,3,MYB,OXF,WRU
SP000035,SP000081,5,MYB,OXF,HWY
SP000035,SP000088,6,MYB,OXF,BMO
SP000035,SP000117,6,MYB,OXF,OXF
SP000035,SP000124,6,MYB,OXF,BSW
SP000035,SP000145,3,MYB,OXF,WRU
SP000035,SP000168,6,MYB,OXF,BAN
SP000035,SP000194,3,MYB,OXF,HWY
SP000035,SP000199,6,MYB,OXF,BSW
SP000035,SP000227,6,MYB,OXF,OXF
SP000035,SP000235,3,MYB,OXF,HWY
SP000035,SP000240,3,MYB,OXF,BSW
SP000035,SP000248,5,MYB,OXF,HWY
SP000035,SP000297,3,MYB,OXF,HWY
SP000035,SP000298,5,MYB,OXF,PRR
SP000035,SP000305,5,MYB,OXF,GER
SP000035,SP000311,3,MYB,OXF,AYS
SP000035,SP000313,5,MYB,OXF,OXF
SP000035,SP000328,6,MYB,OXF,BMO
SP000035,SP000552,6,MYB,OXF,BSW
SP000035,SP000605,3,MYB,OXF,GER
SP000035,SP000607,3,MYB,OXF,GER
SP000035,SP000667,3,MYB,OXF,WRU
SP000035,SP001640,3,MYB,OXF,GER
SP000035,SP001643,5,MYB,OXF,HWY
SP000035,SP002429,5,MYB,OXF,AYS
SP000035,SP002777,6,MYB,OXF,OXF
SP000035,SP002783,14,MYB,OXF,OXF
SP000035,SP002792,3,MYB,OXF,HWY
SP000035,SP003190,3,MYB,OXF,AYS
SP000035,SP003198,12,MYB,OXF,BAN
SP000035,SP003410,3,MYB,OXF,OXF
SP000035,SP003867,6,MYB,OXF,OXF
SP000035,SP004114,5,MYB,OXF,BCS
SP000035,SP004157,6,MYB,OXF,BMO
SP000035,SP004159,3,MYB,OXF,AYS
SP000035,SP004182,3,MYB,OXF,AYS
SP000035,SP004185,5,MYB,OXF,BAN
SP000035,SP004191,6,MYB,OXF,SBJ
SP000035,SP004233,3,MYB,OXF,WRU
SP000035,SP004257,12,MYB,OXF,BMO
SP000035,SP004445,16,MYB,OXF,BAN
SP000035,SP004479,6,MYB,OXF,PRR
SP000035,SP004563,3,MYB,OXF,OXF
SP000035,SP004608,3,MYB,OXF,WCX
SP000035,SP004609,3,MYB,OXF,GER
SP000035,SP004626,5,MYB,OXF,OXF
SP000035,SP004635,3,MYB,OXF,BMO
SP000035,SP004637,3,MYB,OXF,AYS
SP000035,SP004639,5,MYB,OXF,BAN
SP000035,SP004641,12,MYB,OXF,BSW
SP000039,SP000337,10,CHX,HGS,TBW
SP000039,SP000349,9,CHX,HGS,TBW
SP000039,SP000413,5,CHX,HGS,GRV
SP000039,SP000477,5,CHX,HGS,GLM
SP000039,SP000659,9,CHX,HGS,ORP
SP000039,SP000668,7,CHX,HGS,AFK
SP000039,SP000670,7,CHX,HGS,MDE
SP000039,SP000732,4,CHX,HGS,HYS
SP000039,SP000756,3,CHX,HGS,DFD
SP000039,SP000766,4,CHX,HGS,HYS
SP000039,SP000908,3,CHX,HGS,DFD
SP000039,SP000922,3,CHX,HGS,DFD
SP000039,SP000986,3,CHX,HGS,GRV
SP000039,SP001044,11,CHX,HGS,RAM
SP000039,SP001137,6,CHX,HGS,SEV
SP000039,SP001138,6,CHX,HGS,ORP
SP000039,SP001883,13,CHX,HGS,HGS
SP000039,SP001892,11,CHX,HGS,DVP
SP000039,SP002505,3,CHX,HGS,GRV
SP000039,SP002537,5,CHX,HGS,TBW
SP000039,SP002807,11,CHX,HGS,DVP
SP000039,SP002969,3,CHX,HGS,DFD
SP000039,SP002976,11,CHX,HGS,CBW
SP000039,SP002979,3,CHX,HGS,SEV
SP000039,SP003068,3,CHX,HGS,HYS
SP000039,SP003156,3,CHX,HGS,CST
SP000039,SP003188,3,CHX,HGS,ORP
SP000039,SP003200,4,CHX,HGS,TBW
SP000039,SP003315,3,CHX,HGS,GRV
SP000039,SP003387,11,CHX,HGS,DVP
SP000039,SP003400,11,CHX,HGS,RAM
SP000039,SP003760,3,CHX,HGS,GRV
SP000039,SP004546,13,CHX,HGS,HGS
SP000039,SP004547,6,CHX,HGS,HGS
SP000039,SP004549,9,CHX,HGS,HGS
SP000039,SP004551,19,CHX,HGS,HGS
SP000040,SP000045,14,OXF,MYB,MYB
SP000040,SP000073,10,OXF,MYB,MYB
SP000040,SP004152,10,OXF,MYB,HWY
SP000040,SP004488,12,OXF,MYB,MYB
SP000040,SP004633,10,OXF,MYB,MYB
SP000040,SP004643,10,OXF,MYB,MYB
SP000041,SP000044,11,PAD,HFD,WOF
SP000041,SP000048,15,PAD,HFD,GMV
SP000041,SP000094,6,PAD,HFD,PLY
SP000041,SP000096,6,PAD,HFD,PNZ
SP000041,SP000099,6,PAD,HFD,PNZ
SP000041,SP000105,6,PAD,HFD,DID
SP000041,SP000106,6,PAD,HFD,NBY
SP000041,SP000129,7,PAD,HFD,WOF
SP000041,SP000184,15,PAD,HFD,HFD
SP000041,SP000198,15,PAD,HFD,WOS
SP000041,SP000326,6,PAD,HFD,DID
SP000041,SP000364,15,PAD,HFD,WOF
SP000041,SP000462,8,PAD,HFD,OXF
SP000041,SP000581,7,PAD,HFD,BRI
SP000041,SP000651,6,PAD,HFD,PLY
SP000041,SP000801,6,PAD,HFD,PLY
SP000041,SP000835,7,PAD,HFD,WSM
SP000041,SP000840,7,PAD,HFD,PNZ
SP000041,SP000848,11,PAD,HFD,WOS
SP000041,SP000858,7,PAD,HFD,OXF
SP000041,SP000862,7,PAD,HFD,CNM
SP000041,SP001654,6,PAD,HFD,NBY
SP000041,SP001823,7,PAD,HFD,SWA
SP000041,SP001838,7,PAD,HFD,SWA
SP000041,SP001939,6,PAD,HFD,RDG
SP000041,SP002174,7,PAD,HFD,WSM
SP000041,SP002183,7,PAD,HFD,WSM
SP000041,SP002209,6,PAD,HFD,EXD
SP000041,SP002216,6,PAD,HFD,NQY
SP000041,SP002711,6,PAD,HFD,BDW
SP000041,SP003385,6,PAD,HFD,PGN
SP000041,SP003417,7,PAD,HFD,CDF
SP000041,SP003420,7,PAD,HFD,WOS
SP000041,SP003428,6,PAD,HFD,WSB
SP000041,SP003429,7,PAD,HFD,CMN
SP000041,SP003434,7,PAD,HFD,SWA
SP000041,SP003440,7,PAD,HFD,SWA
SP000041,SP003448,7,PAD,HFD,TAU
SP000041,SP003480,6,PAD,HFD,PNZ
SP000041,SP003591,3,PAD,HFD,RDG
SP000041,SP003666,7,PAD,HFD,TAU
SP000041,SP003788,7,PAD,HFD,SWA
SP000041,SP004186,6,PAD,HFD,FRO
SP000041,SP004248,15,PAD,HFD,WPH
SP000041,SP004338,7,PAD,HFD,BPW
SP000041,SP004416,6,PAD,HFD,BDW
SP000041,SP004476,8,PAD,HFD,BAN
SP000041,SP004599,7,PAD,HFD,WOS
SP000042,SP002211,3,DEE,EDB,EDB
SP000042,SP002214,3,DEE,EDB,EDB
SP000042,SP003646,4,DEE,EDB,EDB
SP000042,SP004308,4,DEE,EDB,GLQ
SP000042,SP004617,9,DEE,EDB,EDB
SP000042,SP004619,8,DEE,EDB,EDB
SP000043,SP000645,9,BAN,MYB,MYB
SP000043,SP002851,3,BAN,MYB,DID
SP000043,SP002852,3,BAN,MYB,DID
SP000043,SP002853,3,BAN,MYB,OXF
SP000043,SP004180,9,BAN,MYB,MYB
SP000044,SP000048,11,PAD,WOF,GMV
SP000044,SP000094,6,PAD,WOF,PLY
SP000044,SP000096,6,PAD,WOF,PNZ
SP000044,SP000099,6,PAD,WOF,PNZ
SP000044,SP000105,6,PAD,WOF,DID
SP000044,SP000106,6,PAD,WOF,NBY
SP000044,SP000129,7,PAD,WOF,WOF
SP000044,SP000184,11,PAD,WOF,HFD
SP000044,SP000198,11,PAD,WOF,WOS
SP000044,SP000326,6,PAD,WOF,DID
SP000044,SP000364,11,PAD,WOF,WOF
SP000044,SP000462,8,PAD,WOF,OXF
SP000044,SP000581,7,PAD,WOF,BRI
SP000044,SP000651,6,PAD,WOF,PLY
SP000044,SP000801,6,PAD,WOF,PLY
SP000044,SP000835,7,PAD,WOF,WSM
SP000044,SP000840,7,PAD,WOF,PNZ
SP000044,SP000848,19,PAD,WOF,WOS
SP000044,SP000858,7,PAD,WOF,OXF
SP000044,SP000862,7,PAD,WOF,CNM
SP000044,SP001654,6,PAD,WOF,NBY
SP000044,SP001823,7,PAD,WOF,SWA
SP000044,SP001838,7,PAD,WOF,SWA
SP000044,SP001939,6,PAD,WOF,RDG
SP000044,SP002174,7,PAD,WOF,WSM
SP000044,SP002183,7,PAD,WOF,WSM
SP000044,SP002209,6,PAD,WOF,EXD
SP000044,SP002216,6,PAD,WOF,NQY
SP000044,SP002711,6,PAD,WOF,BDW
SP000044,SP003385,6,PAD,WOF,PGN
SP000044,SP003417,7,PAD,WOF,CDF
SP000044,SP003420,7,PAD,WOF,WOS
SP000044,SP003428,6,PAD,WOF,WSB
SP000044,SP003429,7,PAD,WOF,CMN
SP000044,SP003434,7,PAD,WOF,SWA
SP000044,SP003440,7,PAD,WOF,SWA
SP000044,SP003448,7,PAD,WOF,TAU
SP000044,SP003480,6,PAD,WOF,PNZ
SP000044,SP003591,3,PAD,WOF,RDG
SP000044,SP003666,7,PAD,WOF,TAU
SP000044,SP003788,7,PAD,WOF,SWA
SP000044,SP004186,6,PAD,WOF,FRO
SP000044,SP004248,11,PAD,WOF,WPH
SP000044,SP004338,7,PAD,WOF,BPW
SP000044,SP004416,6,PAD,WOF,BDW
SP000044,SP004476,8,PAD,WOF,BAN
SP000044,SP004599,7,PAD,WOF,WOS
SP000045,SP000073,10,OXF,MYB,MYB
SP000045,SP004152,10,OXF,MYB,HWY
SP000045,SP004488,12,OXF,MYB,MYB
SP000045,SP004633,10,OXF,MYB,MYB
SP000045,SP004643,10,OXF,MYB,MYB
SP000046,SP000196,11,RDC,BHM,FOK
SP000046,SP001479,11,RDC,BHM,FOK
SP000047,SP000234,6,SHF,HUD,LDS
SP000047,SP002642,6,SHF,HUD,BNY
SP000047,SP003839,9,SHF,HUD,PNS
SP000047,SP003966,6,SHF,HUD,WKK
SP000047,SP004470,6,SHF,HUD,LDS
SP000048,SP000094,6,PAD,GMV,PLY
SP000048,SP000096,6,PAD,GMV,PNZ
SP000048,SP000099,6,PAD,GMV,PNZ
SP000048,SP000105,6,PAD,GMV,DID
SP000048,SP000106,6,PAD,GMV,NBY
SP000048,SP000129,7,PAD,GMV,WOF
SP000048,SP000184,22,PAD,GMV,HFD
SP000048,SP000198,18,PAD,GMV,WOS
SP000048,SP000326,6,PAD,GMV,DID
SP000048,SP000364,19,PAD,GMV,WOF
SP000048,SP000462,8,PAD,GMV,OXF
SP000048,SP000581,7,PAD,GMV,BRI
SP000048,SP000651,6,PAD,GMV,PLY
SP000048,SP000801,6,PAD,GMV,PLY
SP000048,SP000835,7,PAD,GMV,WSM
SP000048,SP000840,7,PAD,GMV,PNZ
SP000048,SP000848,11,PAD,GMV,WOS
SP000048,SP000858,7,PAD,GMV,OXF
SP000048,SP000862,7,PAD,GMV,CNM
SP000048,SP001654,6,PAD,GMV,NBY
SP000048,SP001823,7,PAD,GMV,SWA
SP000048,SP001838,7,PAD,GMV,SWA
SP000048,SP001939,6,PAD,GMV,RDG
SP000048,SP002174,7,PAD,GMV,WSM
SP000048,SP002183,7,PAD,GMV,WSM
SP000048,SP002209,6,PAD,GMV,EXD
SP000048,SP002216,6,PAD,GMV,NQY
SP000048,SP002711,6,PAD,GMV,BDW
SP000048,SP003385,6,PAD,GMV,PGN
SP000048,SP003417,7,PAD,GMV,CDF
SP000048,SP003420,7,PAD,GMV,WOS
SP000048,SP003428,6,PAD,GMV,WSB
SP000048,SP003429,7,PAD,GMV,CMN
SP000048,SP003434,7,PAD,GMV,SWA
SP000048,SP003440,7,PAD,GMV,SWA
SP000048,SP003448,7,PAD,GMV,TAU
SP000048,SP003480,6,PAD,GMV,PNZ
SP000048,SP003591,3,PAD,GMV,RDG
SP000048,SP003666,7,PAD,GMV,TAU
SP000048,SP003788,7,PAD,GMV,SWA
SP000048,SP004186,6,PAD,GMV,FRO
SP000048,SP004248,17,PAD,GMV,WPH
SP000048,SP004338,7,PAD,GMV,BPW
SP000048,SP004416,6,PAD,GMV,BDW
SP000048,SP004476,8,PAD,GMV,BAN
SP000048,SP004599,7,PAD,GMV,WOS
SP000049,SP000059,3,MYB,HWY,SBJ
SP000049,SP000061,3,MYB,HWY,BMO
SP000049,SP000078,3,MYB,HWY,WRU
SP000049,SP000081,3,MYB,HWY,HWY
SP000049,SP000088,3,MYB,HWY,BMO
SP000049,SP000117,3,MYB,HWY,OXF
SP000049,SP000124,3,MYB,HWY,BSW
SP000049,SP000145,3,MYB,HWY,WRU
SP000049,SP000168,3,MYB,HWY,BAN
