pattern_a,pattern_b,origin,destination_a,destination_b,shared_prefix,divergence_station,branch_a,branch_b,overlap
SP000002,SP000190,ORP,XVJ,LUT,7,SRT,BKJ,RVB,0.467
SP000002,SP002971,ORP,XVJ,KTN,7,SRT,BKJ,RVB,0.467
SP000002,SP002987,ORP,XVJ,BFR,7,SRT,BKJ,RVB,0.467
SP000002,SP003027,ORP,XVJ,WHP,7,SRT,BKJ,RVB,0.467
SP000003,SP000019,XHZ,WCY,WWR,12,SQE,BCY,QRP,0.706
SP000003,SP000779,XHZ,WCY,SQE,12,SQE,BCY,,1.0
SP000003,SP001023,XHZ,WCY,CYP,16,SYD,PNW,CYP,0.941
SP000004,SP000035,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP000059,MYB,HWY,SBJ,5,WRU,DNM,GER,0.5
SP000004,SP000061,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP000081,MYB,HWY,HWY,7,GER,SRG,BCF,0.778
SP000004,SP000088,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP000117,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP000124,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000004,SP000168,MYB,HWY,BAN,5,WRU,DNM,GER,0.5
SP000004,SP000199,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000004,SP000227,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP000248,MYB,HWY,HWY,6,DNM,GER,DGC,0.6
SP000004,SP000298,MYB,HWY,PRR,7,GER,SRG,HWY,0.7
SP000004,SP000305,MYB,HWY,GER,7,GER,SRG,,1.0
SP000004,SP000313,MYB,HWY,OXF,7,GER,SRG,BCF,0.7
SP000004,SP000328,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP000552,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000004,SP001643,MYB,HWY,HWY,6,DNM,GER,DGC,0.6
SP000004,SP002429,MYB,HWY,AYS,6,DNM,GER,DGC,0.6
SP000004,SP002777,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP002783,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP003198,MYB,HWY,BAN,5,WRU,DNM,GER,0.5
SP000004,SP003867,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP004114,MYB,HWY,BCS,6,DNM,GER,DGC,0.6
SP000004,SP004157,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP004185,MYB,HWY,BAN,7,GER,SRG,HWY,0.7
SP000004,SP004191,MYB,HWY,SBJ,5,WRU,DNM,GER,0.5
SP000004,SP004257,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP004445,MYB,HWY,BAN,5,WRU,DNM,GER,0.5
SP000004,SP004479,MYB,HWY,PRR,5,WRU,DNM,GER,0.556
SP000004,SP004626,MYB,HWY,OXF,7,GER,SRG,BCF,0.7
SP000004,SP004639,MYB,HWY,BAN,7,GER,SRG,BCF,0.7
SP000004,SP004641,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000006,SP000015,SHF,AWK,DON,7,DON,BYK,,1.0
SP000008,SP000634,KNT,ZEL,QPW,8,QPW,ZEL,,1.0
SP000010,SP002204,SQE,DLJ,XHZ,10,DLJ,,XIC,1.0
SP000012,SP000056,OXF,MYB,MYB,9,HWY,BCF,GER,0.6
SP000012,SP000120,OXF,MYB,MYB,11,GER,WRU,DNM,0.688
