pattern_id,origin,destination,station_count,service_count,is_circular,is_shuttle,has_reverse,reverse_pattern_id
SP000001,WKI,WKI,27,118,True,False,False,
SP000002,ORP,XVJ,15,150,False,False,True,SP000753
SP000003,XHZ,WCY,21,144,False,False,False,
SP000004,MYB,HWY,10,6,False,False,False,
SP000005,NBN,NBN,19,120,True,False,False,
SP000006,SHF,AWK,9,32,False,False,True,SP001342
SP000007,SLO,WNC,2,110,False,True,True,SP000223
SP000008,KNT,ZEL,9,172,False,False,True,SP000438
SP000009,XSL,XSL,1,22,True,False,True,SP000009
SP000010,SQE,DLJ,10,140,False,False,True,SP003630
SP000011,HUD,SHF,17,34,False,False,True,SP000047
SP000012,OXF,MYB,16,31,False,False,True,SP000035
SP000013,SSS,SIT,5,56,False,False,True,SP000030
SP000014,CHX,HGS,25,13,False,False,False,
SP000015,SHF,DON,7,12,False,False,True,SP002833
SP000016,OXF,OXP,3,2,False,False,True,SP000022
SP000017,SBP,ZEL,6,159,False,False,True,SP000324
SP000018,MYB,AVP,12,44,False,False,True,SP002571
SP000019,XHZ,WWR,17,6,False,False,True,SP001701
SP000020,DFD,CHX,15,68,False,False,True,SP000908
SP000021,CHX,HGS,19,8,False,False,True,SP000108
SP000022,OXP,OXF,3,2,False,False,True,SP000016
SP000023,DLJ,WWR,15,138,False,False,True,SP000025
SP000024,MYB,AYS,11,26,False,False,True,SP002334
SP000025,WWR,DLJ,15,138,False,False,True,SP000023
SP000026,BNE,MAI,4,28,False,False,True,SP000389
SP000027,CDF,BHM,21,2,False,False,True,SP001914
SP000028,BAK,DLJ,16,4,False,False,True,SP000780
SP000029,MLW,MAI,5,24,False,False,True,SP000385
SP000030,SIT,SSS,5,56,False,False,True,SP000013
SP000031,CHX,HGS,20,2,False,False,False,
SP000032,YRK,BDT,15,2,False,False,True,SP003553
SP000033,BRI,WOS,10,6,False,False,True,SP000135
SP000034,SSD,BHM,26,28,False,False,True,SP001477
SP000035,MYB,OXF,16,31,False,False,True,SP000012
SP000036,HNW,XCN,7,2,False,False,False,
SP000037,SWI,WSB,5,14,False,False,True,SP000072
SP000038,EXD,EXM,11,5,False,False,True,SP000517
SP000039,CHX,HGS,24,30,False,False,True,SP000057
SP000040,OXF,MYB,18,1,False,False,False,
SP000041,PAD,HFD,25,2,False,False,False,
SP000042,DEE,EDB,11,30,False,False,True,SP001529
SP000043,BAN,MYB,15,4,False,False,True,SP000168
SP000044,PAD,WOF,20,2,False,False,False,
SP000045,OXF,MYB,17,5,False,False,False,
SP000046,RDC,BHM,11,6,False,False,True,SP004016
SP000047,SHF,HUD,17,34,False,False,True,SP000011
SP000048,PAD,GMV,22,17,False,False,True,SP002712
