pattern_id,service_count,station_count,origin,destination,stations
SP000001,118,27,WKI,WKI,WKI|HYK|MNR|MEO|MRT|LSW|BID|BKN|BKP|CNP|BKQ|LVJ|MRF|LVL|XLV|LVJ|BKQ|CNP|BKP|BKN|BID|LSW|MRT|MEO|MNR|HYK|WKI
SP000002,150,15,ORP,XVJ,ORP|PET|XPE|XLY|BKL|BMS|SRT|BKJ|KTH|PNE|SYH|WDU|HNH|BRX|XVJ
SP000003,144,21,XHZ,WCY,XHZ|XIC|DLJ|HGG|HOX|SDC|ZLW|SDE|WPE|ROE|ZCW|SQE|BCY|HPA|FOH|SYD|PNW|ANZ|NWD|XGU|WCY
SP000004,6,10,MYB,HWY,MYB|XNJ|WCX|SRU|WRU|DNM|GER|SRG|BCF|HWY
SP000005,120,19,NBN,NBN,NBN|WLG|WLV|BKN|BKP|CNP|BKQ|LVJ|MRF|LVL|XLV|LVJ|BKQ|CNP|BKP|BKN|WLV|WLG|NBN
SP000006,32,9,SHF,AWK,SHF|MHS|RMC|SWN|MEX|CNS|DON|BYK|AWK
SP000007,110,2,SLO,WNC,SLO|WNC
SP000008,172,9,KNT,ZEL,KNT|SOK|NWB|SBP|HDN|WJL|KNL|QPW|ZEL
SP000009,22,1,XSL,XSL,XSL
SP000010,140,10,SQE,DLJ,SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ
SP000011,34,17,HUD,SHF,HUD|LCK|BBW|HOY|BHS|SSM|SPY|DBD|PNS|SLK|DOD|BNY|WOM|ELR|CLN|MHS|SHF
SP000012,31,16,OXF,MYB,OXF|OXP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|BCF|GER|WRU|SRU|WCX|XNJ|MYB
SP000013,56,5,SSS,SIT,SSS|QBR|SWL|KML|SIT
SP000014,13,25,CHX,HGS,CHX|WAE|NWX|XPY|HGR|GRP|CIT|XPE|ORP|SEV|HLB|TON|HIB|TBW|FRT|WAD|SOG|ETC|RBR|BAT|CWU|WLD|XOP|SLQ|HGS
SP000015,12,7,SHF,DON,SHF|MHS|RMC|SWN|MEX|CNS|DON
SP000016,2,3,OXF,OXP,OXF|OXP|OXP
SP000017,159,6,SBP,ZEL,SBP|HDN|WJL|KNL|QPW|ZEL
SP000018,44,12,MYB,AVP,MYB|XNJ|HOH|RIC|CLW|CFO|AMR|GMN|WND|SKM|AYS|AVP
SP000019,6,17,XHZ,WWR,XHZ|XIC|DLJ|HGG|HOX|SDC|ZLW|SDE|WPE|ROE|ZCW|SQE|QRP|DMK|CLP|XVJ|WWR
SP000020,68,15,DFD,CHX,DFD|XRT|CRY|BXY|AYP|SID|NEH|MTG|LEE|HGR|XPY|LEW|NWX|WAE|CHX
SP000021,8,19,CHX,HGS,CHX|WAE|NWX|XPY|HGR|GRP|CIT|XPE|ORP|SEV|TON|HIB|TBW|WAD|RBR|BAT|XOP|SLQ|HGS
SP000022,2,3,OXP,OXF,OXP|OXP|OXF
SP000023,138,15,DLJ,WWR,DLJ|HGG|HOX|SDC|ZLW|SDE|WPE|ROE|ZCW|SQE|QRP|DMK|CLP|XVJ|WWR
SP000024,26,11,MYB,AYS,MYB|XNJ|HOH|RIC|CLW|CFO|AMR|GMN|WND|SKM|AYS
SP000025,138,15,WWR,DLJ,WWR|XVJ|CLP|DMK|QRP|SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ
SP000026,28,4,BNE,MAI,BNE|COO|FZP|MAI
SP000027,2,21,CDF,BHM,CDF|NWP|STJ|CDT|CPW|LYD|GCR|CNM|ASC|XAY|WOS|DTW|HBY|KID|BKD|SBJ|ROW|SMW|XGJ|XOS|BHM
SP000028,4,16,BAK,DLJ,BAK|WWR|XVJ|CLP|DMK|QRP|SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ
SP000029,24,5,MLW,MAI,MLW|BNE|COO|FZP|MAI
SP000030,56,5,SIT,SSS,SIT|KML|SWL|QBR|SSS
SP000031,2,20,CHX,HGS,CHX|WAE|NWX|XPY|HGR|GRP|CIT|XPE|ORP|SEV|TON|HIB|TBW|WAD|RBR|BAT|WLD|XOP|SLQ|HGS
SP000032,2,15,YRK,BDT,YRK|ULL|CHF|SIE|SBY|HOW|GBD|BUH|HUL|CGM|BEV|HUT|DRF|NFN|BDT
SP000033,6,10,BRI,WOS,BRI|FIT|BPW|YAE|CDU|GCR|CNM|ASC|XAY|WOS
SP000034,28,26,SSD,BHM,SSD|AUD|XSP|CMS|CBG|CMB|WBC|ELY|XYE|MNE|MCH|WLE|PBO|SMD|XMJ|OKM|MMO|LEI|HNK|NUN|XQW|CEH|WTO|XLX|XOZ|BHM
SP000035,31,16,MYB,OXF,MYB|XNJ|WCX|SRU|WRU|GER|BCF|HWY|SDR|PRR|HDM|XJV|XGY|BIT|OXP|OXF
SP000036,2,7,HNW,XCN,HNW|HNC|AIR|SHS|XJB|LVG|XCN
SP000037,14,5,SWI,WSB,SWI|CPM|MKM|TRO|WSB
SP000038,5,11,EXD,EXM,EXD|EXC|SJP|POL|DIG|NCO|TOP|EXN|LYC|LYM|EXM
