station_name,crs,nlc,slug,latitude,longitude,operator_code,operator_name,minimum_connection_time,platform_count,staffing_level,step_free_category,word_count,first_word,last_word,character_count,initial_letter,final_letter,contains_hyphen,contains_apostrophe,contains_digits,starts_with_the,starts_with_st,contains_and,contains_central,contains_parkway,contains_junction,is_request_stop,is_interchange,route_count,service_count,is_terminus,is_branch_line,is_mainline,primary_hub,canonical_time_to_hub,route_groups,service_density,route_diversity_band,region,word_count_band,is_coastal,station_id,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Aigburth,AIG,225500,aigburth,53.3645833,-2.927160737,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",1,Aigburth,Aigburth,8,A,H,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Hunts Cross Line'],,single,Hunts Cross Line,single,False,MER0001,MER0001,,,,,False,
Ainsdale,ANS,235000,ainsdale,53.60183287,-3.042669326,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Ainsdale,Ainsdale,8,A,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,single,True,MER0002,MER0002,,,,,False,
Aintree,AIN,212500,aintree,53.47400907,-2.956664741,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Aintree,Aintree,7,A,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ormskirk Line'],,single,Ormskirk Line,single,False,MER0003,MER0003,,,,,False,
Aughton Park,AUG,221500,aughton-park,53.55448798,-2.895078195,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",2,Aughton,Park,12,A,K,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ormskirk Line'],,single,Ormskirk Line,multiple,False,MER0004,MER0004,,,,,False,
Bache,BAC,218700,bache,53.20933376,-2.892360673,ME,Merseyrail,5,2.0,Unstaffed,"B2, (refer to quick reference guide)",1,Bache,Bache,5,B,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Chester Line'],,single,Chester Line,single,False,MER0005,MER0005,,,,,False,
Bank Hall,BAH,223800,bank-hall,53.43780206,-2.987464984,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",2,Bank,Hall,9,B,L,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,multiple,True,MER0006,MER0006,,,,,False,
Bebington,BEB,218800,bebington,53.35767221,-3.003642726,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Bebington,Bebington,9,B,N,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,single,True,MER0007,MER0007,,,,,False,
Bidston,BID,213600,bidston,53.40914752,-3.078570263,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",1,Bidston,Bidston,7,B,N,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,single,True,MER0008,MER0008,,,,,False,
Birkdale,BDL,235200,birkdale,53.63353433,-3.014715579,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Birkdale,Birkdale,8,B,E,False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,single,False,MER0009,MER0009,,,,,False,
Birkenhead Central,BKC,221700,birkenhead-central,53.38900094,-3.019416498,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Birkenhead,Central,18,B,L,False,False,False,False,False,False,True,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,multiple,True,MER0010,MER0010,,,,,False,
Birkenhead Hamilton Square,BKQ,221900,birkenhead-hamilton-square,53.39471293,-3.013687789,ME,Merseyrail,5,3.0,Full Time,"A, Compliant step-free access to all platform(s)",3,Birkenhead,Square,26,B,E,False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,multiple,False,MER0011,MER0011,,,,,False,
Birkenhead North,BKN,214500,birkenhead-north,53.40484222,-3.057401666,ME,Merseyrail,5,3.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Birkenhead,North,16,B,H,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,multiple,True,MER0012,MER0012,,,,,False,
Birkenhead Park,BKP,222000,birkenhead-park,53.3978198,-3.039179402,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Birkenhead,Park,15,B,K,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,multiple,True,MER0013,MER0013,,,,,False,
Blundellsands & Crosby,BLN,212300,blundellsands-crosby,53.48769659,-3.03986789,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",3,Blundellsands,Crosby,22,B,Y,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,multiple,True,MER0014,MER0014,,,,,False,
Bootle New Strand,BNW,219500,bootle-new-strand,53.45301817,-2.995347712,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",3,Bootle,Strand,17,B,D,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,multiple,True,MER0015,MER0015,,,,,False,
Bootle Oriel Road,BOT,223900,bootle-oriel-road,53.44762574,-2.995221639,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",3,Bootle,Road,17,B,D,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,multiple,True,MER0016,MER0016,,,,,False,
Bromborough,BOM,219000,bromborough,53.32184733,-2.987788553,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",1,Bromborough,Bromborough,11,B,H,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,single,True,MER0017,MER0017,,,,,False,
Bromborough Rake,BMR,219100,bromborough-rake,53.32992372,-2.989476735,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Bromborough,Rake,16,B,E,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,multiple,True,MER0018,MER0018,,,,,False,
Brunswick,BRW,362300,brunswick,53.38217523,-2.975653248,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Brunswick,Brunswick,9,B,K,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Hunts Cross Line'],,single,Hunts Cross Line,single,False,MER0019,MER0019,,,,,False,
Capenhurst,CPU,218600,capenhurst,53.26018901,-2.942291644,ME,Merseyrail,5,2.0,Unstaffed,"B2, (refer to quick reference guide)",1,Capenhurst,Capenhurst,10,C,T,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Chester Line'],,single,Chester Line,single,False,MER0020,MER0020,,,,,False,
Conway Park,CNP,362400,conway-park,53.39337776,-3.022679178,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Conway,Park,11,C,K,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,multiple,True,MER0021,MER0021,,,,,False,
