station_name,crs,nlc,slug,latitude,longitude,operator_code,operator_name,minimum_connection_time,platform_count,staffing_level,step_free_category
Aigburth,AIG,225500,aigburth,53.3645833,-2.927160737,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Ainsdale,ANS,235000,ainsdale,53.60183287,-3.042669326,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Aintree,AIN,212500,aintree,53.47400907,-2.956664741,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Aughton Park,AUG,221500,aughton-park,53.55448798,-2.895078195,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Bache,BAC,218700,bache,53.20933376,-2.892360673,ME,Merseyrail,5,2.0,Unstaffed,"B2, (refer to quick reference guide)"
Bank Hall,BAH,223800,bank-hall,53.43780206,-2.987464984,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Bebington,BEB,218800,bebington,53.35767221,-3.003642726,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Bidston,BID,213600,bidston,53.40914752,-3.078570263,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Birkdale,BDL,235200,birkdale,53.63353433,-3.014715579,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Birkenhead Central,BKC,221700,birkenhead-central,53.38900094,-3.019416498,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Birkenhead Hamilton Square,BKQ,221900,birkenhead-hamilton-square,53.39471293,-3.013687789,ME,Merseyrail,5,3.0,Full Time,"A, Compliant step-free access to all platform(s)"
Birkenhead North,BKN,214500,birkenhead-north,53.40484222,-3.057401666,ME,Merseyrail,5,3.0,Full Time,"A, Compliant step-free access to all platform(s)"
Birkenhead Park,BKP,222000,birkenhead-park,53.3978198,-3.039179402,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Blundellsands & Crosby,BLN,212300,blundellsands-crosby,53.48769659,-3.03986789,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Bootle New Strand,BNW,219500,bootle-new-strand,53.45301817,-2.995347712,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Bootle Oriel Road,BOT,223900,bootle-oriel-road,53.44762574,-2.995221639,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Bromborough,BOM,219000,bromborough,53.32184733,-2.987788553,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Bromborough Rake,BMR,219100,bromborough-rake,53.32992372,-2.989476735,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Brunswick,BRW,362300,brunswick,53.38217523,-2.975653248,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Capenhurst,CPU,218600,capenhurst,53.26018901,-2.942291644,ME,Merseyrail,5,2.0,Unstaffed,"B2, (refer to quick reference guide)"
Conway Park,CNP,362400,conway-park,53.39337776,-3.022679178,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Cressington,CSG,222500,cressington,53.35876717,-2.912008275,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Eastham Rake,ERA,212800,eastham-rake,53.30759993,-2.981171169,ME,Merseyrail,5,2.0,Full Time,"B3, step-free access only to some platforms"
Ellesmere Port,ELP,212100,ellesmere-port,53.28220693,-2.896427988,ME,Merseyrail,5,2.0,Part Time,"B3, step-free access only to some platforms"
Fazakerley,FAZ,212600,fazakerley,53.46878354,-2.93545612,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Formby,FBY,235400,formby,53.55349222,-3.070916313,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
