station_name,route_group
Liverpool Central,Southport Line
Moorfields,Southport Line
Sandhills,Southport Line
Bank Hall,Southport Line
Bootle New Strand,Southport Line
Bootle Oriel Road,Southport Line
Seaforth & Litherland,Southport Line
Waterloo,Southport Line
Blundellsands & Crosby,Southport Line
Hall Road,Southport Line
Hightown,Southport Line
Formby,Southport Line
Freshfield,Southport Line
Ainsdale,Southport Line
Hillside,Southport Line
Southport,Southport Line
Liverpool Central,Ormskirk Line
Moorfields,Ormskirk Line
Sandhills,Ormskirk Line
Walton,Ormskirk Line
Rice Lane,Ormskirk Line
Fazakerley,Ormskirk Line
Aintree,Ormskirk Line
Old Roan,Ormskirk Line
Maghull,Ormskirk Line
Maghull North,Ormskirk Line
Town Green,Ormskirk Line
Aughton Park,Ormskirk Line
Ormskirk,Ormskirk Line
Liverpool Central,Headbolt Lane Line
Moorfields,Headbolt Lane Line
Sandhills,Headbolt Lane Line
Walton,Headbolt Lane Line
Rice Lane,Headbolt Lane Line
Fazakerley,Headbolt Lane Line
Kirkby,Headbolt Lane Line
Headbolt Lane,Headbolt Lane Line
Liverpool Central,Hunts Cross Line
Brunswick,Hunts Cross Line
St Michaels,Hunts Cross Line
Aigburth,Hunts Cross Line
Cressington,Hunts Cross Line
Liverpool South Parkway,Hunts Cross Line
Hunts Cross,Hunts Cross Line
Liverpool Central,West Kirby Line
Moorfields,West Kirby Line
James Street,West Kirby Line
Hamilton Square,West Kirby Line
Birkenhead Central,West Kirby Line
Green Lane,West Kirby Line
Rock Ferry,West Kirby Line
Bebington,West Kirby Line
Port Sunlight,West Kirby Line
Spital,West Kirby Line
Bromborough,West Kirby Line
Bromborough Rake,West Kirby Line
Eastham Rake,West Kirby Line
Hooton,West Kirby Line
Leasowe,West Kirby Line
Moreton,West Kirby Line
Meols,West Kirby Line
Manor Road,West Kirby Line
Hoylake,West Kirby Line
West Kirby,West Kirby Line
Liverpool Central,New Brighton Line
Moorfields,New Brighton Line
James Street,New Brighton Line
Hamilton Square,New Brighton Line
Conway Park,New Brighton Line
Birkenhead Park,New Brighton Line
Birkenhead North,New Brighton Line
Bidston,New Brighton Line
Wallasey Village,New Brighton Line
Wallasey Grove Road,New Brighton Line
New Brighton,New Brighton Line
Liverpool Central,Chester Line
Moorfields,Chester Line
James Street,Chester Line
Hamilton Square,Chester Line
Birkenhead Central,Chester Line
Green Lane,Chester Line
Rock Ferry,Chester Line
Bebington,Chester Line
Port Sunlight,Chester Line
Spital,Chester Line
Bromborough,Chester Line
Bromborough Rake,Chester Line
Eastham Rake,Chester Line
Hooton,Chester Line
Capenhurst,Chester Line
Bache,Chester Line
Chester,Chester Line
Liverpool Central,Ellesmere Port Line
Moorfields,Ellesmere Port Line
James Street,Ellesmere Port Line
Hamilton Square,Ellesmere Port Line
Birkenhead Central,Ellesmere Port Line
Green Lane,Ellesmere Port Line
Rock Ferry,Ellesmere Port Line
Bebington,Ellesmere Port Line
Port Sunlight,Ellesmere Port Line
Spital,Ellesmere Port Line
Bromborough,Ellesmere Port Line
Bromborough Rake,Ellesmere Port Line
Eastham Rake,Ellesmere Port Line
Hooton,Ellesmere Port Line
Little Sutton,Ellesmere Port Line
Overpool,Ellesmere Port Line
Ellesmere Port,Ellesmere Port Line
