station_id,network,route_station_id,route_group,crs,station_name
NO_000001,Northern,NO0001,,ACR,Accrington
NO_000002,Northern,NO0002,,ACK,Acklington
NO_000003,Northern,NO0003,,ADC,Adlington (Cheshire)
NO_000004,Northern,NO0004,,ADL,Adlington (Lancashire)
NO_000005,Northern,NO0005,,AWK,Adwick
NO_000006,Northern,NO0006,,ALD,Alderley Edge
NO_000007,Northern,NO0007,,ALW,Allens West
NO_000008,Northern,NO0008,,ALM,Alnmouth
NO_000009,Northern,NO0009,,ALP,Althorpe
NO_000010,Northern,NO0010,,ALT,Altrincham
NO_000011,Northern,NO0011,,AFV,Ansdell & Fairhaven
NO_000012,Northern,NO0012,,APY,Apperley Bridge
NO_000013,Northern,NO0013,,APP,Appleby
NO_000014,Northern,NO0014,,APB,Appley Bridge
NO_000015,Northern,NO0015,,ADK,Ardwick
NO_000016,Northern,NO0016,,AWT,Armathwaite
NO_000017,Northern,NO0017,,ARN,Arnside
NO_000018,Northern,NO0018,,ARR,Arram
NO_000019,Northern,NO0019,,ABY,Ashburys
NO_000020,Northern,NO0020,,ASL,Ashington
NO_000021,Northern,NO0021,,ASY,Ashley
NO_000022,Northern,NO0022,,AHN,Ashton-under-Lyne
NO_000023,Northern,NO0023,,ASK,Askam
NO_000024,Northern,NO0024,,ASP,Aspatria
NO_000025,Northern,NO0025,,ATN,Atherton
NO_000026,Northern,NO0026,,BLD,Baildon
NO_000027,Northern,NO0027,,BMB,Bamber Bridge
NO_000028,Northern,NO0028,,BAM,Bamford
NO_000029,Northern,NO0029,,BLL,Bardon Mill
NO_000030,Northern,NO0030,,BAR,Bare Lane
NO_000031,Northern,NO0031,,BNY,Barnsley
NO_000032,Northern,NO0032,,BIF,Barrow-in-Furness
NO_000033,Northern,NO0033,,BTL,Batley
NO_000034,Northern,NO0034,,BTT,Battersby
NO_000035,Northern,NO0035,,BEJ,Bedlington
NO_000036,Northern,NO0036,,BLV,Belle Vue
NO_000037,Northern,NO0037,,BEM,Bempton
NO_000038,Northern,NO0038,,BEY,Ben Rhydding
