crs,county
ANG,West Sussex
,
BAB,West Sussex
BAL,England
BAA,West Sussex
BSK,Hampshire
BBL,Kent
BAT,East Sussex
BRK,East Sussex
BEX,East Sussex
,
,
BOH,West Sussex
BTN,Brighton and Hove
BUG,West Sussex
,
CSH,England
CCH,West Sussex
,
CLJ,England
CLL,East Sussex
COB,East Sussex
CSA,England
CDS,England
,
,
,
,
,
DNG,Kent
DUR,
ELD,Surrey
ECR,Greater London
,
,
EBN,East Sussex
,
EMS,
,
ETC,
EYN,West Sussex
FMR,
FRM,Hampshire
FNR,
,
FSB,West Sussex
FOD,West Sussex
FRT,
FTN,Hampshire
GTW,
GLY,
GBS,West Sussex
HCB,England
HMD,East Sussex
HSK,West Sussex
HGS,East Sussex
HAV,Hampshire
HHE,West Sussex
HDE,Hampshire
,
HIB,Kent
HLB,Kent
HLS,England
,
HOR,Surrey
,
HOV,Brighton and Hove
,
KPA,England
LAC,West Sussex
LWS,East Sussex
,
LIT,West Sussex
LBG,England
LRB,Brighton and Hove
VIC,England
WAT,Greater London
MHM,Surrey
MTC,Greater London
MIJ,Greater London
MCB,
NRB,
NSB,
,
OTF,West Sussex
,
PEV,East Sussex
PLG,East Sussex
PTC,Hampshire
PLD,
PMS,England
PMH,England
PRP,Brighton and Hove
PUR,England
RDH,Surrey
RBR,East Sussex
SAF,Surrey
SRS,England
SEV,Kent
SPB,England
SEH,Kent
SSE,West Sussex
SCY,England
SOU,England
SOB,West Sussex
SWK,West Sussex
SDN,England
SLQ,East Sussex
,
SOG,East Sussex
STE,England
SRC,Greater London
SRH,Greater London
SUO,
SAY,
SNW,
TTH,
TBD,Greater London
TON,Greater London
TUH,
TBW,Greater London
,
,
WAD,East Sussex
,
WSW,England
,
WBP,England
WNW,England
WLD,East Sussex
,
WWO,West Sussex
,
WIN,Hampshire
WVF,West Sussex
,
WRH,West Sussex
