crs,region
CHX,South East London
CST,South East London
LBG,South East London
VIC,South East London
WAE,South East London
STP,South East London
SFA,South East London
LEW,South East London
LAD,South East London
CFB,South East London
NWX,South East London
SAJ,South East London
PLU,South East London
WWA,South East London
ABW,South East London
SID,South East London

DFD,North Kent
SCG,North Kent
GNH,North Kent
SWM,North Kent
NFL,North Kent
EBD,North Kent
SAY,North Kent

SOO,Medway
MDW,Medway
MDB,Medway
YAL,Medway
CBE,Canterbury District
CBW,Canterbury District
CTF,South East London
CHG,Weald
CTN,South East London
CRT,Canterbury District
CTM,Medway
CLD,South East London
CSW,Canterbury District
CIL,Canterbury District
CIT,South East London
CTK,South East London
CLK,South East London
CRY,South East London
CFT,South East London
CWU,Weald
CUX,Medway
DEA,East Kent
DMK,South East London
DEP,South East London
DVP,East Kent
DMP,Thanet
DNG,Weald
EFL,Weald
EML,Medway
EDN,South East London
EPH,South East London
ELE,South East London
ESD,South East London
ELW,South East London
ERH,South East London
EYN,Weald
FCN,South East London
FNR,Weald
ZFD,South East London
FAV,East Kent
FKC,East Kent
FKW,East Kent
FRT,Weald
GLM,Medway
GRV,North Kent
GNW,South East London
GRP,South East London
HAI,Medway
HST,East Kent
HRH,Weald
HYS,South East London
HCN,Weald
HNB,Canterbury District
HNH,South East London
HIB,Weald
HGM,North Kent
HLB,Weald
HBN,Weald
KSN,East Kent
KMS,Weald
KML,Medway
KTH,South East London
KDB,South East London
KCK,Weald
LEE,South East London
LEN,Weald
BFR,South East London
LGF,North Kent
LGJ,South East London
LSY,South East London
MDE,Weald
MRN,Weald
MAR,Thanet
MTM,East Kent
MEP,North Kent
MSR,Thanet
MTG,South East London
NBC,South East London
NEH,South East London
NHE,Medway
NGT,Medway
NHD,South East London
ORE,East Kent
ORP,South East London
OTF,Weald
PDW,Weald
PMR,South East London
PNE,South East London
PET,South East London
PLC,Weald
QBR,Medway
RAI,Medway
RAM,Thanet
RVB,South East London
RBR,Weald
RTR,Medway
RYE,East Kent
SDG,East Kent
SDW,East Kent
SEG,Canterbury District
SEV,Weald
SSS,Medway
SPH,East Kent
SEH,Weald
SRT,South East London
SIT,Medway
SGR,South East London
SDA,Medway
SWO,Canterbury District
SOR,North Kent
SLQ,East Kent
SMY,South East London
STU,Canterbury District
SUP,South East London
SWL,Canterbury District
SYH,South East London
TEY,Canterbury District
THP,Thanet
TON,Weald
TBW,Weald
WAD,Weald
WAM,East Kent
WTR,Medway
WLI,South East London
WDU,South East London
WMA,Medway
WLD,East Kent
WWI,South East London
WCB,South East London
WHA,East Kent
WGA,Thanet
WHI,Canterbury District
WWD,South East London
WYE,East Kent
HGR,South East London
MZH,South East London
SPU,Weald
SOG,Weald
BMN,South East London
BMS,South East London
ETC,Weald
HGS,East Kent
AYH,Canterbury District
BMG,Medway
BNH,South East London
BBL,Weald
BAT,Weald
BSD,Weald
BEC,South East London
BKJ,South East London
BKS,Canterbury District
BGM,South East London
BEG,Medway
BVD,South East London
BXY,South East London
BXH,South East London
BKL,South East London
BCH,Thanet
BKH,South East London
BRG,Weald
BRX,South East London
BSR,Thanet
ADM,Canterbury District
AYP,South East London
APD,East Kent
AFK,East Kent
AYL,Medway
