station_id,crs,station_name,region
uk_000350,ABW,Abbey Wood,South East London
uk_000484,ADM,Adisham,Canterbury District
uk_000394,AYP,Albany Park,South East London
uk_000497,APD,Appledore,East Kent
uk_000360,AFK,Ashford International,East Kent
uk_000420,AYL,Aylesford,Medway
uk_000479,AYH,Aylesham,Canterbury District
uk_000465,BMG,Barming,Medway
uk_000429,BNH,Barnehurst,South East London
uk_000006,BBL,Bat & Ball,Weald
uk_000007,BAT,Battle,Weald
uk_000453,BSD,Bearsted,Weald
uk_000430,BEC,Beckenham Hill,South East London
uk_000352,BKJ,Beckenham Junction,South East London
uk_000490,BKS,Bekesbourne,Canterbury District
uk_000446,BGM,Bellingham,South East London
uk_000409,BEG,Beltring,Medway
uk_000356,BVD,Belvedere,South East London
uk_000404,BXY,Bexley,South East London
uk_000405,BXH,Bexleyheath,South East London
uk_000353,BKL,Bickley,South East London
uk_000491,BCH,Birchington-On-Sea,Thanet
uk_000447,BKH,Blackheath,South East London
uk_000414,BRG,Borough Green & Wrotham,Weald
uk_000342,BRX,Brixton,South East London
uk_000508,BSR,Broadstairs,Thanet
uk_000406,BMN,Bromley North,South East London
uk_000448,BMS,Bromley South,South East London
uk_000503,CBE,Canterbury East,Canterbury District
uk_000457,CBW,Canterbury West,Canterbury District
uk_000368,CTF,Catford,South East London
uk_000331,CFB,Catford Bridge,South East London
uk_000468,CHG,Charing,Weald
uk_000449,CTN,Charlton,South East London
uk_000475,CRT,Chartham,Canterbury District
uk_000461,CTM,Chatham,Medway
uk_000351,CLD,Chelsfield,South East London
uk_000480,CSW,Chestfield & Swalecliffe,Canterbury District
uk_000489,CIL,Chilham,Canterbury District
uk_000407,CIT,Chislehurst,South East London
uk_000344,CTK,City Thameslink,South East London
uk_000376,CLK,Clock House,South East London
uk_000388,CRY,Crayford,South East London
uk_000434,CFT,Crofton Park,South East London
uk_000366,CWU,Crowhurst,Weald
uk_000410,CUX,Cuxton,Medway
uk_000359,DFD,Dartford,North Kent
uk_000505,DEA,Deal,East Kent
uk_000389,DMK,Denmark Hill,South East London
uk_000400,DEP,Deptford,South East London
uk_000485,DVP,Dover Priory,East Kent
uk_000509,DMP,Dumpton Park,Thanet
uk_000020,DNG,Dunton Green,Weald
uk_000435,EFL,East Farleigh,Weald
uk_000460,EML,East Malling,Medway
uk_000336,EBD,Ebbsfleet International,North Kent
uk_000395,EDN,Eden Park,South East London
uk_000369,EPH,Elephant & Castle,South East London
uk_000415,ELE,Elmers End,South East London
uk_000442,ESD,Elmstead Woods,South East London
uk_000425,ELW,Eltham,South East London
uk_000357,ERH,Erith,South East London
uk_000026,ETC,Etchingham,Weald
uk_000027,EYN,Eynsford,Weald
uk_000396,FCN,Falconwood,South East London
uk_000030,FNR,Farningham Road,Weald
uk_000337,ZFD,Farringdon,South East London
uk_000470,FAV,Faversham,East Kent
uk_000499,FKC,Folkestone Central,East Kent
uk_000481,FKW,Folkestone West,East Kent
uk_000033,FRT,Frant,Weald
uk_000466,GLM,Gillingham (Kent),Medway
uk_000454,GRV,Gravesend,North Kent
uk_000370,GNH,Greenhithe For Bluewater,North Kent
uk_000401,GNW,Greenwich,South East London
uk_000416,GRP,Grove Park,South East London
uk_000431,HAI,Halling,Medway
uk_000498,HST,Ham Street,East Kent
uk_000463,HRH,Harrietsham,Weald
uk_000041,HGS,Hastings,East Kent
uk_000443,HYS,Hayes,South East London
uk_000432,HCN,Headcorn,Weald
uk_000476,HNB,Herne Bay,Canterbury District
uk_000436,HNH,Herne Hill,South East London
uk_000045,HIB,High Brooms,Weald
uk_000455,HGM,Higham,North Kent
uk_000046,HLB,Hildenborough,Weald
uk_000398,HGR,Hither Green,South East London
uk_000464,HBN,Hollingbourne,Weald
uk_000506,KSN,Kearsney,East Kent
uk_000377,KMS,Kemsing,Weald
uk_000458,KML,Kemsley,Medway
uk_000349,KTH,Kent House,South East London
uk_000427,KDB,Kidbrooke,South East London
uk_000444,KCK,Knockholt,Weald
uk_000332,LAD,Ladywell,South East London
uk_000367,LEE,Lee,South East London
uk_000469,LEN,Lenham,Weald
uk_000330,LEW,Lewisham,South East London
uk_000345,BFR,London Blackfriars,South East London
uk_000054,LBG,London Bridge,South East London
uk_000325,CST,London Cannon Street,South East London
uk_000326,CHX,London Charing Cross,South East London
uk_000056,VIC,London Victoria,South East London
uk_000343,WAE,London Waterloo (East),South East London
uk_000433,LGF,Longfield,North Kent
uk_000381,LGJ,Loughborough Junction,South East London
uk_000399,LSY,Lower Sydenham,South East London
uk_000390,MDB,Maidstone Barracks,Medway
uk_000382,MDE,Maidstone East,Weald
uk_000383,MDW,Maidstone West,Medway
uk_000450,MRN,Marden,Weald
uk_000510,MAR,Margate,Thanet
uk_000492,MTM,Martin Mill,East Kent
uk_000422,MZH,Maze Hill,South East London
uk_000451,MEP,Meopham,North Kent
uk_000500,MSR,Minster,Thanet
uk_000417,MTG,Mottingham,South East London
uk_000428,NBC,New Beckenham,South East London
uk_000335,NWX,New Cross,South East London
uk_000378,NEH,New Eltham,South East London
uk_000411,NHE,New Hythe,Medway
uk_000459,NGT,Newington,Medway
uk_000361,NFL,Northfleet,North Kent
uk_000437,NHD,Nunhead,South East London
uk_000478,ORE,Ore,East Kent
uk_000346,ORP,Orpington,South East London
uk_000064,OTF,Otford,Weald
uk_000372,PDW,Paddock Wood,Weald
uk_000438,PMR,Peckham Rye,South East London
uk_000347,PNE,Penge East,South East London
uk_000423,PET,Petts Wood,South East London
uk_000391,PLC,Pluckley,Weald
uk_000339,PLU,Plumstead,South East London
uk_000462,QBR,Queenborough,Medway
uk_000467,RAI,Rainham (Kent),Medway
uk_000511,RAM,Ramsgate,Thanet
uk_000439,RVB,Ravensbourne,South East London
uk_000074,RBR,Robertsbridge,Weald
uk_000440,RTR,Rochester,Medway
uk_000513,RYE,Rye,East Kent
uk_000501,SDG,Sandling,East Kent
uk_000486,SDW,Sandwich,East Kent
uk_000471,SEG,Selling,Canterbury District
uk_000077,SEV,Sevenoaks,Weald
uk_000472,SSS,Sheerness-On-Sea,Medway
uk_000507,SPH,Shepherds Well,East Kent
uk_000079,SEH,Shoreham (Kent),Weald
uk_000340,SRT,Shortlands,South East London
uk_000387,SID,Sidcup,South East London
uk_000473,SIT,Sittingbourne,Medway
uk_000373,SGR,Slade Green,South East London
uk_000452,SDA,Snodland,Medway
uk_000487,SWO,Snowdown,Canterbury District
uk_000392,SOR,Sole Street,North Kent
uk_000338,SAJ,St Johns,South East London
uk_000086,SLQ,St Leonards Warrior Square,East Kent
uk_000374,SMY,St Mary Cray,South East London
uk_000328,STP,St Pancras International,South East London
uk_000412,SPU,Staplehurst,Weald
uk_000393,SCG,Stone Crossing,North Kent
uk_000087,SOG,Stonegate,Weald
uk_000329,SFA,Stratford International,South East London
uk_000364,SOO,Strood,Medway
uk_000502,STU,Sturry,Canterbury District
uk_000380,SUP,Sundridge Park,South East London
uk_000493,SWL,Swale,Canterbury District
uk_000092,SAY,Swanley,North Kent
uk_000358,SWM,Swanscombe,North Kent
uk_000333,SYH,Sydenham Hill,South East London
uk_000482,TEY,Teynham,Canterbury District
