station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Adisham,ADM,Southeastern,,,51.24120466,1.19910096,,,,,,,,,,,,,,,,SO_000001,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000001,,,,,False,
Albany Park,AYP,Southeastern,,,51.43580211,0.126411748,,,,,,,,,,,,,,,,SO_000002,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000002,,,,,False,
Ashford International,AFK,Southeastern,,,51.14370672,0.876213658,,,,,,,,,,,,,,,,SO_000003,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000003,,,,,False,
Aylesford,AYL,Southeastern,,,51.30131524,0.466175982,,,,,,,,,,,,,,,,SO_000004,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000004,,,,,False,
Aylesham,AYH,Southeastern,,,51.227257,1.209464797,,,,,,,,,,,,,,,,SO_000005,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000005,,,,,False,
Barming,BMG,Southeastern,,,51.2848921,0.478963755,,,,,,,,,,,,,,,,SO_000006,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000006,,,,,False,
Barnehurst,BNH,Southeastern,,,51.46484925,0.160876915,,,,,,,,,,,,,,,,SO_000007,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000007,,,,,False,
Bat & Ball,BBL,Southeastern,,,51.28975825,0.194239522,,,,,,,,,,,,,,,,SO_000008,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000008,,,,,False,
Battle,BAT,Southeastern,,,50.91291092,0.494707026,,,,,,,,,,,,,,,,SO_000009,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000009,,,,,False,
Bearsted,BSD,Southeastern,,,51.27581786,0.577588734,,,,,,,,,,,,,,,,SO_000010,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000010,,,,,False,
Beckenham Junction,BKJ,Southeastern,,,51.41150888,-0.027152,,,,,,,,,,,,,,,,SO_000011,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000011,,,,,False,
Bekesbourne,BKS,Southeastern,,,51.26136142,1.136717912,,,,,,,,,,,,,,,,SO_000012,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000012,,,,,False,
Beltring,BEG,Southeastern,,,51.20470355,0.403498536,,,,,,,,,,,,,,,,SO_000013,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000013,,,,,False,
Belvedere,BVD,Southeastern,,,51.49199068,0.152076006,,,,,,,,,,,,,,,,SO_000014,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000014,,,,,False,
Bexley,BXY,Southeastern,,,51.44080011,0.148229166,,,,,,,,,,,,,,,,SO_000015,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000015,,,,,False,
Bexleyheath,BXH,Southeastern,,,51.46355285,0.133460723,,,,,,,,,,,,,,,,SO_000016,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000016,,,,,False,
