station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Aldrington,AGT,Southern,,,50.83636472,-0.181209698,,,,,,,,,,,,,,,,SO_000001,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000001,,,,,False,
Amberley,AMY,Southern,,,50.896668,-0.541989047,,,,,,,,,,,,,,,,SO_000002,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000002,,,,,False,
Angmering,ANG,Southern,,,50.8165699,-0.4893894,,,,,,,,,,,,,,,,SO_000003,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000003,,,,,False,
Appledore (Kent),APD,Southern,,,51.0332352,0.816355536,,,,,,,,,,,,,,,,SO_000004,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000004,,,,,False,
Arundel,ARU,Southern,,,50.84820145,-0.546171346,,,,,,,,,,,,,,,,SO_000005,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000005,,,,,False,
Ashtead,AHD,Southern,,,51.31788158,-0.308147338,,,,,,,,,,,,,,,,SO_000006,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000006,,,,,False,
Ashurst (Kent),AHS,Southern,,,51.12865582,0.152661963,,,,,,,,,,,,,,,,SO_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000007,,,,,False,
Balcombe,BAB,Southern,,,51.05551334,-0.136932431,,,,,,,,,,,,,,,,SO_000008,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000008,,,,,False,
Balham,BAL,Southern,,,51.44322754,-0.152421221,,,,,,,,,,,,,,,,SO_000009,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000009,,,,,False,
Banstead,BAD,Southern,,,51.32934844,-0.213158063,,,,,,,,,,,,,,,,SO_000010,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000010,,,,,False,
Barnham,BAA,Southern,,,50.83089289,-0.639679689,,,,,,,,,,,,,,,,SO_000011,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000011,,,,,False,
Battersea Park,BAK,Southern,,,51.47733308,-0.148162967,,,,,,,,,,,,,,,,SO_000012,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000012,,,,,False,
Belmont,BLM,Southern,,,51.34413926,-0.199487206,,,,,,,,,,,,,,,,SO_000013,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000013,,,,,False,
Berwick (Sussex),BRK,Southern,,,50.84037214,0.166026428,,,,,,,,,,,,,,,,SO_000014,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000014,,,,,False,
Bexhill,BEX,Southern,,,50.84103549,0.477034087,,,,,,,,,,,,,,,,SO_000015,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000015,,,,,False,
Billingshurst,BIG,Southern,,,51.01519557,-0.450295608,,,,,,,,,,,,,,,,SO_000016,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000016,,,,,False,
Birkbeck,BIK,Southern,,,51.40390126,-0.056235874,,,,,,,,,,,,,,,,SO_000017,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000017,,,,,False,
Bishopstone (Sussex),BIP,Southern,,,50.78013589,0.082763046,,,,,,,,,,,,,,,,SO_000018,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000018,,,,,False,
Bognor Regis,BOG,Southern,,,50.78655324,-0.676179036,,,,,,,,,,,,,,,,SO_000019,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000019,,,,,False,
Bosham,BOH,Southern,,,50.8427348,-0.847436637,,,,,,,,,,,,,,,,SO_000020,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000020,,,,,False,
Box Hill & Westhumble,BXW,Southern,,,51.25400939,-0.328478447,,,,,,,,,,,,,,,,SO_000021,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000021,,,,,False,
