station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
SR001,Angmering,ANG,,,,50.816704,-0.489559,False,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
SR002,Balcombe,BAB,,,,51.05624,-0.137881,False,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR003,Balham,BAL,,,,51.443169,-0.152403,False,,,,,,,,,,,,,,,2,2,medium,some,9.0,0-30,4,6
SR004,Barnham,BAA,,,,50.831135,-0.639627,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR005,Basingstoke,BSK,,,,51.26804,-1.086896,False,,,,,,,,,,,,,,,1,1,low,few,44.0,30-60,2,8
SR006,Bat & Ball,BBL,,,,51.289703,0.194258,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR007,Battle,BAT,,,,50.91312,0.495169,False,,,,,,,,,,,,,,,1,1,low,few,81.0,60-120,2,8
SR008,Berwick,BRK,,,,50.840569,0.164587,False,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
SR009,Bexhill,BEX,,,,50.840679,0.475678,False,,,,,,,,,,,,,,,1,1,low,few,76.5,60-120,2,8
SR010,Bosham,BOH,,,,50.843262,-0.846655,False,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
SR011,Brighton,BTN,,,,50.829659,-0.141234,True,,,,,,,,,,,,,,,3,3,medium,some,18.0,0-30,6,4
SR012,Burgess Hill,BUG,,,,50.953552,-0.127749,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
SR013,Carshalton,CSH,,,,51.367859,-0.16693,False,,,,,,,,,,,,,,,1,1,low,few,45.0,30-60,2,8
SR014,Chichester,CCH,,,,50.831821,-0.783032,False,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR015,Clapham Junction,CLJ,,,,51.464134,-0.170281,True,,,,,,,,,,,,,,,4,4,high,many,4.5,0-30,8,2
SR016,Collington,CLL,,,,50.839272,0.457142,False,,,,,,,,,,,,,,,1,1,low,few,72.0,60-120,2,8
SR017,Cooden Beach,COB,,,,50.83271,0.426969,False,,,,,,,,,,,,,,,1,1,low,few,67.5,60-120,2,8
SR018,Cosham,CSA,,,,50.841644,-1.068259,False,,,,,,,,,,,,,,,1,1,low,few,54.0,30-60,2,8
SR019,Coulsdon South,CDS,,,,51.315231,-0.13746,False,,,,,,,,,,,,,,,1,1,low,few,18.0,0-30,2,8
SR020,Dunton Green,DNG,,,,51.296425,0.171616,False,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR021,Durrington-on-Sea,DUR,,,,50.817463,-0.411463,False,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR022,Earlswood,ELD,,,,51.227631,-0.171078,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
SR023,East Croydon,ECR,,,,51.375679,-0.093335,False,,,,,,,,,,,,,,,1,1,low,few,4.5,0-30,2,8
SR024,Eastbourne,EBN,,,,50.769085,0.281847,False,,,,,,,,,,,,,,,1,1,low,few,54.0,30-60,2,8
SR025,Emsworth,EMS,,,,50.851326,-0.938784,False,,,,,,,,,,,,,,,1,1,low,few,36.0,30-60,2,8
SR026,Etchingham,ETC,,,,51.010479,0.441935,False,,,,,,,,,,,,,,,1,1,low,few,72.0,60-120,2,8
SR027,Eynsford,EYN,,,,51.362377,0.203465,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR028,Falmer,FMR,,,,50.862064,-0.087364,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR029,Fareham,FRM,,,,50.853352,-1.19162,False,,,,,,,,,,,,,,,1,1,low,few,63.0,60-120,2,8
SR030,Farningham Road,FNR,,,,51.401337,0.235533,False,,,,,,,,,,,,,,,1,1,low,few,9.0,0-30,2,8
SR031,Fishbourne,FSB,,,,50.839352,-0.815495,False,,,,,,,,,,,,,,,1,1,low,few,36.0,30-60,2,8
SR032,Ford,FOD,,,,50.829506,-0.578611,False,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR033,Frant,FRT,,,,51.104321,0.294034,False,,,,,,,,,,,,,,,1,1,low,few,58.5,30-60,2,8
SR034,Fratton,FTN,,,,50.795818,-1.073422,False,,,,,,,,,,,,,,,1,1,low,few,45.0,30-60,2,8
SR035,Gatwick Airport,GTW,,,,51.156425,-0.161022,False,,,,,,,,,,,,,,,1,1,low,few,9.0,0-30,2,8
SR036,Glynde,GLY,,,,50.859398,0.06883,False,,,,,,,,,,,,,,,1,1,low,few,36.0,30-60,2,8
SR037,Goring-by-Sea,GBS,,,,50.817753,-0.432751,False,,,,,,,,,,,,,,,1,1,low,few,36.0,30-60,2,8
SR038,Hackbridge,HCB,,,,51.378437,-0.15358,False,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
SR039,Hampden Park,HMD,,,,50.796124,0.278906,False,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
SR040,Hassocks,HSK,,,,50.923264,-0.146043,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR041,Hastings,HGS,,,,50.858288,0.57608,True,,,,,,,,,,,,,,,2,2,medium,some,85.5,60-120,4,6
SR042,Havant,HAV,,,,50.854416,-0.982763,True,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR043,Haywards Heath,HHE,,,,51.00536,-0.105717,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR044,Hedge End,HDE,,,,50.927773,-1.297056,False,,,,,,,,,,,,,,,1,1,low,few,62.0,60-120,2,8
SR045,High Brooms,HIB,,,,51.149609,0.277686,False,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
SR046,Hildenborough,HLB,,,,51.214451,0.226465,False,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
SR047,Hilsea,HLS,,,,50.828075,-1.058592,False,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
SR048,Horley,HOR,,,,51.168137,-0.161994,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR049,Hove,HOV,,,,50.835514,-0.170824,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
SR050,Kensington Olympia,KPA,,,,51.497753,-0.210189,False,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
SR051,Lancing,LAC,,,,50.827015,-0.323103,False,,,,,,,,,,,,,,,1,1,low,few,27.0,0-30,2,8
SR052,Lewes,LWS,,,,50.870281,0.012455,False,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
SR053,Littlehampton,LIT,,,,50.810226,-0.546547,False,,,,,,,,,,,,,,,1,1,low,few,36.0,30-60,2,8
SR054,London Bridge,LBG,,,,51.505035,-0.085058,True,,,,,,,,,,,,,,,1,1,low,few,0.0,,2,8
SR055,London Road (Brighton),LRB,,,,50.836773,-0.136696,False,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
SR056,London Victoria,VIC,,,,51.4966,-0.1448,True,,,,,,,,,,,,,,,2,2,medium,some,0.0,,4,6
SR057,London Waterloo,WAT,,,,51.501865,-0.111126,True,,,,,,,,,,,,,,,1,1,low,few,0.0,,2,8
