station_id,station_name
SR001,Angmering
SR002,Ashurst
SR003,Balcombe
SR004,Balham
SR005,Barnham
SR006,Bat & Ball
SR007,Battle
SR008,Berwick
SR009,Bexhill
SR010,Blackfriars
SR011,Bognor Regis
SR012,Bosham
SR013,Brighton
SR014,Burgess Hill
SR015,Buxted
SR016,Carshalton
SR017,Chichester
SR018,City Thameslink
SR019,Clapham Junction
SR020,Collington
SR021,Cooden Beach
SR022,Cosham
SR023,Coulsdon South
SR024,Cowden
SR025,Crowborough
SR026,Dorking
SR027,Dorking West
SR028,Dormans
SR029,Dunton Green
SR030,Durrington-on-Sea
SR031,Earlswood
SR032,East Croydon
SR033,East Grinstead
SR034,East Worthing
SR035,Eastbourne
SR036,Edenbridge Town
SR037,Emsworth
SR038,Eridge
SR039,Etchingham
SR040,Eynsford
SR041,Falmer
SR042,Fareham
SR043,Farningham Road
SR044,Farringdon
SR045,Fishbourne
SR046,Ford
SR047,Frant
SR048,Fratton
SR049,Gatwick Airport
SR050,Glynde
SR051,Goring-by-Sea
SR052,Hackbridge
SR053,Hampden Park
SR054,Hassocks
SR055,Hastings
SR056,Havant
SR057,Haywards Heath
SR058,Hedge End
SR059,Hever
SR060,High Brooms
SR061,Hildenborough
SR062,Hilsea
SR063,Holmwood
SR064,Horley
SR065,Horsham
SR066,Hove
SR067,Hurst Green
SR068,Kensington Olympia
SR069,Lancing
SR070,Lewes
SR071,Lingfield
SR072,Littlehampton
SR073,London Bridge
SR074,London Road (Brighton)
SR075,London Victoria
SR076,Merstham
SR077,Mitcham Eastfields
SR078,Mitcham Junction
SR079,Moulsecoomb
SR080,Norbury
SR081,Normans Bay
SR082,Ockley
SR083,Otford
SR084,Oxted
SR085,Pevensey & Westham
SR086,Polegate
SR087,Portchester
SR088,Portslade
SR089,Portsmouth & Southsea
SR090,Portsmouth Harbour
SR091,Preston Park
SR092,Purley
SR093,Redhill
SR094,Robertsbridge
SR095,Salfords
SR096,Selhurst
SR097,Sevenoaks
SR098,Shepherds Bush
SR099,Shoreham (Kent)
SR100,Shoreham-by-Sea
SR101,South Croydon
SR102,Southampton Central
SR103,Southbourne
SR104,Southwick
SR105,St Denys
SR106,St Leonards Warrior Square
SR107,St Pancras International
SR108,Stonegate
SR109,Streatham
SR110,Streatham Common
SR111,Streatham Hill
SR112,Sutton
SR113,Swanley
SR114,Swanwick
SR115,Thornton Heath
SR116,Three Bridges
SR117,Tonbridge
SR118,Tulse Hill
SR119,Tunbridge Wells
SR120,Uckfield
SR121,Upper Warlingham
SR122,Wadhurst
SR123,Wallington
SR124,Wandsworth Common
SR125,Warnham
SR126,West Brompton
SR127,West Norwood
SR128,West St Leonards
SR129,West Sutton
SR130,West Worthing
SR131,Whyteleafe
SR132,Wivelsfield
SR133,Woldingham
SR134,Worthing
