station_id,network,route_station_id,route_group,crs,station_name
TF_000001,TFW,TF0001,,ABE,Aber
TF_000002,TFW,TF0002,,ACY,Abercynon
TF_000003,TFW,TF0003,,ABA,Aberdare
TF_000004,TFW,TF0004,,AVY,Aberdovey
TF_000005,TFW,TF0005,,ABH,Abererch
TF_000006,TFW,TF0006,,AGV,Abergavenny
TF_000007,TFW,TF0007,,AGL,Abergele & Pensarn
TF_000008,TFW,TF0008,,AYW,Aberystwyth
TF_000009,TFW,TF0009,,AMF,Ammanford
TF_000010,TFW,TF0010,,BAJ,Baglan
TF_000011,TFW,TF0011,,BNG,Bangor (Gwynedd)
TF_000012,TFW,TF0012,,BGD,Bargoed
TF_000013,TFW,TF0013,,BRM,Barmouth
TF_000014,TFW,TF0014,,BRY,Barry
TF_000015,TFW,TF0015,,BYD,Barry Docks
TF_000016,TFW,TF0016,,BYI,Barry Island
TF_000017,TFW,TF0017,,BYC,Betws-y-Coed
TF_000018,TFW,TF0018,,BCG,Birchgrove
TF_000019,TFW,TF0019,,BFF,Blaenau Ffestiniog
TF_000020,TFW,TF0020,,BOR,Bodorgan
TF_000021,TFW,TF0021,,BRH,Borth
TF_000022,TFW,TF0022,,BOW,Bow Street
TF_000023,TFW,TF0023,,BGN,Bridgend
TF_000024,TFW,TF0024,,BHD,Brithdir
TF_000025,TFW,TF0025,,BNF,Briton Ferry
TF_000026,TFW,TF0026,,BME,Broome
TF_000027,TFW,TF0027,,BCK,Buckley
TF_000028,TFW,TF0028,,BUK,Bucknell
TF_000029,TFW,TF0029,,BHR,Builth Road
TF_000030,TFW,TF0030,,BYE,Bynea
TF_000031,TFW,TF0031,,CAD,Cadoxton
TF_000032,TFW,TF0032,,CGW,Caergwrle
TF_000033,TFW,TF0033,,CPH,Caerphilly
TF_000034,TFW,TF0034,,CWS,Caersws
TF_000035,TFW,TF0035,,CDT,Caldicot
TF_000036,TFW,TF0036,,CDB,Cardiff Bay
TF_000037,TFW,TF0037,,CDF,Cardiff Central
TF_000038,TFW,TF0038,,CDQ,Cardiff Queen Street
TF_000039,TFW,TF0039,,CMN,Carmarthen
TF_000040,TFW,TF0040,,CYS,Cathays
TF_000041,TFW,TF0041,,CYB,Cefn-y-Bedd
TF_000042,TFW,TF0042,,CPW,Chepstow
TF_000043,TFW,TF0043,,CTR,Chester
TF_000044,TFW,TF0044,,CRK,Chirk
TF_000045,TFW,TF0045,,CTT,Church Stretton
TF_000046,TFW,TF0046,,CIM,Cilmeri
TF_000047,TFW,TF0047,,CLR,Clarbeston Road
TF_000048,TFW,TF0048,,CUW,Clunderwen
TF_000049,TFW,TF0049,,CGN,Cogan
TF_000050,TFW,TF0050,,CWB,Colwyn Bay
TF_000051,TFW,TF0051,,CNW,Conwy
TF_000052,TFW,TF0052,,COY,Coryton
TF_000053,TFW,TF0053,,CRV,Craven Arms
TF_000054,TFW,TF0054,,CCC,Criccieth
TF_000055,TFW,TF0055,,CKY,Crosskeys
TF_000056,TFW,TF0056,,CMH,Cwmbach
TF_000057,TFW,TF0057,,CWM,Cwmbran
TF_000058,TFW,TF0058,,CYN,Cynghordy
TF_000059,TFW,TF0059,,DCT,Danescourt
TF_000060,TFW,TF0060,,DGY,Deganwy
TF_000061,TFW,TF0061,,DMG,Dinas (Rhondda)
TF_000062,TFW,TF0062,,DNS,Dinas Powys
TF_000063,TFW,TF0063,,DGL,Dingle Road
TF_000064,TFW,TF0064,,DOL,Dolau
TF_000065,TFW,TF0065,,DLG,Dolgarrog
TF_000066,TFW,TF0066,,DWD,Dolwyddelan
TF_000067,TFW,TF0067,,DVY,Dovey Junction
TF_000068,TFW,TF0068,,DYF,Dyffryn Ardudwy
TF_000069,TFW,TF0069,,EBK,Eastbrook
TF_000070,TFW,TF0070,,EBV,Ebbw Vale Parkway
TF_000071,TFW,TF0071,,EBB,Ebbw Vale Town
TF_000072,TFW,TF0072,,ECP,Energlyn & Churchill Park
TF_000073,TFW,TF0073,,FRB,Fairbourne
TF_000074,TFW,TF0074,,FRW,Fairwater
TF_000075,TFW,TF0075,,FER,Fernhill
TF_000076,TFW,TF0076,,FYS,Ferryside
TF_000077,TFW,TF0077,,FFA,Ffairfach
TF_000078,TFW,TF0078,,FGW,Fishguard & Goodwick
TF_000079,TFW,TF0079,,FGH,Fishguard Harbour
TF_000080,TFW,TF0080,,FLN,Flint
TF_000081,TFW,TF0081,,FRD,Frodsham
TF_000082,TFW,TF0082,,GMG,Garth (Bridgend County)
TF_000083,TFW,TF0083,,GTH,Garth (Powys)
TF_000084,TFW,TF0084,,GFF,Gilfach Fargoed
TF_000085,TFW,TF0085,,GCW,Glan Conwy
TF_000086,TFW,TF0086,,GOB,Gobowen
TF_000087,TFW,TF0087,,GWN,Gowerton
TF_000088,TFW,TF0088,,GTN,Grangetown (Cardiff)
TF_000089,TFW,TF0089,,GWE,Gwersyllt
TF_000090,TFW,TF0090,,HRL,Harlech
TF_000091,TFW,TF0091,,HVF,Haverfordwest
TF_000092,TFW,TF0092,,HWD,Hawarden
TF_000093,TFW,TF0093,,HWB,Hawarden Bridge
TF_000094,TFW,TF0094,,HHL,Heath High Level
TF_000095,TFW,TF0095,,HLL,Heath Low Level
TF_000096,TFW,TF0096,,HSB,Helsby
TF_000097,TFW,TF0097,,HNG,Hengoed
TF_000098,TFW,TF0098,,HFD,Hereford
TF_000099,TFW,TF0099,,HSW,Heswall
TF_000100,TFW,TF0100,,HHD,Holyhead
TF_000101,TFW,TF0101,,HPE,Hope Flintshire
TF_000102,TFW,TF0102,,HPT,Hopton Heath
TF_000103,TFW,TF0103,,JOH,Johnston (Pembs)
TF_000104,TFW,TF0104,,KWL,Kidwelly
TF_000105,TFW,TF0105,,KGT,Kilgetty
TF_000106,TFW,TF0106,,KNI,Knighton
TF_000107,TFW,TF0107,,KNU,Knucklas
TF_000108,TFW,TF0108,,LAM,Lamphey
TF_000109,TFW,TF0109,,LEO,Leominster
TF_000110,TFW,TF0110,,LVT,Lisvane & Thornhill
TF_000111,TFW,TF0111,,LLA,Llanaber
TF_000112,TFW,TF0112,,LBR,Llanbedr
TF_000113,TFW,TF0113,,LLT,Llanbister Road
TF_000114,TFW,TF0114,,LNB,Llanbradach
TF_000115,TFW,TF0115,,LLN,Llandaf
TF_000116,TFW,TF0116,,LDN,Llandanwg
TF_000117,TFW,TF0117,,LLC,Llandecwyn
TF_000118,TFW,TF0118,,LLL,Llandeilo
TF_000119,TFW,TF0119,,LLV,Llandovery
TF_000120,TFW,TF0120,,LLO,Llandrindod
TF_000121,TFW,TF0121,,LLD,Llandudno
TF_000122,TFW,TF0122,,LLJ,Llandudno Junction
TF_000123,TFW,TF0123,,LLI,Llandybie
TF_000124,TFW,TF0124,,LLE,Llanelli
TF_000125,TFW,TF0125,,LLF,Llanfairfechan
TF_000126,TFW,TF0126,,LPG,Llanfairpwll
TF_000127,TFW,TF0127,,LLG,Llangadog
TF_000128,TFW,TF0128,,LLM,Llangammarch
TF_000129,TFW,TF0129,,LLH,Llangennech
TF_000130,TFW,TF0130,,LGO,Llangynllo
TF_000131,TFW,TF0131,,LLR,Llanharan
TF_000132,TFW,TF0132,,LTH,Llanhilleth
TF_000133,TFW,TF0133,,LLS,Llanishen
TF_000134,TFW,TF0134,,LWR,Llanrwst
TF_000135,TFW,TF0135,,LAS,Llansamlet
TF_000136,TFW,TF0136,,LWM,Llantwit Major
TF_000137,TFW,TF0137,,LNR,Llanwrda
TF_000138,TFW,TF0138,,LNW,Llanwrtyd
TF_000139,TFW,TF0139,,LLW,Llwyngwril
TF_000140,TFW,TF0140,,LLY,Llwynypia
TF_000141,TFW,TF0141,,LUD,Ludlow
TF_000142,TFW,TF0142,,LYD,Lydney
TF_000143,TFW,TF0143,,MCN,Machynlleth
TF_000144,TFW,TF0144,,MST,Maesteg
TF_000145,TFW,TF0145,,MEW,Maesteg (Ewenny Road)
TF_000146,TFW,TF0146,,MRB,Manorbier
TF_000147,TFW,TF0147,,MER,Merthyr Tydfil
TF_000148,TFW,TF0148,,MEV,Merthyr Vale
TF_000149,TFW,TF0149,,MFH,Milford Haven
TF_000150,TFW,TF0150,,MFF,Minffordd
TF_000151,TFW,TF0151,,MFA,Morfa Mawddach
TF_000152,TFW,TF0152,,MTA,Mountain Ash
TF_000153,TFW,TF0153,,NAN,Nantwich
TF_000154,TFW,TF0154,,NAR,Narberth
TF_000155,TFW,TF0155,,NTH,Neath
TF_000156,TFW,TF0156,,NES,Neston
TF_000157,TFW,TF0157,,NBE,Newbridge
TF_000158,TFW,TF0158,,NWP,Newport (South Wales)
TF_000159,TFW,TF0159,,NWT,Newtown (Powys)
TF_000160,TFW,TF0160,,NNP,Ninian Park
TF_000161,TFW,TF0161,,NLR,North Llanrwst
TF_000162,TFW,TF0162,,PTF,Pantyffynnon
TF_000163,TFW,TF0163,,PBY,Pembrey & Burry Port
TF_000164,TFW,TF0164,,PMB,Pembroke
TF_000165,TFW,TF0165,,PMD,Pembroke Dock
TF_000166,TFW,TF0166,,PNY,Pen-y-Bont (Mid Wales)
TF_000167,TFW,TF0167,,PNA,Penally
TF_000168,TFW,TF0168,,PEN,Penarth
TF_000169,TFW,TF0169,,PCD,Pencoed
TF_000170,TFW,TF0170,,PGM,Pengam
TF_000171,TFW,TF0171,,PHG,Penhelig
TF_000172,TFW,TF0172,,PMW,Penmaenmawr
TF_000173,TFW,TF0173,,PER,Penrhiwceiber
TF_000174,TFW,TF0174,,PRH,Penrhyndeudraeth
TF_000175,TFW,TF0175,,PES,Pensarn (Gwynedd)
TF_000176,TFW,TF0176,,PTB,Pentre-Bach
TF_000177,TFW,TF0177,,PNC,Penychain
TF_000178,TFW,TF0178,,PNF,Penyffordd
TF_000179,TFW,TF0179,,PYP,Pont-y-Pant
TF_000180,TFW,TF0180,,PTD,Pontarddulais
TF_000181,TFW,TF0181,,PLT,Pontlottyn
TF_000182,TFW,TF0182,,PYC,Pontyclun
TF_000183,TFW,TF0183,,PPL,Pontypool & New Inn
TF_000184,TFW,TF0184,,PPD,Pontypridd
TF_000185,TFW,TF0185,,PTA,Port Talbot Parkway
TF_000186,TFW,TF0186,,POR,Porth
TF_000187,TFW,TF0187,,PTM,Porthmadog
TF_000188,TFW,TF0188,,PRS,Prees
TF_000189,TFW,TF0189,,PRT,Prestatyn
TF_000190,TFW,TF0190,,PWL,Pwllheli
TF_000191,TFW,TF0191,,PYE,Pye Corner
TF_000192,TFW,TF0192,,PYL,Pyle
TF_000193,TFW,TF0193,,QYD,Quakers Yard
TF_000194,TFW,TF0194,,RDR,Radyr
TF_000195,TFW,TF0195,,RHI,Rhiwbina
TF_000196,TFW,TF0196,,RIA,Rhoose Cardiff International Airport
TF_000197,TFW,TF0197,,RHO,Rhosneigr
TF_000198,TFW,TF0198,,RHL,Rhyl
TF_000199,TFW,TF0199,,RHY,Rhymney
TF_000200,TFW,TF0200,,RCA,Risca & Pontymister
TF_000201,TFW,TF0201,,ROR,Rogerstone
TF_000202,TFW,TF0202,,RMB,Roman Bridge
TF_000203,TFW,TF0203,,RUA,Ruabon
TF_000204,TFW,TF0204,,RUE,Runcorn East
TF_000205,TFW,TF0205,,SRR,Sarn
TF_000206,TFW,TF0206,,SDF,Saundersfoot
TF_000207,TFW,TF0207,,STJ,Severn Tunnel Junction
TF_000208,TFW,TF0208,,SHT,Shotton
TF_000209,TFW,TF0209,,SHR,Shrewsbury
