station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Aber,ABE,TFW,,,51.57496069,-3.229838935,,,,,,,,,,,,,,,,TF_000001,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000001,,,,,False,
Abercynon,ACY,TFW,,,51.644706,-3.327000754,,,,,,,,,,,,,,,,TF_000002,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000002,,,,,False,
Aberdare,ABA,TFW,,,51.71505747,-3.443099147,,,,,,,,,,,,,,,,TF_000003,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000003,,,,,False,
Aberdovey,AVY,TFW,,,52.54397223,-4.057080835,,,,,,,,,,,,,,,,TF_000004,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000004,,,,,False,
Abererch,ABH,TFW,,,52.89860046,-4.374195955,,,,,,,,,,,,,,,,TF_000005,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000005,,,,,False,
Abergavenny,AGV,TFW,,,51.81669124,-3.009664242,,,,,,,,,,,,,,,,TF_000006,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000006,,,,,False,
Abergele & Pensarn,AGL,TFW,,,53.2935,-3.58261,,,,,,,,,,,,,,,,TF_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000007,,,,,False,
Aberystwyth,AYW,TFW,,,52.41401,-4.08174,,,,,,,,,,,,,,,,TF_000008,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000008,,,,,False,
Ammanford,AMF,TFW,,,51.79597767,-3.996765792,,,,,,,,,,,,,,,,TF_000009,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000009,,,,,False,
Baglan,BAJ,TFW,,,51.61456,-3.80971,,,,,,,,,,,,,,,,TF_000010,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000010,,,,,False,
Bangor (Gwynedd),BNG,TFW,,,53.22229978,-4.135891358,,,,,,,,,,,,,,,,TF_000011,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000011,,,,,False,
Bargoed,BGD,TFW,,,51.69230767,-3.229689376,,,,,,,,,,,,,,,,TF_000012,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000012,,,,,False,
Barmouth,BRM,TFW,,,52.72233,-4.05647,,,,,,,,,,,,,,,,TF_000013,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000013,,,,,False,
Barry,BRY,TFW,,,51.39678181,-3.284997567,,,,,,,,,,,,,,,,TF_000014,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000014,,,,,False,
Barry Docks,BYD,TFW,,,51.40244097,-3.260715837,,,,,,,,,,,,,,,,TF_000015,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000015,,,,,False,
Barry Island,BYI,TFW,,,51.39241248,-3.273376317,,,,,,,,,,,,,,,,TF_000016,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000016,,,,,False,
Betws-y-Coed,BYC,TFW,,,53.092088,-3.800879188,,,,,,,,,,,,,,,,TF_000017,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000017,,,,,False,
Birchgrove,BCG,TFW,,,51.52174013,-3.203468175,,,,,,,,,,,,,,,,TF_000018,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000018,,,,,False,
Blaenau Ffestiniog,BFF,TFW,,,52.99456764,-3.938602387,,,,,,,,,,,,,,,,TF_000019,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000019,,,,,False,
Bodorgan,BOR,TFW,,,53.20431918,-4.418022835,,,,,,,,,,,,,,,,TF_000020,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000020,,,,,False,
Borth,BRH,TFW,,,52.49098,-4.0504,,,,,,,,,,,,,,,,TF_000021,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000021,,,,,False,
Bow Street,BOW,TFW,,,52.4392199,-4.0319599,,,,,,,,,,,,,,,,TF_000022,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000022,,,,,False,
Bridgend,BGN,TFW,,,51.5075,-3.57621,,,,,,,,,,,,,,,,TF_000023,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000023,,,,,False,
Brithdir,BHD,TFW,,,51.71030148,-3.2287299,,,,,,,,,,,,,,,,TF_000024,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000024,,,,,False,
Briton Ferry,BNF,TFW,,,51.63789409,-3.819278922,,,,,,,,,,,,,,,,TF_000025,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000025,,,,,False,
Broome,BME,TFW,,,52.42278098,-2.885217916,,,,,,,,,,,,,,,,TF_000026,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000026,,,,,False,
Buckley,BCK,TFW,,,53.16271,-3.05527,,,,,,,,,,,,,,,,TF_000027,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000027,,,,,False,
Bucknell,BUK,TFW,,,52.3575573,-2.948524727,,,,,,,,,,,,,,,,TF_000028,[nan],1,1,low,single,,False,False,single,False,True,False,TF_000028,,,,,False,
Builth Road,BHR,TFW,,,52.16932565,-3.427045119,,,,,,,,,,,,,,,,TF_000029,[nan],1,1,low,single,,False,False,multiple,False,True,False,TF_000029,,,,,False,
